"","Sample","D0","D1","D2","D0.sd","D1.sd","D2.sd"
"110D2-1015-2","110D2-1015-2",14324.1133333333,3412.42313507181,2149.4315612115,129.835291237512,25.5066210730753,15.285468570484
"110D2-115-2","110D2-115-2",12159.34,3297.60605925111,2066.25144158908,181.567159415536,41.7510226517868,26.4244918400859
"110D2-415-2","110D2-415-2",12466.44,3036.06129109366,1915.75511948224,100.839645905306,13.6890095627395,8.75611563076801
"110D2-515","110D2-515",13812.7366666667,3365.14055755673,2153.18452033002,104.136460751806,11.888852536953,7.50067031441624
"110D2-715-2","110D2-715-2",13745.94,3324.42214327763,2075.93291464488,134.219673616181,22.2870474337766,13.8314140207558
"110D2-815","110D2-815",13945.5,3394.92447173829,2127.86282584233,121.702120105442,19.6322559266742,12.3753837837024
"110D2-915-2","110D2-915-2",13458.91,3526.754816538,2200.67058096418,173.150757865783,35.5276046082233,21.8930367196668
"110M2-1015-1","110M2-1015-1",12386.4366666667,3058.74589927567,1965.86419487977,99.8443209638474,13.3270934724007,8.86511898775144
"110M2-115-2","110M2-115-2",13754.32,3341.82557415776,2094.57405553384,124.825772271275,20.6586760089637,13.262485347958
"110M2-415-2","110M2-415-2",13898.3033333333,3412.23283436889,2141.90753203066,145.354521476218,28.8296207510351,17.3269084305967
"110M2-515","110M2-515",14157.3133333333,3252.15537283027,2083.68056771012,125.070400646376,15.1079120748798,8.74378793790734
"110M2-715-2","110M2-715-2",13605.24,3474.44584426918,2227.92240715647,109.486989730809,14.2698290800328,9.53078151193983
"110M2-815","110M2-815",13422.96,3238.5281975681,2081.90633081489,115.937505418818,20.207313684349,12.6675903359802
"110S2-1015-2","110S2-1015-2",13683.1033333333,3247.91187379682,2038.86061758197,100.508780292196,12.8196235361561,7.71720434169072
"110S2-415-2","110S2-415-2",13412.9533333333,3268.87998826612,2082.8811914984,109.561441745699,11.9820982774578,7.20849390477658
"110S2-515","110S2-515",14909.2166666667,3873.07562216699,2408.74841701292,106.354437125568,19.4503152167218,12.7912444715811
"110S2-715-2","110S2-715-2",14213.6666666667,3359.3533314794,2092.39887238435,113.743196686079,19.5246549605454,12.0394761340739
"110S2-815","110S2-815",13683.6566666667,3352.84081615091,2119.16530934546,203.248769549122,42.2248314346267,25.7024402281809
"110S2_115_2","110S2_115_2",13214.0433333333,3199.44500741143,2002.51240907174,160.534908147751,33.825620014873,21.0505534664997
"110S2_915_2","110S2_915_2",12637.57,3255.58146079271,2056.56923223687,142.202753441766,28.2183804496378,18.1620008252728
"M45D2-1015-1","M45D2-1015-1",14805.74,3137.26946847205,1920.64717423548,109.868033175281,13.7251751315583,8.04093675319666
"M45D2-115-2","M45D2-115-2",13705.1766666667,3271.42217010258,2017.61552683255,141.190123548548,25.6590300541816,16.294074631508
"M45D2-415-2","M45D2-415-2",13628.5266666667,3291.3890552418,2093.7790237072,106.15792747967,12.1722838214182,7.96562715623271
"M45D2-515","M45D2-515",15304.5166666667,3367.4491366677,2042.80243795414,101.781864579852,18.0773104226469,10.7809665031244
"M45D2-715-2","M45D2-715-2",13613.3533333333,3259.64912110923,2021.50655185874,111.515958504253,13.9724266351467,8.27627968065237
"M45D2-815","M45D2-815",13763.12,3345.38997784956,2134.09331214264,105.061518935064,15.6892125325028,10.1653347442176
"M45D2-915-2","M45D2-915-2",12618.8466666667,3249.82693253618,2067.28712010972,155.349215962335,26.3330206885767,15.9632596860569
"M45S1-115-1","M45S1-115-1",14014.72,3347.40876595419,2103.5953765764,226.748419253848,48.2954695544279,29.5127490423805
"M45S2-1015-2","M45S2-1015-2",13619.4866666667,3263.54918629459,2049.50318922221,162.304003393004,33.2500163513933,20.2521107786911
"M45S2-415-2","M45S2-415-2",13509.2466666667,3245.30544726494,2084.2506458781,99.0779455991727,12.6660897871325,8.55408430866144
"M45S2-515-DMSO","M45S2-515-DMSO",16253.6233333333,3828.69022081849,2226.13503297381,93.6920666640458,16.7456280703686,9.25849446073697
"M45S2-715-2","M45S2-715-2",13553.6233333333,3330.32371391198,2084.96295376797,121.775514199637,20.7446276051109,12.8865199621466
"M45S2-815","M45S2-815",13781.2166666667,3344.77134648197,2110.99440172071,97.2314271544293,15.2849376231841,9.43522810432258
"M45S2-915-2","M45S2-915-2",13300.5066666667,3315.71192858882,2032.60810936799,143.978508575195,27.0897981326718,16.9268323124408
"MBRE1-714","MBRE1-714",15013.8933333333,3369.82781311498,2074.27910339377,115.955796852911,20.2616814343735,12.6456451107099
"MBRE1-715","MBRE1-715",14229.3133333333,3127.99523181924,1926.89277397507,147.364328595193,28.155999387832,17.1461091874331
"MBRE1-914","MBRE1-914",14840.9466666667,3273.57152958333,2042.76066956912,157.449715486711,24.8878094152115,14.8518971869075
"MBRE2-515","MBRE2-515",15141.2666666667,3290.58692760206,2060.99107254734,175.717013530265,31.3989894577854,19.7152422023672
"MBRE2-915","MBRE2-915",15174.26,3261.57918655759,1994.41192838332,165.409168078434,27.4524799983644,15.8424654317998
"MBRH1-714","MBRH1-714",17192.63,3811.37357719512,2235.20842246367,252.402085314595,51.0536990405991,28.1300592677906
"MBRH1-914","MBRH1-914",18041.55,3935.69991537597,2259.13922053938,140.512173726007,27.761997815136,15.5887284876045
"MBRH2-515","MBRH2-515",14222.2433333333,3074.73773808803,1959.46578958336,161.325992229396,26.4600618859904,16.2169616147124
"MBRH2-915","MBRH2-915",17536.89,3734.96465034574,2175.01791075648,129.321754618985,23.6722881972197,13.0533164187412
"MDPE1-714","MDPE1-714",15653.9366666667,3623.14791603355,2226.73259872016,132.065058322138,23.095640379277,13.5178284932526
"MDPE1-715","MDPE1-715",14052.62,3041.6072780212,1883.69138126219,128.506677978512,18.1949524638669,10.8292954681533
"MDPE1-914","MDPE1-914",14819.6133333333,3320.41189414667,2075.55649439155,157.685207656916,27.3630290834061,16.47086922962
"MDPE2-515","MDPE2-515",14517.5566666667,3213.52133550627,2050.91650168681,153.285442345373,23.7502639176332,14.2607219451845
"MDPE2-915","MDPE2-915",14813.4366666667,3224.43175703466,1973.37045218899,125.613067412694,16.1183312481221,9.42639654638682
"MDPH1-714","MDPH1-714",16606.7766666667,3776.29887948512,2240.20272633633,151.231940439853,31.1798503993705,17.9137591493494
"MDPH1-715","MDPH1-715",15669.18,3495.91941167184,2094.13037866175,189.291904759902,35.7132475070569,20.4694941979485
"MDPH1-914","MDPH1-914",18104.69,4266.78411250695,2517.91947822435,281.213022829232,61.3827269549695,33.6764178755302
"MDPH2-515","MDPH2-515",15172.0866666667,3616.19610354132,2255.4339721621,163.017578596719,32.7240923933979,19.6327953876215
"MDPH2-915","MDPH2-915",17334.3033333333,3937.0135105021,2391.43986818187,323.859399613928,65.1396584643394,35.973351981254
"MI5S1-415-2","MI5S1-415-2",12985.53,3207.6634773396,2080.26814899442,97.4009921777833,15.207470726863,9.57044497066766
"MI5S2-1015-2","MI5S2-1015-2",13526.4333333333,3315.71270660678,2118.42332910023,153.98674137978,32.1947497234215,19.4458567363707
"MI5S2-115-2","MI5S2-115-2",13650.1633333333,3414.19483207038,2172.5085866209,120.70266865309,16.660208981124,10.5864028742166
"MI5S2-515-DMSO","MI5S2-515-DMSO",13804.99,2930.85386832034,1816.35716516854,72.6540310424108,12.5418926084474,7.44313796675435
"MI5S2-715-2","MI5S2-715-2",13401.1733333333,3287.31339802675,2119.63410261448,94.396756469035,13.1738812472515,8.69743432243965
"MI5S2-815","MI5S2-815",13908.06,3372.59196847236,2159.45019718211,106.57621259413,19.4768015176007,12.0935171764672
"MI5S2-915-2","MI5S2-915-2",12992.29,3263.44414309447,2041.65704344507,221.463739903469,52.7510029662702,32.1859246185283
"MINE1-714","MINE1-714",14981.6,3330.89158058371,2081.48865765431,153.836800651105,27.9646062450949,16.8316565854572
"MINE1-715","MINE1-715",15388.74,3181.88633509879,1988.72995399838,158.275152237921,26.485064341026,15.2695516105018
"MINE1-914","MINE1-914",15467.5533333333,3421.75434652216,2151.76658519026,143.871641413944,23.9544688907307,14.6015456815829
"MINE2-515","MINE2-515",14527.5466666667,3332.12869701513,2101.24934729575,105.000773552813,16.284046140544,9.78564269754775
"MINE2-915","MINE2-915",15892.2933333333,3559.33220975882,2204.21646199328,129.581110756433,22.3209474327195,13.4147583840719
"MINH1-714","MINH1-714",14684.7766666667,3201.9862748336,2009.6481929095,128.612807371496,22.8521510371635,13.7273531706597
"MINH1-715","MINH1-715",15082.7433333333,3393.58708684983,2120.98403578764,108.991862411051,18.2775609462141,10.875530006702
"MINH1-914","MINH1-914",16307.5966666667,3400.78392536746,2124.96497557532,99.1171580005249,13.8606600430266,8.20328455566974
"MINH2-515","MINH2-515",14757.4933333333,3385.44011056412,2141.8397048592,113.361950041324,15.7903909014852,9.30420597174198
"MINH2-915","MINH2-915",15780.7533333333,3206.43258367119,1997.72601664279,106.450732822835,14.6448222592205,8.30697795806182
"MLB-915-2","MLB-915-2",16482.66,3710.94035212853,2296.54909209474,105.557407213956,13.9020975242484,8.07410374674834
"MLB-D-D_July","MLB-D-D_July",14695.2966666667,3271.18784550234,2054.11336063693,128.599093009179,19.3810121949158,11.8091573818235
"MLB-D-N_September","MLB-D-N_September",16002.9266666667,3518.23479140709,2147.30471031937,135.359651037776,23.3961540092434,13.7418030827672
"MLB-S-N_September","MLB-S-N_September",15257.5133333333,3413.86915780395,2100.05453125892,132.556025298261,25.2132991160361,14.6250191940879
"MLB40y-S-D_July","MLB40y-S-D_July",14099.2166666667,3309.14111902075,2088.89417572799,96.5845757902555,13.8534479274961,8.58843563417019
"MLBD2-1015-2","MLBD2-1015-2",14229.88,3263.77803482526,2047.00631234833,105.808827460542,21.0497284038406,12.7817722212509
"MLBD2-115-2","MLBD2-115-2",17223.2666666667,3988.87181622305,2477.73212730893,160.722147747768,28.2571581125161,16.9815186021583
"MLBD2-415-2","MLBD2-415-2",13567.13,3404.8161365006,2220.98421174093,100.123328832151,15.983790242435,10.4743745653574
"MLBD2-515-DMSO","MLBD2-515-DMSO",13753.9833333333,2905.14894990919,1810.45369156579,63.1165080741184,10.0591190466592,6.07671261348576
"MLBD2-715-2","MLBD2-715-2",14966.12,3486.39132682307,2167.29491681435,75.0333829184621,13.8652123696773,8.55360099842279
"MLBD2-815","MLBD2-815",15930.4333333333,3477.14042317773,2085.63402069262,97.8242865743014,18.070266646209,10.2220266142729
"MLBS1-415-2","MLBS1-415-2",14729.26,3502.45659865701,2207.70660961022,83.8092770941753,15.269271618696,9.40648745536563
"MLBS2-1015-2","MLBS2-1015-2",14539.3933333333,3329.00228673587,2081.87213070649,63.3179221015603,11.2182966540206,7.10067684523041
"MLBS2-115-2","MLBS2-115-2",17241.5333333333,3959.06588552776,2462.68945230296,122.62783018651,19.4052239482611,11.8266318158926
"MLBS2-515-DMSO","MLBS2-515-DMSO",13164.2533333333,3216.4199878689,2085.10535540303,106.885550148406,14.5170363554428,9.77888577773825
"MLBS2-715-2","MLBS2-715-2",13683.7333333333,3310.30533355674,2110.83668040883,77.0988189195389,15.9579052195566,10.0262427035972
"MLBS2-815","MLBS2-815",15278.4533333333,3466.79483462567,2126.60755237229,203.381450232171,40.7665469769835,23.6216592809155
"MLBS2-915-2","MLBS2-915-2",17950.67,4351.74475146716,2680.28999682089,240.880106604044,58.2341548287216,35.0398306803404
"MM110-D-N_July","MM110-D-N_July",10999.3433333333,3340.55116155992,2181.6782461217,147.363645776429,34.7252586069199,23.0843803486497
"MM110-D-N_September","MM110-D-N_September",12552.24,3605.47608801526,2331.14098685388,165.26034176767,34.6496642125091,21.6020319304794
"MM110-DCMD_July","MM110-DCMD_July",12681.2566666667,3223.71599105448,2094.1208072597,117.962157231548,19.1548991370778,12.200550179856
"MM110-S-D_April","MM110-S-D_April",12716.34,3256.27569289043,2111.62954255298,206.970019516537,41.5120871470064,25.8110339390293
"MM110-S-D_July","MM110-S-D_July",12250.8733333333,2968.60895240698,1771.62955849797,127.081222822901,18.2022008697094,11.5797748192491
"MM110-S-D_September","MM110-S-D_September",13863.33,3124.97677670467,1946.36300491185,194.851787094146,34.088706556719,20.2189701783564
"MM110-S-N_April","MM110-S-N_April",14117.1033333333,3207.27940745119,2025.65072673517,144.190109302445,21.9199743435301,14.0409126468141
"MM110-S-N_July","MM110-S-N_July",12208.8133333333,2927.15991095927,1765.05569588162,156.063830145507,27.7076947928895,16.4571786332639
"MM110-S-N_September","MM110-S-N_September",13314.4933333333,3218.18402019593,2020.7502041545,123.876319333368,19.9616119992696,12.5159181890892
"MM15-D-D_April","MM15-D-D_April",15637.6433333333,4069.65125962052,2577.34814144922,156.341104923384,30.9170483257726,18.6491972074488
"MM15-D-N_July","MM15-D-N_July",12537.4633333333,3031.55952431977,1927.50578955896,121.644056337331,20.1667469134614,12.8441871417208
"MM15-D-N_September","MM15-D-N_September",13508.9633333333,3272.08633205316,2073.89903056597,129.195626426619,17.2931859846785,10.5522013892115
"MM15-S-D_April","MM15-S-D_April",15354.5666666667,3961.75232905842,2516.55935866869,137.064352896794,27.4354512046913,17.4418817555898
"MM15-S-D_July","MM15-S-D_July",13127.1133333333,3103.80903471848,1911.68251800499,118.28914269476,17.6924527314987,11.3769170247536
"MM15-S-D_September","MM15-S-D_September",13725.5966666667,3282.03394360009,2058.27893285504,107.709650810248,19.1012487610622,11.7461322100449
"MM15-S-N_April","MM15-S-N_April",15526.1133333333,4088.53309835055,2564.84384188686,173.664296370597,41.5571417914916,25.4206954344058
"MM15-S-N_July","MM15-S-N_July",13049.9266666667,3050.17683634763,1859.61470193388,130.921756690245,21.4892724544966,13.1037121923716
"MM15-S-N_September","MM15-S-N_September",13554.49,3305.32402442978,2083.81647108427,139.953324871317,20.9631166574514,13.0385024674989
"MOTE1-714","MOTE1-714",15328.78,3511.43663057608,2169.52651883302,133.730383396303,23.4433261733782,14.0460136849133
"MOTE1-715","MOTE1-715",15172.2733333333,3054.08566441614,1863.73201504463,126.756856248728,15.9405658812169,8.93200924806975
"MOTE1-914","MOTE1-914",15216.3733333333,3342.38405813236,2079.98611923633,181.211223987959,30.6408917462426,18.1172260794449
"MOTE2-515","MOTE2-515",14421.8433333333,3232.02175932278,2069.04769662296,115.652917850815,16.2200629948409,9.98040517381007
"MOTE2-915","MOTE2-915",15382.1933333333,3315.02911140475,1997.52041894527,132.044408490827,20.0110253971028,11.6990879705607
"MOTH-915","MOTH-915",18557.1866666667,3683.92702883164,2082.33356064455,103.024952574482,16.2291970299962,8.47355957424936
"MOTH1-714","MOTH1-714",15869.28,3529.07843864943,2138.04465289975,108.927900247369,17.2294939283067,10.4707076785605
