"PD","SR","norep_filter_name"
14.67569,148,"MBREF515"
20.42127,213,"MBREF714"
18.13983,187,"MBREF715"
19.99943,233,"MBREF914"
21.92624,234,"MBREF915"
25.42061,332,"MBREJ515"
25.00261,289,"MBREJ715"
21.95471,243,"MBREJ915"
15.54754,159,"MBREK515"
16.50585,163,"MBREK715"
19.47771,208,"MBREK915"
23.11953,290,"MBREP515"
26.2541,307,"MBREP714"
26.08067,321,"MBREP715"
23.59146,291,"MBREP914"
24.86704,310,"MBREP915"
18.11124,206,"MDPEF514"
14.28468,155,"MDPEF515"
23.44718,261,"MDPEF714"
18.67816,200,"MDPEF715"
18.92035,228,"MDPEF914"
22.13541,256,"MDPEF915"
20.73143,256,"MDPEJ515"
23.28775,270,"MDPEJ715"
21.77116,245,"MDPEJ915"
15.46123,154,"MDPEK515"
18.28575,197,"MDPEK715"
21.93133,244,"MDPEK915"
20.62826,278,"MDPEP514"
20.63971,267,"MDPEP515"
23.15723,282,"MDPEP714"
24.54848,305,"MDPEP715"
24.43564,300,"MDPEP914"
24.91541,299,"MDPEP915"
18.51164,224,"MINEF514"
18.90605,202,"MINEF515"
19.96264,231,"MINEF714"
19.69154,238,"MINEF715"
18.65641,222,"MINEF914"
21.20184,244,"MINEF915"
24.16778,318,"MINEJ515"
24.03942,281,"MINEJ715"
22.4219,289,"MINEJ915"
19.20656,220,"MINEK515"
17.79456,192,"MINEK715"
21.52526,244,"MINEK915"
16.71553,225,"MINEP514"
22.65373,284,"MINEP515"
24.3884,328,"MINEP714"
23.97426,314,"MINEP715"
25.2642,335,"MINEP914"
24.87944,302,"MINEP915"
17.12214,199,"MOTEF514"
15.17496,152,"MOTEF515"
20.11563,231,"MOTEF714"
19.05109,197,"MOTEF715"
22.43128,262,"MOTEF914"
21.93775,254,"MOTEF915"
22.3546,275,"MOTEJ515"
20.70503,218,"MOTEJ715"
23.60853,258,"MOTEJ915"
16.22956,168,"MOTEK515"
15.68908,164,"MOTEK715"
22.73931,248,"MOTEK915"
21.54146,268,"MOTEP514"
21.32264,248,"MOTEP515"
24.23895,290,"MOTEP714"
23.21273,249,"MOTEP715"
23.50055,284,"MOTEP914"
24.50753,296,"MOTEP915"
