"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.140936746746747,0.0092353671493054,1,-3.4215913283457,0.001,999
"MBREF714",213,0.111953004694836,0.120183068373538,0.00647620047767613,95,-1.27081669368818,0.095,999
"MBREF715",187,0.104243422459893,0.12682189007189,0.00740158959562091,2,-3.05048899568214,0.002,999
"MBREF914",233,0.0950530472103004,0.115944042454472,0.00600730168166315,1,-3.47760048541252,0.001,999
"MBREF915",234,0.110183418803419,0.115630274804719,0.00603424628836473,179,-0.902657223620969,0.179,999
"MBREJ515",332,0.0820153012048193,0.0985702633657754,0.00424394210680482,1,-3.90084542727659,0.001,999
"MBREJ715",289,0.0984091003460208,0.105264185673563,0.00493834029016953,79,-1.38813547158508,0.079,999
"MBREJ915",243,0.103773456790123,0.11370831786519,0.00587102850225191,42,-1.69218409879227,0.042,999
"MBREK515",159,0.109131194968553,0.136380919409976,0.00870833614067252,1,-3.12915395102309,0.001,999
"MBREK715",163,0.107973128834356,0.134591215448577,0.00868967162981988,2,-3.06318670579884,0.002,999
"MBREK915",208,0.101305288461538,0.121518931094556,0.00692521826013029,2,-2.91884556901133,0.002,999
"MBREP515",290,0.0887954482758621,0.104796650650651,0.00487434335392224,1,-3.28274009706618,0.001,999
"MBREP714",307,0.101493127035831,0.102481691496056,0.00449552325713076,410,-0.219899754418498,0.41,999
"MBREP715",321,0.0904980373831776,0.100016578821812,0.00431829613180283,10,-2.20423545493649,0.01,999
"MBREP914",291,0.0920226804123711,0.104657634954542,0.00484072104784252,4,-2.61013894775084,0.004,999
"MBREP915",310,0.0916939677419355,0.101953708708709,0.00452898983289422,16,-2.26534864182214,0.016,999
"MDPEF514",206,0.0938411165048544,0.121846114221017,0.00697657030890717,1,-4.0141497148546,0.001,999
"MDPEF515",155,0.102964193548387,0.137734106170687,0.00890379791601664,1,-3.90506533843875,0.001,999
"MDPEF714",261,0.102013256704981,0.109883267405336,0.00560108212408259,83,-1.40508753951623,0.083,999
"MDPEF715",200,0.1030798,0.123147341991992,0.0070281099368664,1,-2.85532556722347,0.001,999
"MDPEF914",228,0.0891758333333333,0.116546367244437,0.00625530918223437,1,-4.37556851527641,0.001,999
"MDPEF915",256,0.0922429296875,0.110753275111049,0.00535069074968717,2,-3.45943099489178,0.002,999
"MDPEJ515",256,0.095514609375,0.110763681845908,0.00565342943657892,2,-2.69731366455971,0.002,999
"MDPEJ715",270,0.0956717037037037,0.108124938642346,0.0052026950565032,14,-2.39361231119556,0.014,999
"MDPEJ915",245,0.100948367346939,0.113236462339891,0.0057248089438662,10,-2.14646377083346,0.01,999
"MDPEK515",154,0.110836688311688,0.138067738712739,0.00937032668665096,2,-2.90609402549902,0.002,999
"MDPEK715",197,0.0989620812182741,0.12471782035843,0.00712767356735368,1,-3.61348466603779,0.001,999
"MDPEK915",244,0.0951767213114754,0.113486880158847,0.00599267033572698,2,-3.055425681972,0.002,999
"MDPEP514",278,0.079511726618705,0.107065955631891,0.00502264045891055,1,-5.48600466997444,0.001,999
"MDPEP515",267,0.082944606741573,0.108667973741532,0.00524578004705683,1,-4.90363049331262,0.001,999
"MDPEP714",282,0.091829219858156,0.106195864446006,0.00500837004344292,3,-2.86852697848463,0.003,999
"MDPEP715",305,0.0899997704918033,0.102493056958598,0.00460703431690129,4,-2.71178498084158,0.004,999
"MDPEP914",300,0.0930981666666667,0.103243684684685,0.00485434242447493,19,-2.08998812421343,0.019,999
"MDPEP915",299,0.0929778595317726,0.103327646978082,0.00484554590062195,17,-2.13593837692895,0.017,999
"MINEF514",224,0.0894221428571429,0.117675246541184,0.00657013884616746,1,-4.30022931715089,0.001,999
"MINEF515",202,0.109150693069307,0.122491067949137,0.00693866608489402,26,-1.92261375841003,0.026,999
"MINEF714",231,0.0968616883116883,0.115940934050934,0.00627824547980753,2,-3.03894548255712,0.002,999
"MINEF715",238,0.0894800420168067,0.114258519401755,0.00576082809577936,1,-4.30120062133112,0.001,999
"MINEF914",222,0.0927759459459459,0.118089836007178,0.00642381076510313,1,-3.9406344593381,0.001,999
"MINEF915",244,0.0996032786885246,0.113343237335696,0.00580768601489651,7,-2.36582325765016,0.007,999
"MINEJ515",318,0.0850601257861635,0.100679201308226,0.00412368495886933,1,-3.78765004549366,0.001,999
"MINEJ715",281,0.0977998220640569,0.106373541619912,0.00510469280922672,48,-1.67957600511392,0.048,999
"MINEJ915",289,0.0889628719723183,0.105125890838936,0.00485605726259242,1,-3.32842427356155,0.001,999
"MINEK515",220,0.100616272727273,0.118961543225043,0.00642310299994935,1,-2.85613830229955,0.001,999
"MINEK715",192,0.103366770833333,0.125615177677678,0.00738199499502408,2,-3.01387455008316,0.002,999
"MINEK915",244,0.100183155737705,0.113166528085463,0.00590833494287506,22,-2.197467217632,0.022,999
"MINEP514",225,0.0773732888888889,0.117047852697142,0.00622644409947086,1,-6.37194571643619,0.001,999
"MINEP515",284,0.090300985915493,0.105918603286385,0.00486506753694336,1,-3.21015427890736,0.001,999
"MINEP714",328,0.0820925609756098,0.0993875441600137,0.00406325323019969,1,-4.25643744176731,0.001,999
"MINEP715",314,0.0845947770700637,0.101210144284412,0.00467175463313531,1,-3.55655819261149,0.001,999
"MINEP914",335,0.0862722388059702,0.0983171372865403,0.00409059163046368,2,-2.94453701779193,0.002,999
"MINEP915",302,0.0925648013245033,0.103009157999059,0.00455376902117756,12,-2.29356311793226,0.012,999
"MOTEF514",199,0.0973812060301508,0.124372364122917,0.0071728394266985,1,-3.76296700471232,0.001,999
"MOTEF515",152,0.102183157894737,0.139004379774511,0.00926623241447831,1,-3.97369936698782,0.001,999
"MOTEF714",231,0.0959016883116883,0.116127345224012,0.00640664762601175,1,-3.1569797643006,0.001,999
"MOTEF715",197,0.106133705583756,0.124471052981916,0.0071515897794984,5,-2.5640938537509,0.005,999
"MOTEF914",262,0.0965880152671756,0.109650251205404,0.00537602838082536,4,-2.42971856041856,0.004,999
"MOTEF915",254,0.0938792519685039,0.111491515570689,0.00545057260733833,1,-3.23126850534433,0.001,999
"MOTEJ515",275,0.0850241454545455,0.107478236127036,0.00524626762633499,1,-4.28001243394,0.001,999
"MOTEJ715",218,0.10409123853211,0.118903876077913,0.00645911711439395,13,-2.29329137147756,0.013,999
"MOTEJ915",258,0.106409379844961,0.110825866874627,0.00559418131576229,221,-0.789478706602042,0.221,999
"MOTEK515",168,0.10051869047619,0.133051149184899,0.00811008788240936,1,-4.0113571123281,0.001,999
"MOTEK715",164,0.0988578658536585,0.13504213982275,0.0086497466681815,1,-4.18327557524853,0.001,999
"MOTEK915",248,0.10308689516129,0.112446052504117,0.00568636179461297,54,-1.64589550944387,0.054,999
