"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.140418568433298,0.0092884998642447,1,-3.34623182354226,0.001,999
"MBREF714",213,0.111953004694836,0.120022960989158,0.00665906045058571,113,-1.21187611288507,0.113,999
"MBREF715",187,0.104243422459893,0.12747140450611,0.00770945076990912,1,-3.01292306539901,0.001,999
"MBREF914",233,0.0950530472103004,0.115393545949383,0.00624151021844377,1,-3.25890658305355,0.001,999
"MBREF915",234,0.110183418803419,0.115310179110735,0.00608642341189271,205,-0.842327252044002,0.205,999
"MBREJ515",332,0.0820153012048193,0.0987419381128116,0.00414884875549439,1,-4.03163332619464,0.001,999
"MBREJ715",289,0.0984091003460208,0.104798477266194,0.00481725761759433,94,-1.32635151104157,0.094,999
"MBREJ915",243,0.103773456790123,0.113225445363059,0.0058069326626481,60,-1.62770762501399,0.06,999
"MBREK515",159,0.109131194968553,0.136046713065267,0.00919845801224138,2,-2.92609022739395,0.002,999
"MBREK715",163,0.107973128834356,0.134880310555955,0.0086283318415003,1,-3.11846857722619,0.001,999
"MBREK915",208,0.101305288461538,0.121284495071995,0.00687074159311434,2,-2.90786756272121,0.002,999
"MBREP515",290,0.0887954482758621,0.105092765662214,0.00475880220117143,1,-3.42466795159927,0.001,999
"MBREP714",307,0.101493127035831,0.102400925550958,0.00461469340424845,421,-0.196719139410596,0.421,999
"MBREP715",321,0.0904980373831776,0.100154004315842,0.00439342225497015,16,-2.1978235581024,0.016,999
"MBREP914",291,0.0920226804123711,0.104751303606012,0.0048882693601891,5,-2.60391198924193,0.005,999
"MBREP915",310,0.0916939677419355,0.101885562950047,0.00474341502056538,15,-2.14857758891537,0.015,999
"MDPEF514",206,0.0938411165048544,0.121864526856954,0.00671040766200747,1,-4.17611146201455,0.001,999
"MDPEF515",155,0.102964193548387,0.138014735703445,0.00914991984300949,1,-3.8306939029457,0.001,999
"MDPEF714",261,0.102013256704981,0.109914143875676,0.00545301902797659,76,-1.4489014489332,0.076,999
"MDPEF715",200,0.1030798,0.123573725075075,0.00714506011971264,5,-2.86826488954712,0.005,999
"MDPEF914",228,0.0891758333333333,0.116363291800573,0.00617015963849603,1,-4.40628120828752,0.001,999
"MDPEF915",256,0.0922429296875,0.110939276503066,0.00550819063859234,1,-3.39428099756975,0.001,999
"MDPEJ515",256,0.095514609375,0.111126195883383,0.00539482446476651,3,-2.89380805813838,0.003,999
"MDPEJ715",270,0.0956717037037037,0.108557951507063,0.00520591536227193,6,-2.47530874142663,0.006,999
"MDPEJ915",245,0.100948367346939,0.113043271802415,0.00599538562645578,28,-2.01736889151964,0.028,999
"MDPEK515",154,0.110836688311688,0.137848958698959,0.00885093891332689,1,-3.05191015911294,0.001,999
"MDPEK715",197,0.0989620812182741,0.124270228909112,0.00711445285141269,1,-3.55728658540659,0.001,999
"MDPEK915",244,0.0951767213114754,0.113422808751374,0.00592634699175743,1,-3.07880849117951,0.001,999
"MDPEP514",278,0.079511726618705,0.106896785130454,0.00506102099014094,1,-5.41097509081592,0.001,999
"MDPEP515",267,0.082944606741573,0.108874706504257,0.00536213682746219,1,-4.83577733971334,0.001,999
"MDPEP714",282,0.091829219858156,0.106454981151364,0.00520582159531552,7,-2.80950106057595,0.007,999
"MDPEP715",305,0.0899997704918033,0.102736771295886,0.00472186159823129,2,-2.69745322667945,0.002,999
"MDPEP914",300,0.0930981666666667,0.103047462495829,0.0046314072510495,15,-2.14822305399896,0.015,999
"MDPEP915",299,0.0929778595317726,0.103603472402168,0.00480321130028933,18,-2.21218934710522,0.018,999
"MINEF514",224,0.0894221428571429,0.117358736727799,0.00627355943664453,1,-4.45306913129343,0.001,999
"MINEF515",202,0.109150693069307,0.123286175631077,0.00700777127738944,20,-2.01711528562266,0.02,999
"MINEF714",231,0.0968616883116883,0.116114806104806,0.00611777380713285,2,-3.14707905196988,0.002,999
"MINEF715",238,0.0894800420168067,0.114614906671377,0.00607639285690246,1,-4.13647788194252,0.001,999
"MINEF914",222,0.0927759459459459,0.11781774504234,0.00617525863795834,1,-4.05518223033861,0.001,999
"MINEF915",244,0.0996032786885246,0.113202289543642,0.00572777166060013,10,-2.37422363546046,0.01,999
"MINEJ515",318,0.0850601257861635,0.100670652948546,0.00445830890622409,1,-3.5014458375886,0.001,999
"MINEJ715",281,0.0977998220640569,0.106467547547548,0.00515065753601022,37,-1.68283863232824,0.037,999
"MINEJ915",289,0.0889628719723183,0.105150778633305,0.00495756989876313,1,-3.26529065480751,0.001,999
"MINEK515",220,0.100616272727273,0.118451846801347,0.00658058437555108,3,-2.71033286045823,0.003,999
"MINEK715",192,0.103366770833333,0.125585544242159,0.00721470577117452,2,-3.07965066262271,0.002,999
"MINEK915",244,0.100183155737705,0.113401358858859,0.00579028958369029,11,-2.28282246165824,0.011,999
"MINEP514",225,0.0773732888888889,0.117459932732733,0.00627441711204415,1,-6.38890324439778,0.001,999
"MINEP515",284,0.090300985915493,0.105867577471838,0.00498017953904497,2,-3.12570890954872,0.002,999
"MINEP714",328,0.0820925609756098,0.0992460102785713,0.00434502945488309,1,-3.94783268584839,0.001,999
"MINEP715",314,0.0845947770700637,0.101221151119272,0.00450125413945358,1,-3.69372035750614,0.001,999
"MINEP914",335,0.0862722388059702,0.0982438545411083,0.00419479706882094,2,-2.85392011549752,0.002,999
"MINEP915",302,0.0925648013245033,0.102836178960417,0.00458224392051555,11,-2.24156064454081,0.011,999
"MOTEF514",199,0.0973812060301508,0.123812197172046,0.006770062683089,1,-3.90409843736275,0.001,999
"MOTEF515",152,0.102183157894737,0.13899154114641,0.00879748971018984,2,-4.18396434258273,0.002,999
"MOTEF714",231,0.0959016883116883,0.115938224674891,0.00633295464959985,2,-3.16385280991536,0.002,999
"MOTEF715",197,0.106133705583756,0.124571119393505,0.00710451333327579,5,-2.59516914739149,0.005,999
"MOTEF914",262,0.0965880152671756,0.109727559429659,0.00538272425608513,9,-2.44105838184613,0.009,999
"MOTEF915",254,0.0938792519685039,0.111098565534038,0.00545241357669333,2,-3.15810848229471,0.002,999
"MOTEJ515",275,0.0850241454545455,0.107106687414687,0.00516794739795873,1,-4.27298117795554,0.001,999
