"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.622579623318851,0.0159609613164362,465,-0.130974861036346,0.465,999
"MBREF714",213,0.619246912038267,0.62259883692001,0.0122217584694921,392,-0.27425880572828,0.392,999
"MBREF715",187,0.641669744120522,0.623224061452056,0.0140332092557346,907,1.31443081424358,0.907,999
"MBREF914",233,0.616924985940506,0.621761350443236,0.0117388734532471,351,-0.411995624792422,0.351,999
"MBREF915",234,0.635900748321778,0.62216957617094,0.0119574847900826,878,1.14833281345478,0.878,999
"MBREJ515",332,0.620174312415826,0.622763175298656,0.00927448983107724,406,-0.279138036698777,0.406,999
"MBREJ715",289,0.635095040369089,0.621999716716428,0.0102785004311334,895,1.2740500173542,0.895,999
"MBREJ915",243,0.62600636261606,0.622442488081388,0.0114392991041661,616,0.311546581850762,0.616,999
"MBREK515",159,0.643553739351962,0.623060273563907,0.0161675924534006,894,1.2675644717742,0.894,999
"MBREK715",163,0.650777208210255,0.622337765644157,0.0151934432018479,971,1.87182340357448,0.971,999
"MBREK915",208,0.648313582311408,0.6230802305227,0.0131939857369765,976,1.91248893941054,0.976,999
"MBREP515",290,0.623512137215129,0.622786707981338,0.00997755796304179,508,0.0727060906565309,0.508,999
"MBREP714",307,0.62320503970535,0.622520518845473,0.00984594769423383,541,0.0695231054577369,0.541,999
"MBREP715",321,0.636854979361371,0.622478624881891,0.00926417033238564,943,1.55182320312297,0.943,999
"MBREP914",291,0.630519514634435,0.622151717301375,0.010233586557077,784,0.817679831639601,0.784,999
"MBREP915",310,0.626638514667502,0.622220331759466,0.00976386341656002,669,0.452503555154459,0.669,999
"MDPEF514",206,0.649459916173337,0.622621393241217,0.0128927071837973,979,2.08168250077445,0.979,999
"MDPEF515",155,0.609108299958106,0.622704554136038,0.0154758204080386,181,-0.87854820096447,0.181,999
"MDPEF714",261,0.616513637488948,0.623342195284586,0.0109521066565607,257,-0.623492631122957,0.257,999
"MDPEF715",200,0.626079920100503,0.623252338907249,0.0138162076105482,585,0.20465682573377,0.585,999
"MDPEF914",228,0.631677620372517,0.62256462737643,0.0121436058591932,780,0.750435505051293,0.78,999
"MDPEF915",256,0.640465622242647,0.622668091249338,0.0109998118597229,945,1.61798503649661,0.945,999
"MDPEJ515",256,0.614145317708333,0.62185952336037,0.01125323838894,251,-0.68550984040457,0.251,999
"MDPEJ715",270,0.630840943687182,0.622247326474209,0.0104700795924575,783,0.820778594573721,0.783,999
"MDPEJ915",245,0.638449492806959,0.622907880922073,0.0116607737960626,907,1.33281136884189,0.907,999
"MDPEK515",154,0.641836354299295,0.622827902498883,0.0157052960950037,893,1.21032113533088,0.893,999
"MDPEK715",197,0.640262661348803,0.622996293749463,0.0135762954396884,895,1.27180258237935,0.895,999
"MDPEK915",244,0.648828035485394,0.622076412179568,0.0115301450412624,983,2.32014629565295,0.983,999
"MDPEP514",278,0.622887943277147,0.622951718039885,0.0100163741679483,502,-0.00636705075792214,0.502,999
"MDPEP515",267,0.63263233983836,0.622532449785823,0.0109670155818585,823,0.920933318381025,0.823,999
"MDPEP714",282,0.617162847732263,0.622462793113903,0.0102359628299622,290,-0.517776927259496,0.29,999
"MDPEP715",305,0.631644166954271,0.622763469701798,0.00950778700484655,837,0.934044615003012,0.837,999
"MDPEP914",300,0.62488057212932,0.622416160642694,0.0102167545551568,610,0.241212752378593,0.61,999
"MDPEP915",299,0.638749928396669,0.622321553059872,0.00992918325611207,952,1.65455455026314,0.952,999
"MINEF514",224,0.619506209561179,0.62314098649859,0.0122025051959142,394,-0.297871369776467,0.394,999
"MINEF515",202,0.621650953155017,0.623570538317737,0.0136502165607835,437,-0.140626718570561,0.437,999
"MINEF714",231,0.6145826734425,0.622416851797779,0.0122356891200786,265,-0.640272752796895,0.265,999
"MINEF715",238,0.628174081835266,0.622305584012903,0.0116573528031077,680,0.503415991733365,0.68,999
"MINEF914",222,0.611544525702173,0.622386831182411,0.0125891341497319,208,-0.861243144388101,0.208,999
"MINEF915",244,0.629435287391216,0.622543444073163,0.0114649586814351,718,0.601122386006768,0.718,999
"MINEJ515",318,0.609643745808781,0.622803627751315,0.0095082202397417,87,-1.38405312568692,0.087,999
"MINEJ715",281,0.615110414844942,0.622343730167381,0.0102872679476387,245,-0.703132781148191,0.245,999
"MINEJ915",289,0.616470862168397,0.622172745607487,0.0105235334303497,303,-0.541822143373117,0.303,999
