"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.621568350940571,0.0156814766503534,482,-0.0688208346834717,0.482,999
"MBREF714",213,0.619246912038267,0.621701335365838,0.0126136252593158,444,-0.194585083757574,0.444,999
"MBREF715",187,0.641669744120522,0.622814805351036,0.0136436404166559,915,1.38195805471894,0.915,999
"MBREF914",233,0.616924985940506,0.622692405477106,0.0119601226585247,327,-0.482220768236814,0.327,999
"MBREF915",234,0.635900748321778,0.622825208262442,0.0119971278112416,873,1.08988920223754,0.873,999
"MBREJ515",332,0.620174312415826,0.623372899927737,0.0092841670059027,356,-0.34452067804002,0.356,999
"MBREJ715",289,0.635095040369089,0.623185374911628,0.0101261148783177,886,1.17613374927849,0.886,999
"MBREJ915",243,0.62600636261606,0.622291236307899,0.0118682533120414,629,0.313030587608969,0.629,999
"MBREK515",159,0.643553739351962,0.621990339360936,0.0161406726281703,912,1.33596662839144,0.912,999
"MBREK715",163,0.650777208210255,0.621169422627202,0.0149413770611782,973,1.98159684089511,0.973,999
"MBREK915",208,0.648313582311408,0.622995507833177,0.0127431517908452,974,1.98679846978046,0.974,999
"MBREP515",290,0.623512137215129,0.622267679753014,0.0101030347127696,561,0.123176599655005,0.561,999
"MBREP714",307,0.62320503970535,0.62277680205551,0.00972084760313206,520,0.0440535298282392,0.52,999
"MBREP715",321,0.636854979361371,0.623246580889301,0.00939589740627102,928,1.44833408493665,0.928,999
"MBREP914",291,0.630519514634435,0.622712727623227,0.0100902986771026,792,0.77369236144852,0.792,999
"MBREP915",310,0.626638514667502,0.623295288545462,0.00984143614216048,617,0.33970917188783,0.617,999
"MDPEF514",206,0.649459916173337,0.622284077503978,0.0135192807497836,967,2.01015417701075,0.967,999
"MDPEF515",155,0.609108299958106,0.621743682705747,0.0160642726911542,221,-0.786551809133471,0.221,999
"MDPEF714",261,0.616513637488948,0.622544032587259,0.0110122174836272,310,-0.54760951709106,0.31,999
"MDPEF715",200,0.626079920100503,0.621929223415878,0.0132080681817723,624,0.314254637960791,0.624,999
"MDPEF914",228,0.631677620372517,0.622376081946774,0.0117438626567821,785,0.792033992356976,0.785,999
"MDPEF915",256,0.640465622242647,0.622675281556986,0.0114474459250492,947,1.55408820466515,0.947,999
"MDPEJ515",256,0.614145317708333,0.623368583702575,0.0114731546190355,210,-0.803899738171318,0.21,999
"MDPEJ715",270,0.630840943687182,0.62256263647952,0.0107536923654151,785,0.769810677705995,0.785,999
"MDPEJ915",245,0.638449492806959,0.623239223548741,0.0114303073492831,911,1.33069643653735,0.911,999
"MDPEK515",154,0.641836354299295,0.621871519132238,0.0161581372997983,898,1.23559014239262,0.898,999
"MDPEK715",197,0.640262661348803,0.622425091714526,0.0132405794330018,910,1.34718950364194,0.91,999
"MDPEK915",244,0.648828035485394,0.622955641848419,0.0113476690398978,988,2.27997428775982,0.988,999
"MDPEP514",278,0.622887943277147,0.622066915212748,0.010445322805732,547,0.0786024596529135,0.547,999
"MDPEP515",267,0.63263233983836,0.622187328943655,0.0109289705645868,837,0.955717725926571,0.837,999
"MDPEP714",282,0.617162847732263,0.622072621682029,0.0101567296279922,307,-0.483401068020379,0.307,999
"MDPEP715",305,0.631644166954271,0.622598772584491,0.00981644796490276,828,0.921452892341522,0.828,999
"MDPEP914",300,0.62488057212932,0.623236936311116,0.0101365509149806,565,0.162149416699011,0.565,999
"MDPEP915",299,0.638749928396669,0.622645256091763,0.0100290337387542,940,1.60580497826766,0.94,999
"MINEF514",224,0.619506209561179,0.623285060395116,0.0125932260583899,377,-0.300070118364956,0.377,999
"MINEF515",202,0.621650953155017,0.622067633016495,0.0131255821058002,494,-0.0317456291172082,0.494,999
"MINEF714",231,0.6145826734425,0.622551099568607,0.0122841513380445,252,-0.648675346536048,0.252,999
"MINEF715",238,0.628174081835266,0.622409721697019,0.0116649373615831,700,0.494161259470714,0.7,999
"MINEF914",222,0.611544525702173,0.621920488235168,0.0125813163227426,208,-0.82471199887398,0.208,999
"MINEF915",244,0.629435287391216,0.622944234768399,0.012169222348123,718,0.533399130784966,0.718,999
"MINEJ515",318,0.609643745808781,0.622939564231613,0.00943196652585162,78,-1.40965496287434,0.078,999
