"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.621578318286111,0.016262057865643,483,-0.0669767422232494,0.483,999
"MBREF714",213,0.619246912038267,0.621882942687572,0.0127260817211287,427,-0.207136077472149,0.427,999
"MBREF715",187,0.641669744120522,0.62242222032279,0.0144179798659757,910,1.33496675516616,0.91,999
"MBREF914",233,0.616924985940506,0.62219092723699,0.0119426489657044,333,-0.440935784984208,0.333,999
"MBREF915",234,0.635900748321778,0.622713680676017,0.0119572991094265,863,1.10284668176988,0.863,999
"MBREJ515",332,0.620174312415826,0.622799593472189,0.00918514854152554,379,-0.285818029452035,0.379,999
"MBREJ715",289,0.635095040369089,0.622989099402651,0.0103331254775149,877,1.17156624031908,0.877,999
"MBREJ915",243,0.62600636261606,0.622496093559805,0.0116230798745367,614,0.302008511869988,0.614,999
"MBREK515",159,0.643553739351962,0.62100542670686,0.0158762741992432,916,1.42025215501616,0.916,999
"MBREK715",163,0.650777208210255,0.621821208710035,0.0155621133041041,978,1.86067270777314,0.978,999
"MBREK915",208,0.648313582311408,0.622533316502121,0.0130667710704249,978,1.97296376207571,0.978,999
"MBREP515",290,0.623512137215129,0.62311896260513,0.0102996567229704,510,0.0381735644764437,0.51,999
"MBREP714",307,0.62320503970535,0.623216948052351,0.00962242702369301,491,-0.0012375616849344,0.491,999
"MBREP715",321,0.636854979361371,0.623132947234618,0.00942000159721521,926,1.45669106158215,0.926,999
"MBREP914",291,0.630519514634435,0.62288068252777,0.0101258947040232,775,0.754385891809663,0.775,999
"MBREP915",310,0.626638514667502,0.623038701482566,0.00953671223126699,641,0.377468995356012,0.641,999
"MDPEF514",206,0.649459916173337,0.622851539859537,0.0130721481637173,979,2.03550143255356,0.979,999
"MDPEF515",155,0.609108299958106,0.621282623355656,0.0158055949205387,225,-0.770254043505138,0.225,999
"MDPEF714",261,0.616513637488948,0.622427940669818,0.0109148080022966,303,-0.541860487113089,0.303,999
"MDPEF715",200,0.626079920100503,0.62135501677406,0.0134927918168119,643,0.350179813828807,0.643,999
"MDPEF914",228,0.631677620372517,0.622741867797545,0.0119497710007675,769,0.747776051473996,0.769,999
"MDPEF915",256,0.640465622242647,0.622365798155386,0.011284541603916,945,1.60394854505922,0.945,999
"MDPEJ515",256,0.614145317708333,0.622818899503977,0.0113351324728051,220,-0.765194567990537,0.22,999
"MDPEJ715",270,0.630840943687182,0.622368246948863,0.0111240347816441,772,0.761656800309528,0.772,999
"MDPEJ915",245,0.638449492806959,0.622437677603331,0.0113966030108845,925,1.40496384653703,0.925,999
"MDPEK515",154,0.641836354299295,0.621029922772276,0.0162485792372378,891,1.28050774306078,0.891,999
"MDPEK715",197,0.640262661348803,0.622365973526619,0.0134648036228028,912,1.32914584746533,0.912,999
"MDPEK915",244,0.648828035485394,0.62234891544989,0.011506067066758,987,2.30131806827417,0.987,999
"MDPEP514",278,0.622887943277147,0.622261645999946,0.010580598259145,542,0.0591929928593167,0.542,999
"MDPEP515",267,0.63263233983836,0.622371230958931,0.0107503541600216,823,0.954490310429801,0.823,999
"MDPEP714",282,0.617162847732263,0.621611477058442,0.0109747397270992,351,-0.405351692778111,0.351,999
"MDPEP715",305,0.631644166954271,0.622224931364497,0.00998105976532538,821,0.943710969700556,0.821,999
"MDPEP914",300,0.62488057212932,0.623028485850622,0.0098965984253482,573,0.187143723438759,0.573,999
"MDPEP915",299,0.638749928396669,0.623083794066788,0.00958823670576071,945,1.6338910699262,0.945,999
"MINEF514",224,0.619506209561179,0.623041360843547,0.0122028556374164,393,-0.289698689176382,0.393,999
"MINEF515",202,0.621650953155017,0.621908987756783,0.0132831823623938,500,-0.0194256613156584,0.5,999
"MINEF714",231,0.6145826734425,0.62208081574441,0.012180321641189,265,-0.615594770219758,0.265,999
"MINEF715",238,0.628174081835266,0.622513277993094,0.012165865586472,683,0.46530218519478,0.683,999
"MINEF914",222,0.611544525702173,0.622114355566279,0.0128518212202319,207,-0.822438289716246,0.207,999
"MINEF915",244,0.629435287391216,0.62279121574992,0.0117881941089072,704,0.563620820959869,0.704,999
"MINEJ515",318,0.609643745808781,0.62228386662956,0.00906313482124746,93,-1.39467425676443,0.093,999
"MINEJ715",281,0.615110414844942,0.623109131976918,0.0102973432026884,214,-0.77677484128999,0.214,999
"MINEJ915",289,0.616470862168397,0.623232994332279,0.00987844233652963,255,-0.684534254846703,0.255,999
"MINEK515",220,0.618940832295558,0.621877034370194,0.0124662329020707,419,-0.23553242568957,0.419,999
"MINEK715",192,0.629810311954625,0.622095234331736,0.0136358740585032,711,0.565792672313368,0.711,999
"MINEK915",244,0.626275506645079,0.622180391670764,0.0120464458626342,622,0.339943832480645,0.622,999
"MINEP514",225,0.615453692063492,0.622087365153248,0.0125380142961649,299,-0.529084824204228,0.299,999
"MINEP515",284,0.612300236649579,0.622679426228348,0.0106975861149146,163,-0.970236599852968,0.163,999
"MINEP714",328,0.618698196091594,0.622309219387583,0.00934347802788814,345,-0.386475280961898,0.345,999
"MINEP715",314,0.620377408681142,0.623064194292581,0.00968373196832278,389,-0.277453529303388,0.389,999
"MINEP914",335,0.611567012959156,0.622843091094312,0.00862249579619387,101,-1.30775107366628,0.101,999
"MINEP915",302,0.623902580141251,0.622728490593077,0.0102221029165297,539,0.114857926765277,0.539,999
"MOTEF514",199,0.656963226232171,0.621855936713324,0.013773570366606,995,2.54888809396618,0.995,999
"MOTEF515",152,0.643192842453817,0.621417571373221,0.01549415822454,916,1.40538587285807,0.916,999
"MOTEF714",231,0.604536967438359,0.622526869176724,0.0123386877877907,72,-1.45800769480259,0.072,999
"MOTEF715",197,0.64188581477261,0.621763610928861,0.0136099162072947,925,1.47849579213156,0.925,999
"MOTEF914",262,0.623631415869673,0.622483269936018,0.010946182820291,552,0.104890074695921,0.552,999
"MOTEF915",254,0.651523620179889,0.622386665611489,0.0115960880863894,990,2.51265378042428,0.99,999
