"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.0610014157265657,0.00757634761761401,252,-0.434193568788998,0.252,999
"MBREF714",213,0.0698193284620738,0.0713637519406586,0.0105667200203679,536,-0.146159212660873,0.536,999
"MBREF715",187,0.0570176699369306,0.0597771552899022,0.00600831748442119,247,-0.459277553179668,0.247,999
"MBREF914",233,0.0608072630834512,0.0658670059125348,0.00869575224353765,158,-0.58186372925284,0.158,999
"MBREF915",234,0.0674294456289979,0.0688117968253711,0.00591949463587499,432,-0.233525204667902,0.432,999
"MBREJ515",332,0.105772634168157,0.104691933346127,0.00573048369039846,602,0.188588063489538,0.602,999
"MBREJ715",289,0.0885654495005549,0.094014808549147,0.0138126093634122,305,-0.394520608323782,0.305,999
"MBREJ915",243,0.10022172178289,0.103890479717775,0.0142040394170294,383,-0.258289760199233,0.383,999
"MBREK515",159,0.0604911674946771,0.0643278335902748,0.00781812627621216,244,-0.49073984738151,0.244,999
"MBREK715",163,0.0585663521571379,0.061833241496123,0.00589435286947444,200,-0.554240543674209,0.2,999
"MBREK915",208,0.0677796247787611,0.0696317563924234,0.00354087517867499,309,-0.523071704085153,0.309,999
"MBREP515",290,0.117518770926909,0.121572586447817,0.00904666677941616,301,-0.448100457301187,0.301,999
"MBREP714",307,0.0847147984161267,0.0830305821526975,0.00506886578160517,607,0.332266888884929,0.607,999
"MBREP715",321,0.0979536761406132,0.100001116510237,0.00401323677786996,298,-0.510171834593334,0.298,999
"MBREP914",291,0.0687472306579899,0.0718999259412733,0.00359130455897652,171,-0.877869095062732,0.171,999
"MBREP915",310,0.0792209650092081,0.0803676164070715,0.0043222647023925,444,-0.265289489842824,0.444,999
"MDPEF514",206,0.0773306925308194,0.081940523520429,0.00837944639532306,242,-0.550135506825672,0.242,999
"MDPEF515",155,0.0597578107344633,0.0608145290282568,0.00709232789253783,512,-0.148994562829691,0.512,999
"MDPEF714",261,0.0727236558761435,0.0723197676183603,0.00580882191357329,646,0.0695301497950002,0.646,999
"MDPEF715",200,0.062858814159292,0.0643593212263741,0.00401749811518198,356,-0.373492911275236,0.356,999
"MDPEF914",228,0.0591876514084507,0.0635830159860453,0.00718475949163697,149,-0.611762242384143,0.149,999
"MDPEF915",256,0.0726726237095052,0.0744166621607315,0.00600636048303299,387,-0.29036526464786,0.387,999
"MDPEJ515",256,0.104465068850019,0.104097672278676,0.00472873173859597,536,0.0776945260701176,0.536,999
"MDPEJ715",270,0.0946191753691034,0.0983785709054407,0.0124212544253612,294,-0.302658282939729,0.294,999
"MDPEJ915",245,0.0892553837719298,0.0942061809356838,0.0118580125619074,258,-0.417506486682087,0.258,999
"MDPEK515",154,0.0623846579689704,0.0645488003353007,0.00667237386305222,359,-0.324343690978421,0.359,999
"MDPEK715",197,0.063397609380469,0.0658871788389122,0.00592255762867945,290,-0.420353775265539,0.29,999
"MDPEK915",244,0.0667345566937478,0.0689227966031618,0.00426966373629505,262,-0.51250872306699,0.262,999
"MDPEP514",278,0.115623894363421,0.118034716307711,0.00880692523534866,309,-0.273741615815408,0.309,999
"MDPEP515",267,0.0992710436079015,0.100946491881747,0.007586872336995,382,-0.220835174156724,0.382,999
"MDPEP714",282,0.0768385234179478,0.0765202253815396,0.00392871015756209,587,0.0810184573671314,0.587,999
"MDPEP715",305,0.0840300722021661,0.0849932888230574,0.00416647575982828,469,-0.231182581254488,0.469,999
"MDPEP914",300,0.0734351831896552,0.0746834982695945,0.00398733859559313,380,-0.313069745649131,0.38,999
"MDPEP915",299,0.0841448300795372,0.0832156452077273,0.00367788065762582,585,0.252641387339022,0.585,999
"MINEF514",224,0.0656381042845594,0.0722186388862737,0.00981613245344445,159,-0.670379564754671,0.159,999
"MINEF515",202,0.0611535110777319,0.0642222899241779,0.00790617325888563,271,-0.388149708583363,0.271,999
"MINEF714",231,0.0686381921708185,0.0714102103774686,0.00820468521024709,371,-0.337857959887121,0.371,999
"MINEF715",238,0.0502704699453552,0.0547305142533789,0.0074495294848988,97,-0.598701477330193,0.097,999
"MINEF914",222,0.0545644002943341,0.0603902312190248,0.00915446023547577,124,-0.636392618989615,0.124,999
"MINEF915",244,0.0613456090336912,0.0644681469955549,0.00654009775764655,270,-0.477445151062598,0.27,999
"MINEJ515",318,0.0715025393621316,0.0719266969580901,0.00668237526029267,577,-0.0634740761236247,0.577,999
"MINEJ715",281,0.06997846692607,0.0715385632277265,0.00419203989921772,347,-0.372156835135945,0.347,999
"MINEJ915",289,0.0664226635514019,0.0691858679735954,0.0052702181435241,278,-0.524305512019248,0.278,999
"MINEK515",220,0.0683270945945946,0.0672856900204411,0.00856440419491876,723,0.121596850224713,0.723,999
"MINEK715",192,0.0509315526122149,0.0552184956542179,0.00781052420480387,151,-0.54886751895171,0.151,999
"MINEK915",244,0.0640715484589677,0.0669367965252452,0.00570185595668715,229,-0.502511478375235,0.229,999
"MINEP514",225,0.104662870813397,0.106515135887057,0.0107822882166318,291,-0.171787753809336,0.291,999
"MINEP515",284,0.075391664730933,0.0789746942726374,0.00614904405394477,188,-0.582697003025333,0.188,999
"MINEP714",328,0.0714224564586357,0.0725323497317568,0.00349780238082822,373,-0.317311600908198,0.373,999
"MINEP715",314,0.0610716400467472,0.0650451051175056,0.00475540817048253,77,-0.835567616555451,0.077,999
"MINEP914",335,0.0648307534775889,0.0665547317332546,0.00380422253622866,307,-0.453174923193333,0.307,999
"MINEP915",302,0.0700195831739962,0.0715780221472686,0.00505757695188695,379,-0.308139448613033,0.379,999
