"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.138354874502426,0.0290891939898487,1,-2.77226863743561,0.001,999
"MBREF714",213,0.0698193284620738,0.119604698303035,0.0290686592266161,6,-1.71268201442798,0.006,999
"MBREF715",187,0.0570176699369306,0.125463892501471,0.0305749878701277,1,-2.23863449612073,0.001,999
"MBREF914",233,0.0608072630834512,0.116587051011407,0.0181643301372052,1,-3.070842002244,0.001,999
"MBREF915",234,0.0674294456289979,0.113808448725911,0.0195471201973933,1,-2.37267703009769,0.001,999
"MBREJ515",332,0.105772634168157,0.0982890082211012,0.0126852385113498,767,0.589947594628225,0.767,999
"MBREJ715",289,0.0885654495005549,0.104718595632258,0.0253898795139498,292,-0.636204127035278,0.292,999
"MBREJ915",243,0.10022172178289,0.113312420029663,0.029327396255194,390,-0.446364148145426,0.39,999
"MBREK515",159,0.0604911674946771,0.134382276065988,0.0240386590742548,1,-3.07384485728023,0.001,999
"MBREK715",163,0.0585663521571379,0.134685475310456,0.0334047652917055,1,-2.27869055473408,0.001,999
"MBREK915",208,0.0677796247787611,0.121568392069946,0.0231688565239754,1,-2.32159784128853,0.001,999
"MBREP515",290,0.117518770926909,0.105709505969833,0.0198748602285728,785,0.594181031778973,0.785,999
"MBREP714",307,0.0847147984161267,0.102083270383414,0.0161808798332444,124,-1.07339478114183,0.124,999
"MBREP715",321,0.0979536761406132,0.100779330377498,0.0147880353275911,488,-0.191077054814217,0.488,999
"MBREP914",291,0.0687472306579899,0.104877563137975,0.0151417232937298,1,-2.38614401934996,0.001,999
"MBREP915",310,0.0792209650092081,0.101840033598977,0.0173595589580506,42,-1.30297484195465,0.042,999
"MDPEF514",206,0.0773306925308194,0.121985808241164,0.0185972472180848,1,-2.40116804313487,0.001,999
"MDPEF515",155,0.0597578107344633,0.136549378124594,0.0258723121288405,1,-2.96809836738668,0.001,999
"MDPEF714",261,0.0727236558761435,0.109636843004158,0.0174509421172685,6,-2.11525468825477,0.006,999
"MDPEF715",200,0.062858814159292,0.122738852668598,0.0249752961246503,1,-2.39757071189258,0.001,999
"MDPEF914",228,0.0591876514084507,0.11594595479987,0.0182210038886687,1,-3.11499320993595,0.001,999
"MDPEF915",256,0.0726726237095052,0.110500143896121,0.0171855429404742,1,-2.20112453343137,0.001,999
"MDPEJ515",256,0.104465068850019,0.11029764108731,0.0163607868127801,385,-0.356497050174583,0.385,999
"MDPEJ715",270,0.0946191753691034,0.108750400115636,0.0267939197065107,357,-0.527404161142531,0.357,999
"MDPEJ915",245,0.0892553837719298,0.113485639499148,0.0265604678362921,153,-0.912267655696574,0.153,999
"MDPEK515",154,0.0623846579689704,0.137533216908728,0.0250627032722678,1,-2.99842192294199,0.001,999
"MDPEK715",197,0.063397609380469,0.12401786765064,0.0266804002593147,1,-2.2720895369254,0.001,999
"MDPEK915",244,0.0667345566937478,0.113222351984623,0.0203476063963412,1,-2.28468127333319,0.001,999
"MDPEP514",278,0.115623894363421,0.106568393951697,0.0186490457581553,717,0.485574464729072,0.717,999
"MDPEP515",267,0.0992710436079015,0.10852621652215,0.0170854594593491,332,-0.541698801619542,0.332,999
"MDPEP714",282,0.0768385234179478,0.106287264128626,0.0193803133860234,8,-1.51951829282163,0.008,999
"MDPEP715",305,0.0840300722021661,0.103382663287837,0.0159708469930319,86,-1.2117448181749,0.086,999
"MDPEP914",300,0.0734351831896552,0.103624468380018,0.0140305194151311,3,-2.15168692598831,0.003,999
"MDPEP915",299,0.0841448300795372,0.102566754143876,0.0141580196470575,77,-1.30116531291633,0.077,999
"MINEF514",224,0.0656381042845594,0.116998150494876,0.018955354931447,1,-2.70952701207987,0.001,999
"MINEF515",202,0.0611535110777319,0.122919233473052,0.0205136622305453,1,-3.01095541601295,0.001,999
"MINEF714",231,0.0686381921708185,0.114649980393205,0.0177854403450959,1,-2.58704801959392,0.001,999
"MINEF715",238,0.0502704699453552,0.114035471529818,0.0194851837387821,1,-3.27248654358586,0.001,999
"MINEF914",222,0.0545644002943341,0.117769337682053,0.0186120400921882,1,-3.39591667945348,0.001,999
"MINEF915",244,0.0613456090336912,0.112451701008672,0.0181941519598607,1,-2.80892959934212,0.001,999
"MINEJ515",318,0.0715025393621316,0.100402356045994,0.0120653715893591,3,-2.39526950909243,0.003,999
"MINEJ715",281,0.06997846692607,0.105212959216025,0.0158429370871947,5,-2.22398738920918,0.005,999
"MINEJ915",289,0.0664226635514019,0.105078072636499,0.0145475604196875,1,-2.65717467189787,0.001,999
"MINEK515",220,0.0683270945945946,0.11739480168607,0.0201477966452803,1,-2.43538824395323,0.001,999
"MINEK715",192,0.0509315526122149,0.124772973886322,0.026559168195118,1,-2.78026106584468,0.001,999
"MINEK915",244,0.0640715484589677,0.112089175621964,0.0161784840189977,1,-2.96799299035754,0.001,999
"MINEP514",225,0.104662870813397,0.117248656207316,0.0215471556727671,312,-0.584104258819934,0.312,999
"MINEP515",284,0.075391664730933,0.105805233390572,0.0142251130314938,5,-2.13801947248538,0.005,999
"MINEP714",328,0.0714224564586357,0.0988839089633901,0.0120904858358327,4,-2.27132746174406,0.004,999
"MINEP715",314,0.0610716400467472,0.101472514466161,0.0141789472803633,1,-2.8493564169863,0.001,999
"MINEP914",335,0.0648307534775889,0.0988943930986628,0.0141442195072616,1,-2.40830818579886,0.001,999
"MINEP915",302,0.0700195831739962,0.102555643383345,0.0143754679781429,3,-2.26330441964172,0.003,999
"MOTEF514",199,0.077293128410331,0.124159627699726,0.0202972824104633,1,-2.3090036558409,0.001,999
"MOTEF515",152,0.0667959361702128,0.138122640608694,0.0229211461850132,1,-3.11182974283883,0.001,999
"MOTEF714",231,0.0758745708304257,0.116525907257572,0.0205884493584209,2,-1.97447295420134,0.002,999
"MOTEF715",197,0.0641620168067227,0.122760179156748,0.0254283738876667,1,-2.30444001684459,0.001,999
"MOTEF914",262,0.0643952596491228,0.109205747817993,0.016554243456542,1,-2.70688831455854,0.001,999
"MOTEF915",254,0.072740049522462,0.110679582210438,0.0186480372040801,2,-2.03450541591988,0.002,999
