"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.139758097945571,0.0291158426665985,1,-2.81792577906758,0.001,999
"MBREF714",213,0.0698193284620738,0.119403056191195,0.0283911413354186,3,-1.74645066724613,0.003,999
"MBREF715",187,0.0570176699369306,0.126603148267398,0.0285459601482351,1,-2.43766466319999,0.001,999
"MBREF914",233,0.0608072630834512,0.115280334864568,0.0174291563439398,1,-3.12539922794697,0.001,999
"MBREF915",234,0.0674294456289979,0.115371080551056,0.0209292409205591,1,-2.29065330673145,0.001,999
"MBREJ515",332,0.105772634168157,0.0989114117292606,0.0129683015172127,757,0.529076412187826,0.757,999
"MBREJ715",289,0.0885654495005549,0.105112988345356,0.0255005344436131,269,-0.648909491735994,0.269,999
"MBREJ915",243,0.10022172178289,0.11492994653532,0.0313959241325906,385,-0.46847561136646,0.385,999
"MBREK515",159,0.0604911674946771,0.134521462612364,0.0253287461100799,1,-2.92277773230258,0.001,999
"MBREK715",163,0.0585663521571379,0.132862932673115,0.0323497064634511,1,-2.29666938709067,0.001,999
"MBREK915",208,0.0677796247787611,0.12058507669085,0.0230925531008899,1,-2.28668747372304,0.001,999
"MBREP515",290,0.117518770926909,0.104375225057642,0.0195250728664455,793,0.673162449081263,0.793,999
"MBREP714",307,0.0847147984161267,0.103116721844234,0.0172777912967528,110,-1.06506225894546,0.11,999
"MBREP715",321,0.0979536761406132,0.0999187073386026,0.0148575061788429,517,-0.132258480954738,0.517,999
"MBREP914",291,0.0687472306579899,0.104138655904639,0.0139474759172295,1,-2.53747885686828,0.001,999
"MBREP915",310,0.0792209650092081,0.101971124992396,0.0165080216370958,45,-1.37812758447474,0.045,999
"MDPEF514",206,0.0773306925308194,0.122467277527709,0.0180503511883635,2,-2.50059317549388,0.002,999
"MDPEF515",155,0.0597578107344633,0.138757229623691,0.0258471551823822,1,-3.05640672374944,0.001,999
"MDPEF714",261,0.0727236558761435,0.108887626990115,0.0173594489877093,3,-2.0832441824378,0.003,999
"MDPEF715",200,0.062858814159292,0.122822532730961,0.0241081586226626,1,-2.48727907884681,0.001,999
"MDPEF914",228,0.0591876514084507,0.11540207183592,0.0193215036847944,1,-2.9094226486994,0.001,999
