"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.588231307875469,0.0470399300905423,7,-2.30385944742318,0.007,999
"MBREF714",213,0.565561036787962,0.579631902382259,0.0498831027491131,430,-0.282076791916223,0.43,999
"MBREF715",187,0.406008876208118,0.576087074199711,0.0521335445845636,1,-3.26235630718944,0.001,999
"MBREF914",233,0.579834445452527,0.60389850688471,0.0359109579337048,248,-0.670103578874389,0.248,999
"MBREF915",234,0.512459163467867,0.59786456707305,0.0401397004485126,8,-2.12770405984302,0.008,999
"MBREJ515",332,0.625779547396482,0.611866036343578,0.0293774641269359,728,0.473611711098857,0.728,999
"MBREJ715",289,0.628366965324972,0.579482682415744,0.0479448396482351,858,1.01959425180866,0.858,999
"MBREJ915",243,0.624806797089847,0.571254444846605,0.0523686618219061,880,1.02260302975396,0.88,999
"MBREK515",159,0.496707550981448,0.592399587877684,0.0435749970233983,7,-2.19603083036019,0.007,999
"MBREK715",163,0.388924570438157,0.571153983873154,0.0541033870109742,1,-3.3681701553737,0.001,999
"MBREK915",208,0.505021722915185,0.595395490261686,0.0431542549954779,14,-2.09420293215515,0.014,999
"MBREP515",290,0.650492145142699,0.59767116699718,0.0375491681599834,920,1.40671500152729,0.92,999
"MBREP714",307,0.67057258761243,0.604101247453762,0.0343860490935147,962,1.93309036399894,0.962,999
"MBREP715",321,0.621602145293413,0.605303152147736,0.0322017411718337,714,0.506152541836242,0.714,999
"MBREP914",291,0.638951267061713,0.60790550454718,0.0312860759511917,856,0.992318837394811,0.856,999
"MBREP915",310,0.632087060948486,0.601698479905636,0.0353885241699706,828,0.858712866829189,0.828,999
"MDPEF514",206,0.623251442477839,0.605062888409167,0.0343857982571229,727,0.528955411552904,0.727,999
"MDPEF515",155,0.496067933015337,0.590185388993958,0.0443123613962108,9,-2.12395487428636,0.009,999
"MDPEF714",261,0.601602230959554,0.602061836294673,0.0365985646961085,518,-0.012558015292004,0.518,999
"MDPEF715",200,0.486283658470358,0.590894611695232,0.0444895396481816,4,-2.35136065808112,0.004,999
"MDPEF914",228,0.569620226839913,0.604668509912325,0.0369070386738447,173,-0.949636826247193,0.173,999
"MDPEF915",256,0.561405656086112,0.602017801651153,0.034820892162661,116,-1.1663154802389,0.116,999
"MDPEJ515",256,0.613992330122193,0.605299668877415,0.0354310421917953,640,0.245340263990046,0.64,999
"MDPEJ715",270,0.629314139996361,0.578495403957518,0.0530591269065806,845,0.957775579841679,0.845,999
"MDPEJ915",245,0.641740066486804,0.584309119270626,0.048561776408693,900,1.18263686922905,0.9,999
"MDPEK515",154,0.528643640591648,0.594743057905358,0.0429785253825695,49,-1.53796382554619,0.049,999
"MDPEK715",197,0.4848487592143,0.587971347290398,0.0454796706561432,9,-2.26744359816881,0.009,999
"MDPEK915",244,0.5412793675162,0.597140225184098,0.0396465966767234,68,-1.40896980700224,0.068,999
"MDPEP514",278,0.649597175351507,0.596947918272104,0.0393675100527531,907,1.33737838661506,0.907,999
"MDPEP515",267,0.630487337862154,0.605246895432991,0.035126942719123,787,0.718549366251051,0.787,999
"MDPEP714",282,0.655707964764843,0.596855050423069,0.0359897399441186,947,1.63526923042942,0.947,999
"MDPEP715",305,0.618581573814334,0.60568804143937,0.0325682543218468,662,0.395892645873707,0.662,999
"MDPEP914",300,0.644380290318652,0.608835853002513,0.0300616922969148,888,1.18238311286907,0.888,999
"MDPEP915",299,0.628012687737003,0.605464828628896,0.0324296656267698,796,0.695284970483741,0.796,999
"MINEF514",224,0.603077802223153,0.600030655328947,0.0376868149973779,567,0.0808544551832915,0.567,999
"MINEF515",202,0.551658102910653,0.599179266945246,0.0379622825424348,95,-1.25179944018046,0.095,999
"MINEF714",231,0.594426514405846,0.602764078385824,0.0363090506529395,455,-0.229627705215222,0.455,999
