"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.584086613863642,0.0460832636079475,7,-2.26174721955715,0.007,999
"MBREF714",213,0.565561036787962,0.573300281224049,0.0504816411049441,489,-0.153308099077031,0.489,999
"MBREF715",187,0.406008876208118,0.572052347931169,0.0542071311158674,1,-3.06312967141048,0.001,999
"MBREF914",233,0.579834445452527,0.602784250650496,0.0355673291028962,259,-0.645249609032361,0.259,999
"MBREF915",234,0.512459163467867,0.596778360417221,0.0394345646372869,7,-2.13820534662698,0.007,999
"MBREJ515",332,0.625779547396482,0.610448481581934,0.0281832658337587,733,0.543977617958784,0.733,999
"MBREJ715",289,0.628366965324972,0.582557349110907,0.0501018660132709,848,0.91432954217576,0.848,999
"MBREJ915",243,0.624806797089847,0.567870334397909,0.0494943745082233,893,1.1503623039519,0.893,999
"MBREK515",159,0.496707550981448,0.589275462815382,0.0431821574191828,9,-2.14366111760808,0.009,999
"MBREK715",163,0.388924570438157,0.56579169650705,0.0564321427407573,1,-3.13415577504118,0.001,999
"MBREK915",208,0.505021722915185,0.590913781769251,0.0412627759020583,12,-2.08158702308202,0.012,999
"MBREP515",290,0.650492145142699,0.598317960561975,0.037167296800559,918,1.40376591982711,0.918,999
"MBREP714",307,0.67057258761243,0.602851284421484,0.0353046537109732,960,1.91819763324565,0.96,999
"MBREP715",321,0.621602145293413,0.607025172807766,0.0323562239399125,707,0.450515255201495,0.707,999
"MBREP914",291,0.638951267061713,0.609661451885134,0.0306982746257766,842,0.954119263497137,0.842,999
"MBREP915",310,0.632087060948486,0.60076261278174,0.0335306566327978,850,0.934203243013904,0.85,999
"MDPEF514",206,0.623251442477839,0.602495436290524,0.0355048591415429,737,0.58459621272034,0.737,999
"MDPEF515",155,0.496067933015337,0.590024644741689,0.0445430992845988,14,-2.10934383182533,0.014,999
"MDPEF714",261,0.601602230959554,0.600145420050292,0.0368571464964514,549,0.0395258734802313,0.549,999
"MDPEF715",200,0.486283658470358,0.584348407154729,0.0424894986744396,8,-2.30797612924918,0.008,999
"MDPEF914",228,0.569620226839913,0.600304582774383,0.0364051604176706,193,-0.842857319743513,0.193,999
"MDPEF915",256,0.561405656086112,0.601212564963216,0.0346878546874168,119,-1.1475748280145,0.119,999
"MDPEJ515",256,0.613992330122193,0.601736735926593,0.0347886281885983,653,0.352287366123169,0.653,999
"MDPEJ715",270,0.629314139996361,0.575072714159464,0.0511457359526518,871,1.06052684210295,0.871,999
"MDPEJ915",245,0.641740066486804,0.58146045133831,0.0461385778408794,905,1.30649053285481,0.905,999
"MDPEK515",154,0.528643640591648,0.591219637738002,0.0429760391156566,56,-1.45606711167473,0.056,999
"MDPEK715",197,0.4848487592143,0.583149578121025,0.045227346100584,4,-2.17348191707088,0.004,999
"MDPEK915",244,0.5412793675162,0.596555469464889,0.0395083053636386,68,-1.39910080779022,0.068,999
"MDPEP514",278,0.649597175351507,0.594481572107053,0.0371908577125811,921,1.48196644644226,0.921,999
"MDPEP515",267,0.630487337862154,0.605186306607454,0.0336083152783454,789,0.752820575656828,0.789,999
"MDPEP714",282,0.655707964764843,0.599296678240917,0.039025628847603,940,1.44549333834478,0.94,999
"MDPEP715",305,0.618581573814334,0.603716659151033,0.033672127798782,701,0.441460508588304,0.701,999
"MDPEP914",300,0.644380290318652,0.611200136688663,0.0290052047063865,871,1.14393792306809,0.871,999
"MDPEP915",299,0.628012687737003,0.604970261739266,0.0313119772956984,786,0.735898144666251,0.786,999
"MINEF514",224,0.603077802223153,0.602595999054678,0.0385602485867656,549,0.0124948148970336,0.549,999
"MINEF515",202,0.551658102910653,0.598141632113772,0.0390664100340347,100,-1.18985924641199,0.1,999
"MINEF714",231,0.594426514405846,0.604087868771191,0.0351094121649321,423,-0.27517847123044,0.423,999
"MINEF715",238,0.536313989997379,0.597510073470428,0.0375937637559682,40,-1.62782539865629,0.04,999
"MINEF914",222,0.556571997624644,0.601443289857612,0.0366106081553391,105,-1.22563635224464,0.105,999
"MINEF915",244,0.53788492109481,0.59880312015838,0.0391414549614501,40,-1.55636010780814,0.04,999
"MINEJ515",318,0.613139976755061,0.610704612981326,0.0261541481486044,561,0.093115774977547,0.561,999
"MINEJ715",281,0.583935642519947,0.604448108087469,0.0334888682933433,280,-0.612515937769074,0.28,999
"MINEJ915",289,0.621664412042294,0.609059440634935,0.0306505270255696,690,0.41124811318394,0.69,999
"MINEK515",220,0.543240373754949,0.59719161633484,0.0380495615285522,57,-1.41792021806628,0.057,999
"MINEK715",192,0.476131529700614,0.583054812549721,0.0483360123234437,6,-2.21208324206851,0.006,999
"MINEK915",244,0.578896438029086,0.603166150735584,0.0338884602249555,245,-0.716164515749391,0.245,999
"MINEP514",225,0.636499184618158,0.594777813762899,0.0386740331852025,864,1.0787954453952,0.864,999
"MINEP515",284,0.596443298124414,0.607741039426627,0.0305651951374178,380,-0.369627651694007,0.38,999
"MINEP714",328,0.635110616417327,0.61290523283015,0.0277038309172027,802,0.801527545181063,0.802,999
"MINEP715",314,0.596654603256793,0.606412402343366,0.0310822469513838,405,-0.313934803421252,0.405,999
"MINEP914",335,0.605836957262027,0.609293742844602,0.0310764170223476,481,-0.111235010782895,0.481,999
"MINEP915",302,0.61153865214438,0.610452701633284,0.0298030000972601,536,0.0364376239825266,0.536,999
"MOTEF514",199,0.624960158306185,0.599596828582168,0.0365564539914392,777,0.693812636476087,0.777,999
"MOTEF515",152,0.550814732266989,0.598372841601322,0.0403527098598346,110,-1.1785604857648,0.11,999
"MOTEF714",231,0.612706893292343,0.599479416927035,0.0378781379611397,675,0.349211367751973,0.675,999
"MOTEF715",197,0.496946437621617,0.582178913623633,0.0464695918360699,19,-1.83415589925319,0.019,999
"MOTEF914",262,0.581757680721453,0.605524116998814,0.0345643337346303,235,-0.687600011613964,0.235,999
"MOTEF915",254,0.551990509199969,0.599762672575499,0.0375175925067443,92,-1.27332699631358,0.092,999
"MOTEJ515",275,0.647661089868045,0.603450981784821,0.0344665664908693,906,1.28269545198057,0.906,999
"MOTEJ715",218,0.608331370808984,0.573625423693216,0.0545867124411524,781,0.635794785281925,0.781,999
"MOTEJ915",258,0.667648528266767,0.586214584744702,0.0434116943557784,968,1.8758526874044,0.968,999
