"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.582020175679022,0.0459480455863187,5,-2.22342982917196,0.005,999
"MBREF714",213,0.565561036787962,0.577794710069668,0.0519969524652348,441,-0.235276736456549,0.441,999
"MBREF715",187,0.406008876208118,0.568407078212506,0.0523226829975373,1,-3.10378200621004,0.001,999
"MBREF914",233,0.579834445452527,0.601769543958359,0.0356933897983526,272,-0.614542318052535,0.272,999
"MBREF915",234,0.512459163467867,0.594824025038466,0.0390178995653521,9,-2.1109506787428,0.009,999
"MBREJ515",332,0.625779547396482,0.610858071490839,0.0295776560704635,718,0.504484732329536,0.718,999
"MBREJ715",289,0.628366965324972,0.58247205672325,0.0496066318802124,853,0.925176873780645,0.853,999
"MBREJ915",243,0.624806797089847,0.56978693339004,0.0524599524623094,881,1.04879743723246,0.881,999
"MBREK515",159,0.496707550981448,0.590854996884355,0.0454064744447312,10,-2.07343659806717,0.01,999
"MBREK715",163,0.388924570438157,0.564360505235022,0.0519782093507768,1,-3.37518235022159,0.001,999
"MBREK915",208,0.505021722915185,0.591676932283648,0.0435403699951486,9,-1.99022675687225,0.009,999
"MBREP515",290,0.650492145142699,0.599689507307197,0.0369054817947585,918,1.37656075371213,0.918,999
"MBREP714",307,0.67057258761243,0.603569480351752,0.0351623288689986,962,1.90553667563675,0.962,999
"MBREP715",321,0.621602145293413,0.603504418673071,0.0294386263354942,755,0.614761246468931,0.755,999
"MBREP914",291,0.638951267061713,0.608189203068818,0.0309815101062138,858,0.992916868397751,0.858,999
"MBREP915",310,0.632087060948486,0.603432930091179,0.0358044380581098,827,0.800295505568374,0.827,999
"MDPEF514",206,0.623251442477839,0.603586132390978,0.0341746638126516,743,0.575435363305054,0.743,999
"MDPEF515",155,0.496067933015337,0.589041120863699,0.0444052020186988,8,-2.09374540868457,0.008,999
"MDPEF714",261,0.601602230959554,0.603513788762012,0.0362884554283801,521,-0.0526767474639675,0.521,999
"MDPEF715",200,0.486283658470358,0.586848229196978,0.0444292951076694,5,-2.2634743693978,0.005,999
"MDPEF914",228,0.569620226839913,0.599390668547225,0.0362412895169678,209,-0.821450950120678,0.209,999
"MDPEF915",256,0.561405656086112,0.601279914346519,0.0352769396443661,131,-1.13032078922909,0.131,999
"MDPEJ515",256,0.613992330122193,0.603493186507262,0.0349860357826545,644,0.30009526315456,0.644,999
"MDPEJ715",270,0.629314139996361,0.57392043252145,0.0507657553401381,881,1.09116287355059,0.881,999
"MDPEJ915",245,0.641740066486804,0.582740531153664,0.046583154208647,907,1.26654230129801,0.907,999
"MDPEK515",154,0.528643640591648,0.590737453975612,0.0442116192723791,65,-1.40446820102689,0.065,999
"MDPEK715",197,0.4848487592143,0.583248529924614,0.0450852252661634,6,-2.18252809272672,0.006,999
"MDPEK915",244,0.5412793675162,0.596019352101276,0.0410418653084341,59,-1.33375966646982,0.059,999
"MDPEP514",278,0.649597175351507,0.59693394694793,0.0403528810605894,910,1.30506737113771,0.91,999
"MDPEP515",267,0.630487337862154,0.603940003783151,0.0330027781451085,805,0.804396949925792,0.805,999
"MDPEP714",282,0.655707964764843,0.598637888565642,0.0382853897173948,934,1.49064895565817,0.934,999
"MDPEP715",305,0.618581573814334,0.603232739438588,0.0340863407912153,706,0.450292815816171,0.706,999
"MDPEP914",300,0.644380290318652,0.610093844673078,0.0288709383756082,875,1.1875764202573,0.875,999
"MDPEP915",299,0.628012687737003,0.606564447846802,0.0335567794555335,763,0.639162644276445,0.763,999
"MINEF514",224,0.603077802223153,0.602040323010936,0.0364351083751187,548,0.0284747118503248,0.548,999
"MINEF515",202,0.551658102910653,0.600483084049257,0.0387485286673551,94,-1.26004735709457,0.094,999
"MINEF714",231,0.594426514405846,0.603636356093919,0.0351937075796166,418,-0.261690009989376,0.418,999
"MINEF715",238,0.536313989997379,0.597475828956135,0.0381067710263985,37,-1.60501237211587,0.037,999
"MINEF914",222,0.556571997624644,0.602096993108381,0.0382545316627644,107,-1.19005496878293,0.107,999
"MINEF915",244,0.53788492109481,0.597659758812586,0.0378227597358433,46,-1.580393343459,0.046,999
"MINEJ515",318,0.613139976755061,0.611417154220929,0.0270375779521839,552,0.0637195586519935,0.552,999
"MINEJ715",281,0.583935642519947,0.605847445404902,0.0343541074027012,262,-0.637821924118204,0.262,999
"MINEJ915",289,0.621664412042294,0.607744381204189,0.0298414395727177,696,0.466466465338725,0.696,999
"MINEK515",220,0.543240373754949,0.59622284953624,0.038363179982529,80,-1.3810762247921,0.08,999
"MINEK715",192,0.476131529700614,0.585387219274887,0.0484585168238792,3,-2.25462306185223,0.003,999
"MINEK915",244,0.578896438029086,0.603583972637511,0.0336008061512549,226,-0.734730425731262,0.226,999
"MINEP514",225,0.636499184618158,0.596706725842704,0.0400991127901898,854,0.99235259851408,0.854,999
"MINEP515",284,0.596443298124414,0.607892354385225,0.0308642955143302,362,-0.370948245214132,0.362,999
"MINEP714",328,0.635110616417327,0.612144935851299,0.0283652168702382,805,0.809642340162189,0.805,999
"MINEP715",314,0.596654603256793,0.609783007982046,0.0325792615653842,358,-0.402968148891457,0.358,999
"MINEP914",335,0.605836957262027,0.609895385713597,0.0296952284051906,466,-0.13666937988126,0.466,999
"MINEP915",302,0.61153865214438,0.610158384015006,0.0295112660822358,532,0.0467708882949259,0.532,999
"MOTEF514",199,0.624960158306185,0.601054346651395,0.0368257546959967,766,0.649160128614799,0.766,999
"MOTEF515",152,0.550814732266989,0.598292553208014,0.0410899797033113,109,-1.15545982947271,0.109,999
"MOTEF714",231,0.612706893292343,0.597968310956078,0.0380052333598028,692,0.38780402153386,0.692,999
"MOTEF715",197,0.496946437621617,0.585628862042597,0.0465215472755253,12,-1.90626558260745,0.012,999
"MOTEF914",262,0.581757680721453,0.603959082880211,0.0330148996216179,249,-0.67246614144545,0.249,999
