"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.48020148915346,0.00268121943772131,419.5,-0.128138942444905,0.4195,999
"MBREF714",213,0.565561036787962,0.565725966477231,0.00252458329359974,487,-0.0653294702882354,0.487,999
"MBREF715",187,0.406008876208118,0.40669417783271,0.00545176292066334,445.5,-0.125702756074578,0.4455,999
"MBREF914",233,0.579834445452527,0.58033735482175,0.00379562786376799,467,-0.132497016903142,0.467,999
"MBREF915",234,0.512459163467867,0.513124640335583,0.00443226333211175,454.5,-0.150143801902484,0.4545,999
"MBREJ515",332,0.625779547396482,0.625858018539365,0.00223274549177191,452.5,-0.035145583396127,0.4525,999
"MBREJ715",289,0.628366965324972,0.628805541936389,0.00257850714996025,457.5,-0.170089352446901,0.4575,999
"MBREJ915",243,0.624806797089847,0.625067248063566,0.00184463445722158,448.5,-0.141193813603429,0.4485,999
"MBREK515",159,0.496707550981448,0.497088453109099,0.00378180766516717,481,-0.100719592685553,0.481,999
"MBREK715",163,0.388924570438157,0.389582957280406,0.00502504458904155,449.5,-0.131021094555927,0.4495,999
"MBREK915",208,0.505021722915185,0.505250392442378,0.00247922059211998,487.5,-0.0922344417111715,0.4875,999
"MBREP515",290,0.650492145142699,0.650420598897608,0.00274095382534703,545.5,0.0261026816393945,0.5455,999
"MBREP714",307,0.67057258761243,0.67063414892233,0.00159144058530045,455.5,-0.0386827572886137,0.4555,999
"MBREP715",321,0.621602145293413,0.621496691221624,0.00171790849006101,522.5,0.0613851508381445,0.5225,999
"MBREP914",291,0.638951267061713,0.638938015700414,0.00164648346743759,515,0.0080482808121396,0.515,999
"MBREP915",310,0.632087060948486,0.632113764124106,0.00123077242429928,484.5,-0.0216962738955616,0.4845,999
"MDPEF514",206,0.623251442477839,0.623178393404341,0.00206060091193636,505,0.0354503742449842,0.505,999
"MDPEF515",155,0.496067933015337,0.496345236885481,0.00219917752749132,430.5,-0.12609435422004,0.4305,999
"MDPEF714",261,0.601602230959554,0.601693318861871,0.00246966870571066,451,-0.0368826402129598,0.451,999
"MDPEF715",200,0.486283658470358,0.486519156725565,0.00216441270648608,432,-0.108804690760699,0.432,999
"MDPEF914",228,0.569620226839913,0.570033990216979,0.00297498340206062,494.5,-0.139080902696715,0.4945,999
"MDPEF915",256,0.561405656086112,0.561744829008396,0.00314044337566714,508,-0.108001604140362,0.508,999
"MDPEJ515",256,0.613992330122193,0.613952314616449,0.00181073170371586,501,0.0220990805329326,0.501,999
"MDPEJ715",270,0.629314139996361,0.629608700225759,0.0028432379724668,504,-0.103600272734976,0.504,999
"MDPEJ915",245,0.641740066486804,0.641893029610625,0.00161933460805452,485.5,-0.0944604796689077,0.4855,999
"MDPEK515",154,0.528643640591648,0.528771560023429,0.00165664391635264,460,-0.0772160091367797,0.46,999
"MDPEK715",197,0.4848487592143,0.485218481097099,0.00438425782807508,488.5,-0.0843294115668644,0.4885,999
"MDPEK915",244,0.5412793675162,0.541494570070599,0.00263109529354624,497.5,-0.0817920030976267,0.4975,999
"MDPEP514",278,0.649597175351507,0.649733202172695,0.00343614741479928,435.5,-0.0395870155636746,0.4355,999
"MDPEP515",267,0.630487337862154,0.630406392245528,0.00222366806229378,494.5,0.036401843421933,0.4945,999
"MDPEP714",282,0.655707964764843,0.655608486967964,0.0014902745213968,500,0.0667513236324965,0.5,999
"MDPEP715",305,0.618581573814334,0.618486452258542,0.00161001121576323,490,0.0590813000932807,0.49,999
"MDPEP914",300,0.644380290318652,0.644415089930636,0.0012680768532199,495,-0.0274428256424654,0.495,999
"MDPEP915",299,0.628012687737003,0.628041885551508,0.00198126038388693,497,-0.0147369900207416,0.497,999
"MINEF514",224,0.603077802223153,0.603406796414328,0.00215151684602816,447.5,-0.15291267264868,0.4475,999
"MINEF515",202,0.551658102910653,0.551979079492545,0.00236276135209506,419.5,-0.135848075222079,0.4195,999
"MINEF714",231,0.594426514405846,0.594655688089601,0.00203160981089492,467,-0.112803985551742,0.467,999
"MINEF715",238,0.536313989997379,0.536714364759211,0.00270306573403978,414,-0.148118766329091,0.414,999
"MINEF914",222,0.556571997624644,0.556982448912422,0.00280814236050255,423.5,-0.146164700747042,0.4235,999
"MINEF915",244,0.53788492109481,0.538218349515211,0.00234268681966413,442.5,-0.14232735575304,0.4425,999
"MINEJ515",318,0.613139976755061,0.613337260986828,0.00267596797884971,446,-0.0737244366622457,0.446,999
"MINEJ715",281,0.583935642519947,0.584116640616831,0.00136153271299613,488,-0.132937016610757,0.488,999
"MINEJ915",289,0.621664412042294,0.621802481084491,0.00222279730685532,450.5,-0.0621149943684329,0.4505,999
"MINEK515",220,0.543240373754949,0.543857141465297,0.00376858711254868,403.5,-0.163660197290995,0.4035,999
"MINEK715",192,0.476131529700614,0.476655775482133,0.0040814660413402,438.5,-0.128445459599234,0.4385,999
"MINEK915",244,0.578896438029086,0.579178110741837,0.00261407951507967,463.5,-0.107752159460402,0.4635,999
"MINEP514",225,0.636499184618158,0.636800974893305,0.00458163792917004,369.5,-0.0658695164943843,0.3695,999
"MINEP515",284,0.596443298124414,0.596698045064725,0.00312257757404585,430,-0.0815822615356051,0.43,999
"MINEP714",328,0.635110616417327,0.635173708818825,0.00123136666145954,463.5,-0.0512377047984266,0.4635,999
"MINEP715",314,0.596654603256793,0.596867266212024,0.00170446485564443,470.5,-0.124768166693044,0.4705,999
"MINEP914",335,0.605836957262027,0.606131540395372,0.00210710356657412,425,-0.139804771828945,0.425,999
"MINEP915",302,0.61153865214438,0.611770220462534,0.00186754241592926,512.5,-0.123996283125539,0.5125,999
"MOTEF514",199,0.624960158306185,0.624811088446161,0.00189561399947987,525,0.0786393538271095,0.525,999
"MOTEF515",152,0.550814732266989,0.550859675360651,0.00215122559146848,472,-0.0208918552475922,0.472,999
"MOTEF714",231,0.612706893292343,0.612853714197357,0.00230984292530287,460,-0.063563155488267,0.46,999
"MOTEF715",197,0.496946437621617,0.497192975854272,0.00198156850522598,483,-0.124415699989566,0.483,999
"MOTEF914",262,0.581757680721453,0.582060705849222,0.00203118941653173,461.5,-0.149186050943,0.4615,999
"MOTEF915",254,0.551990509199969,0.552252813259489,0.00235624930080203,500.5,-0.111322710814285,0.5005,999
"MOTEJ515",275,0.647661089868045,0.64742575949028,0.00223572753343625,537,0.105258970176672,0.537,999
"MOTEJ715",218,0.608331370808984,0.60891312372538,0.0038986057188876,485.5,-0.149220762073242,0.4855,999
"MOTEJ915",258,0.667648528266767,0.667731340289189,0.00157172710343271,493.5,-0.052688550220129,0.4935,999
"MOTEK515",168,0.594132161677515,0.594191514421171,0.00247658760211087,497,-0.0239655337066997,0.497,999
"MOTEK715",164,0.450116440026407,0.450475396224115,0.00396913761733232,439,-0.0904368233894891,0.439,999
"MOTEK915",248,0.523655535918953,0.523926499956555,0.00274369300679384,508,-0.0987588760591446,0.508,999
"MOTEP514",268,0.625050067790818,0.624909418641378,0.00342756513928664,496,0.0410347123175325,0.496,999
