"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.101211634709142,0.0054734702135151,921,1.4845170556312,0.921,999
"MBREF714",213,0.111953004694836,0.100938032112744,0.00563216256759845,971,1.95572703200364,0.971,999
"MBREF715",187,0.104243422459893,0.101034008612922,0.0054464978140482,728,0.589261936118447,0.728,999
"MBREF914",233,0.0950530472103004,0.10126818287616,0.00566856955462566,128,-1.09642046480454,0.128,999
"MBREF915",234,0.110183418803419,0.101069002632472,0.00551146275713641,944,1.65371999641031,0.944,999
"MBREJ515",332,0.0820153012048193,0.101020358113821,0.00561346737958304,1,-3.38561812581749,0.001,999
"MBREJ715",289,0.0984091003460208,0.100982418572247,0.00553485829772101,335,-0.46492937809908,0.335,999
"MBREJ915",243,0.103773456790123,0.101217742197698,0.00530023078035196,687,0.482189304265594,0.687,999
"MBREK515",159,0.109131194968553,0.100947589852049,0.00542780442034336,927,1.50771923281397,0.927,999
"MBREK715",163,0.107973128834356,0.100665852499182,0.0053140966003173,923,1.37507405016637,0.923,999
"MBREK915",208,0.101305288461538,0.100847012486534,0.0054351254916928,569,0.084317459772456,0.569,999
"MBREP515",290,0.0887954482758621,0.100806304586076,0.0056094906025539,18,-2.14116702588746,0.018,999
"MBREP714",307,0.101493127035831,0.100792223735618,0.00552407218268239,540,0.126881633156317,0.54,999
"MBREP715",321,0.0904980373831776,0.100800261812096,0.00537442984494831,31,-1.91689625246516,0.031,999
"MBREP914",291,0.0920226804123711,0.100753505244195,0.00556482608922777,55,-1.56893040174695,0.055,999
"MBREP915",310,0.0916939677419355,0.100484798680525,0.00561403161566269,52,-1.565867729363,0.052,999
"MDPEF514",206,0.0938411165048544,0.100545304508677,0.00527602621470267,102,-1.27068891074508,0.102,999
"MDPEF515",155,0.102964193548387,0.101159859319317,0.0052684107351257,639,0.342481693205924,0.639,999
"MDPEF714",261,0.102013256704981,0.100751891850558,0.00537327619104639,617,0.234747816709005,0.617,999
"MDPEF715",200,0.1030798,0.100654005093086,0.00549160566602667,678,0.441727803203475,0.678,999
"MDPEF914",228,0.0891758333333333,0.101104953716394,0.00558157460565648,12,-2.13723209414273,0.012,999
"MDPEF915",256,0.0922429296875,0.101168644012306,0.00570990494561329,65,-1.56319840869905,0.065,999
"MDPEJ515",256,0.095514609375,0.100852431014831,0.00551751206840223,158,-0.967432707650932,0.158,999
"MDPEJ715",270,0.0956717037037037,0.100965259743614,0.0052679796693279,157,-1.00485506250734,0.157,999
"MDPEJ915",245,0.100948367346939,0.100803591984596,0.00550757820870394,516,0.0262865740361058,0.516,999
"MDPEK515",154,0.110836688311688,0.100717056246985,0.00552634411748936,963,1.83116212989306,0.963,999
"MDPEK715",197,0.0989620812182741,0.100945897118802,0.0054697439099172,363,-0.362688991148432,0.363,999
"MDPEK915",244,0.0951767213114754,0.10068625615635,0.00540421538192679,159,-1.01948839109933,0.159,999
"MDPEP514",278,0.079511726618705,0.100829186187942,0.00533664733604761,1,-3.99454155893774,0.001,999
"MDPEP515",267,0.082944606741573,0.100676112257293,0.00537455854511786,1,-3.29915571053311,0.001,999
"MDPEP714",282,0.091829219858156,0.100860973223784,0.00555618437540575,52,-1.6255316158346,0.052,999
"MDPEP715",305,0.0899997704918033,0.100713265392779,0.00538611287736016,23,-1.98909587394812,0.023,999
"MDPEP914",300,0.0930981666666667,0.101033967729061,0.00529839713214283,62,-1.49777392378756,0.062,999
"MDPEP915",299,0.0929778595317726,0.101020882092642,0.00532722320333921,64,-1.50979642749497,0.064,999
"MINEF514",224,0.0894221428571429,0.100833260959219,0.00539414705422723,17,-2.11546292441795,0.017,999
"MINEF515",202,0.109150693069307,0.101145485194003,0.00571801763518376,927,1.39999705947866,0.927,999
"MINEF714",231,0.0968616883116883,0.100838503956188,0.00549779366734371,243,-0.723347561790399,0.243,999
"MINEF715",238,0.0894800420168067,0.100961082888671,0.00534529940829606,16,-2.14787610475948,0.016,999
"MINEF914",222,0.0927759459459459,0.100722933872527,0.0053547688421606,71,-1.48409542238518,0.071,999
"MINEF915",244,0.0996032786885246,0.100903433774633,0.00547005531853751,403,-0.237685911822848,0.403,999
