"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.114136116589563,0.0059192323522081,215,-0.810750737496852,0.215,999
"MBREF714",213,0.111953004694836,0.110832172407149,0.00449709150070171,584,0.249234930512724,0.584,999
"MBREF715",187,0.104243422459893,0.106245991981286,0.00466178074815345,351,-0.429571794466369,0.351,999
"MBREF914",233,0.0950530472103004,0.0978537130692925,0.00389767968637103,227,-0.71854695212259,0.227,999
"MBREF915",234,0.110183418803419,0.107738676325899,0.00366911232077908,755,0.66630352624396,0.755,999
"MBREJ515",332,0.0820153012048193,0.0857013376931148,0.00284535807999438,94,-1.29545610241886,0.094,999
"MBREJ715",289,0.0984091003460208,0.0984192118415994,0.00319014329160186,497,-0.00316960545478687,0.497,999
"MBREJ915",243,0.103773456790123,0.103660178202894,0.00361506863861896,516,0.0313351138119688,0.516,999
"MBREK515",159,0.109131194968553,0.111529391341027,0.00518698917260773,332,-0.462348443898413,0.332,999
"MBREK715",163,0.107973128834356,0.11105751764034,0.00514354147057675,270,-0.599662474508647,0.27,999
"MBREK915",208,0.101305288461538,0.103843280588281,0.00413202660443311,285,-0.614224536700517,0.285,999
"MBREP515",290,0.0887954482758621,0.0917736585205896,0.0035118816839521,196,-0.848038320407182,0.196,999
"MBREP714",307,0.101493127035831,0.0986497429677234,0.00296745368955148,834,0.958189871039559,0.834,999
"MBREP715",321,0.0904980373831776,0.0917857527621079,0.0028066616692141,311,-0.458806771423546,0.311,999
"MBREP914",291,0.0920226804123711,0.0952513131344403,0.00333700423631317,165,-0.967524310258668,0.165,999
"MBREP915",310,0.0916939677419355,0.0923336184571668,0.00290044068787003,406,-0.220535699249581,0.406,999
"MDPEF514",206,0.0938411165048544,0.0978183174922495,0.0042326768401517,185,-0.939642013221265,0.185,999
"MDPEF515",155,0.102964193548387,0.108764073363686,0.00587615966846324,180.5,-0.987018757578447,0.1805,999
"MDPEF714",261,0.102013256704981,0.101958623566095,0.00339099057170599,508,0.0161112623968537,0.508,999
"MDPEF715",200,0.1030798,0.104291505405405,0.00420493808670078,395,-0.288162484303336,0.395,999
"MDPEF914",228,0.0891758333333333,0.0929124092513566,0.00367274727047604,166,-1.01737899257603,0.166,999
"MDPEF915",256,0.0922429296875,0.0950189385479229,0.00321565278632518,185,-0.86328003826412,0.185,999
"MDPEJ515",256,0.095514609375,0.0971517427583834,0.00395770248836216,355,-0.413657516753081,0.355,999
"MDPEJ715",270,0.0956717037037037,0.0962832849145442,0.00340689431084271,421,-0.179512821661084,0.421,999
"MDPEJ915",245,0.100948367346939,0.102052131641846,0.00368927736766494,380,-0.299181705496368,0.38,999
"MDPEK515",154,0.110836688311688,0.112758617318617,0.00497494335946542,353,-0.38632178661337,0.353,999
"MDPEK715",197,0.0989620812182741,0.101386115099871,0.00412727383898844,284,-0.587320826328169,0.284,999
"MDPEK915",244,0.0951767213114754,0.0984340754278869,0.00348265047281386,182,-0.935308938361438,0.182,999
"MDPEP514",278,0.079511726618705,0.0848161877344971,0.00337423170377424,68,-1.57205004915897,0.068,999
"MDPEP515",267,0.082944606741573,0.0868396094596469,0.00345122019538355,117,-1.12858713659707,0.117,999
"MDPEP714",282,0.091829219858156,0.0935862951249121,0.00319488107236425,305,-0.549965781811049,0.305,999
"MDPEP715",305,0.0899997704918033,0.0911787572162326,0.00284911225764215,345,-0.413808449023711,0.345,999
"MDPEP914",300,0.0930981666666667,0.092946034034034,0.00274922453441768,531,0.055336561538743,0.531,999
"MDPEP915",299,0.0929778595317726,0.0942157026926592,0.00286670029374636,330,-0.431800688612956,0.33,999
"MINEF514",224,0.0894221428571429,0.0944895566995567,0.00439632186497805,122,-1.1526485089233,0.122,999
"MINEF515",202,0.109150693069307,0.107728016432274,0.00472602521490542,633,0.301030268003243,0.633,999
"MINEF714",231,0.0968616883116883,0.0987924674891342,0.00363919727535711,299,-0.530550841670538,0.299,999
"MINEF715",238,0.0894800420168067,0.0933907228657229,0.00367556903048525,145,-1.06396610061758,0.145,999
"MINEF914",222,0.0927759459459459,0.095373580066553,0.00393742534031857,259,-0.65972911130727,0.259,999
"MINEF915",244,0.0996032786885246,0.10053436264133,0.00352296771873341,408,-0.264289663471572,0.408,999
"MINEJ515",318,0.0850601257861635,0.0865793574706782,0.00296763517125524,292,-0.511933440885897,0.292,999
"MINEJ715",281,0.0977998220640569,0.0969519915645183,0.00346644047790285,605,0.244582448463563,0.605,999
"MINEJ915",289,0.0889628719723183,0.0906995237798352,0.00338708616742942,301,-0.512727377359541,0.301,999
"MINEK515",220,0.100616272727273,0.101575172536173,0.00444770263223969,411,-0.215594406413125,0.411,999
"MINEK715",192,0.103366770833333,0.105514884728478,0.00456672270408386,338,-0.470384131978095,0.338,999
"MINEK915",244,0.100183155737705,0.101167210489178,0.00366543268520772,405,-0.268468919220384,0.405,999
"MINEP514",225,0.0773732888888889,0.0887366834834835,0.00444955325042029,3,-2.55382820590388,0.003,999
"MINEP515",284,0.090300985915493,0.092515867522452,0.00341932920122471,259,-0.647753251183231,0.259,999
"MINEP714",328,0.0820925609756098,0.0848954475817281,0.00271770896602972,140,-1.03134170772267,0.14,999
"MINEP715",314,0.0845947770700637,0.0872857045261822,0.00279402121161897,167,-0.963102014017744,0.167,999
"MINEP914",335,0.0862722388059702,0.087517547995757,0.00247903291527029,312,-0.502336690294013,0.312,999
"MINEP915",302,0.0925648013245033,0.0933604838281991,0.00302571711278216,389,-0.262973197439502,0.389,999
"MOTEF514",199,0.0973812060301508,0.100900836766415,0.0044264418174555,220,-0.795137693301283,0.22,999
"MOTEF515",152,0.102183157894737,0.108910344028239,0.00529622190914328,101,-1.27018585114197,0.101,999
"MOTEF714",231,0.0959016883116883,0.0984946920946921,0.00388464321355853,239,-0.667501142435283,0.239,999
"MOTEF715",197,0.106133705583756,0.107884714867151,0.00429729747577327,338,-0.407467552168933,0.338,999
"MOTEF914",262,0.0965880152671756,0.0979308753027837,0.00336474191118395,343,-0.399097485350851,0.343,999
"MOTEF915",254,0.0938792519685039,0.09665676420515,0.00349618846828979,214,-0.794440077197768,0.214,999
"MOTEJ515",275,0.0850241454545455,0.0895246577486578,0.00336138374687165,83,-1.33888678979328,0.083,999
"MOTEJ715",218,0.10409123853211,0.106169719765637,0.00405143734321749,303,-0.513023171148554,0.303,999
"MOTEJ915",258,0.106409379844961,0.105978312770134,0.00354829079247926,559,0.121485836431565,0.559,999
"MOTEK515",168,0.10051869047619,0.105334762679346,0.00494713133354643,181,-0.973508055162758,0.181,999
"MOTEK715",164,0.0988578658536585,0.10397297211846,0.0050175144425735,159,-1.01945023244972,0.159,999
"MOTEK915",248,0.10308689516129,0.103415613960735,0.0037293800372509,475,-0.0881430146998142,0.475,999
"MOTEP514",268,0.0910535447761194,0.0936351123885079,0.00384330816024253,257,-0.671704558872947,0.257,999
"MOTEP515",248,0.0944427822580645,0.0971618549194356,0.00380144563261433,222,-0.715273326032307,0.222,999
"MOTEP714",290,0.0895529310344828,0.0923747390148769,0.00328586827188212,201,-0.858770877865374,0.201,999
"MOTEP715",249,0.105339799196787,0.105189630232642,0.00355736225592037,517,0.0422135709948986,0.517,999
"MOTEP914",284,0.0938894014084507,0.0950401217767063,0.0030521852216305,345,-0.377015247993653,0.345,999
"MOTEP915",296,0.0915617905405405,0.092702757994481,0.00312464557455493,367,-0.365150999278674,0.367,999
