"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.140247963368774,0.0090937114975088,1,-3.39914772781692,0.001,999
"MBREF714",213,0.111953004694836,0.120590616391039,0.00664914519951029,99,-1.29905595937947,0.099,999
"MBREF715",187,0.104243422459893,0.12687227146933,0.00751986593261005,2,-3.0092091018946,0.002,999
"MBREF914",233,0.0950530472103004,0.115383543242814,0.00615418864692456,2,-3.30352174736681,0.002,999
"MBREF915",234,0.110183418803419,0.115405637218415,0.00603592148310457,209,-0.865189918327126,0.209,999
"MBREJ515",332,0.0820153012048193,0.0990040809484183,0.00423601794602058,1,-4.01055424223561,0.001,999
"MBREJ715",289,0.0984091003460208,0.105065887617722,0.00486472601339299,96,-1.36837866169113,0.096,999
"MBREJ915",243,0.103773456790123,0.113525016250819,0.00564392098904824,37,-1.72779872000648,0.037,999
"MBREK515",159,0.109131194968553,0.13634324122865,0.00874579996996181,1,-3.11144164668283,0.001,999
"MBREK715",163,0.107973128834356,0.13494698047741,0.00833843892183115,1,-3.23488028105992,0.001,999
"MBREK915",208,0.101305288461538,0.121426720711096,0.00685895287164622,3,-2.9336011817104,0.003,999
"MBREP515",290,0.0887954482758621,0.105050071519796,0.00461933229028256,1,-3.51882528090208,0.001,999
"MBREP714",307,0.101493127035831,0.102475322292977,0.00453255047826257,419,-0.216698139790578,0.419,999
"MBREP715",321,0.0904980373831776,0.100186571961369,0.0042189742506253,10,-2.29641946185283,0.01,999
"MBREP914",291,0.0920226804123711,0.104651563109501,0.00478277795296438,6,-2.64049111652836,0.006,999
"MBREP915",310,0.0916939677419355,0.101898887661855,0.0045648243161427,15,-2.23555589726246,0.015,999
"MDPEF514",206,0.0938411165048544,0.122089279668018,0.00703465422684418,1,-4.0155723724655,0.001,999
"MDPEF515",155,0.102964193548387,0.137858459362588,0.00884213778946494,1,-3.9463607834495,0.001,999
"MDPEF714",261,0.102013256704981,0.109814881701625,0.00539880145836235,77,-1.44506610528528,0.077,999
"MDPEF715",200,0.1030798,0.12303372952953,0.00681609605960196,2,-2.92747187760361,0.002,999
"MDPEF914",228,0.0891758333333333,0.116760503354231,0.00602678305382606,1,-4.57701393505216,0.001,999
"MDPEF915",256,0.0922429296875,0.11070952440722,0.00572210445667601,1,-3.22723831057901,0.001,999
"MDPEJ515",256,0.095514609375,0.111102673650213,0.00546660885273145,3,-2.85150532901654,0.003,999
"MDPEJ715",270,0.0956717037037037,0.108252914321729,0.00527736894399323,10,-2.38399299945582,0.01,999
"MDPEJ915",245,0.100948367346939,0.113187195808053,0.00573896867278539,17,-2.13258324952209,0.017,999
"MDPEK515",154,0.110836688311688,0.137885411125411,0.0087686221304208,1,-3.08471757722154,0.001,999
"MDPEK715",197,0.0989620812182741,0.124344924975737,0.00707613687274826,1,-3.58710468917269,0.001,999
"MDPEK915",244,0.0951767213114754,0.113018537266775,0.00566902883943922,1,-3.14724381558526,0.001,999
"MDPEP514",278,0.079511726618705,0.106889965469066,0.00502747408004147,1,-5.44572451582591,0.001,999
"MDPEP515",267,0.082944606741573,0.108930420232967,0.00520618041749386,1,-4.99133940961328,0.001,999
"MDPEP714",282,0.091829219858156,0.106136706351742,0.00501481924731354,1,-2.85304131375231,0.001,999
"MDPEP715",305,0.0899997704918033,0.102452880618323,0.00447960977687218,1,-2.7799542252127,0.001,999
"MDPEP914",300,0.0930981666666667,0.103369953520187,0.00463957405010011,24,-2.21395040635219,0.024,999
"MDPEP915",299,0.0929778595317726,0.103394372365677,0.00467107312584533,12,-2.23000423099115,0.012,999
"MINEF514",224,0.0894221428571429,0.117139110136923,0.00652988885585017,1,-4.24463078800307,0.001,999
"MINEF515",202,0.109150693069307,0.12288962457507,0.00692814837247544,29,-1.983059652756,0.029,999
"MINEF714",231,0.0968616883116883,0.115972380345714,0.00607240733608869,1,-3.14713604939665,0.001,999
"MINEF715",238,0.0894800420168067,0.114333637797461,0.00590295206115949,1,-4.21036720663673,0.001,999
"MINEF914",222,0.0927759459459459,0.118220429483538,0.00626568462716887,1,-4.06092630759947,0.001,999
"MINEF915",244,0.0996032786885246,0.113079239731535,0.00571181483102856,10,-2.3593133604059,0.01,999
"MINEJ515",318,0.0850601257861635,0.100780742629422,0.00439684255667793,1,-3.57543319793924,0.001,999
"MINEJ715",281,0.0977998220640569,0.106774769502599,0.00510353404608533,45,-1.75857501047259,0.045,999
"MINEJ915",289,0.0889628719723183,0.104979347825334,0.00486402931474014,1,-3.29284114396242,0.001,999
"MINEK515",220,0.100616272727273,0.118443345527346,0.00653741286174386,3,-2.7269308481945,0.003,999
"MINEK715",192,0.103366770833333,0.125980927125042,0.00742637986867261,1,-3.0451117087484,0.001,999
"MINEK915",244,0.100183155737705,0.113407280395149,0.00563507771585238,8,-2.34675106968671,0.008,999
"MINEP514",225,0.0773732888888889,0.117307178867757,0.00617090643227559,1,-6.47131672099291,0.001,999
"MINEP515",284,0.090300985915493,0.105818440976187,0.00489840978997677,3,-3.16785563601613,0.003,999
"MINEP714",328,0.0820925609756098,0.0992681817183037,0.00426677092899875,1,-4.02543774402353,0.001,999
"MINEP715",314,0.0845947770700637,0.10154377807744,0.00440187168903231,2,-3.85040778212752,0.002,999
"MINEP914",335,0.0862722388059702,0.0986078887245454,0.00410220511866858,1,-3.00707779394975,0.001,999
"MINEP915",302,0.0925648013245033,0.103115622775093,0.00478592173835384,15,-2.20455369464915,0.015,999
"MOTEF514",199,0.0973812060301508,0.12371587793824,0.00692366423120094,1,-3.80357438325994,0.001,999
"MOTEF515",152,0.102183157894737,0.138803243901797,0.0092190442158257,1,-3.97222153942992,0.001,999
"MOTEF714",231,0.0959016883116883,0.115962070338737,0.00587380349829355,1,-3.41522865599379,0.001,999
"MOTEF715",197,0.106133705583756,0.124701701600077,0.00719843995938905,4,-2.57944723038251,0.004,999
"MOTEF914",262,0.0965880152671756,0.109621486639311,0.00524299599463904,7,-2.48588238203161,0.007,999
"MOTEF915",254,0.0938792519685039,0.111039257801108,0.00559570670523363,2,-3.06663782370055,0.002,999
