"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.139901957430403,0.00946637350975622,1,-3.22878268053844,0.001,999
"MBREF714",213,0.111953004694836,0.120014865851767,0.00667747903005512,114,-1.20732107441228,0.114,999
"MBREF715",187,0.104243422459893,0.127112079940903,0.00782053185392502,3,-2.92418187255806,0.003,999
"MBREF914",233,0.0950530472103004,0.115269641830672,0.00599205352958956,1,-3.37390087063462,0.001,999
"MBREF915",234,0.110183418803419,0.115021995927551,0.00586753289538459,201,-0.824635704716492,0.201,999
"MBREJ515",332,0.0820153012048193,0.0985403430840479,0.00418470925443291,1,-3.9489103960385,0.001,999
"MBREJ715",289,0.0984091003460208,0.105231048626481,0.005045951924615,92,-1.35196458118869,0.092,999
"MBREJ915",243,0.103773456790123,0.11349263605169,0.00571256270770668,45,-1.70136937813465,0.045,999
"MBREK515",159,0.109131194968553,0.135992376590427,0.00889766989544797,1,-3.01890067146856,0.001,999
"MBREK715",163,0.107973128834356,0.134892235302787,0.00870413808129251,3,-3.09267916214334,0.003,999
"MBREK915",208,0.101305288461538,0.121343192904443,0.00689589625092751,1,-2.90577231932823,0.001,999
"MBREP515",290,0.0887954482758621,0.10515566307687,0.00474512482443364,1,-3.44779440084816,0.001,999
"MBREP714",307,0.101493127035831,0.102442924977094,0.00453676571224978,426,-0.209355739640505,0.426,999
"MBREP715",321,0.0904980373831776,0.10009396914048,0.00448134821728607,16,-2.14130464584023,0.016,999
"MBREP914",291,0.0920226804123711,0.104651265767486,0.00482681788931037,6,-2.61633764619176,0.006,999
"MBREP915",310,0.0916939677419355,0.101586388743582,0.00452825661537121,16,-2.18459814491672,0.016,999
"MDPEF514",206,0.0938411165048544,0.121644064598579,0.00666355459821295,1,-4.17238992851969,0.001,999
"MDPEF515",155,0.102964193548387,0.137288269559882,0.00900244937443779,1,-3.81274857362238,0.001,999
"MDPEF714",261,0.102013256704981,0.109809761063746,0.00545459351150307,75,-1.42934653926512,0.075,999
"MDPEF715",200,0.1030798,0.12296138043043,0.00715380191954236,3,-2.7791628359347,0.003,999
"MDPEF914",228,0.0891758333333333,0.11669786900936,0.00640561622658237,1,-4.29654770165819,0.001,999
"MDPEF915",256,0.0922429296875,0.110609515492055,0.00547805917518353,1,-3.3527541812177,0.001,999
"MDPEJ515",256,0.095514609375,0.110719512872247,0.00543260667784971,4,-2.79882281175296,0.004,999
"MDPEJ715",270,0.0956717037037037,0.108058902235569,0.00544437045861107,16,-2.27523064898587,0.016,999
"MDPEJ915",245,0.100948367346939,0.11285341288227,0.00569719853473924,20,-2.08963150270067,0.02,999
"MDPEK515",154,0.110836688311688,0.137802495482495,0.00924615835453708,2,-2.91643362971121,0.002,999
"MDPEK715",197,0.0989620812182741,0.124371573654873,0.00749234808068194,1,-3.39139241302925,0.001,999
"MDPEK915",244,0.0951767213114754,0.112919372569291,0.00594335927287228,2,-2.98529004275399,0.002,999
"MDPEP514",278,0.079511726618705,0.10692574088477,0.00498987191114825,1,-5.49393145840415,0.001,999
"MDPEP515",267,0.082944606741573,0.108542102701953,0.00525751474264024,1,-4.86874449495604,0.001,999
"MDPEP714",282,0.091829219858156,0.106039041701276,0.00493545639481794,1,-2.87913025795133,0.001,999
"MDPEP715",305,0.0899997704918033,0.102477241470979,0.00458666158569839,3,-2.72038186075941,0.003,999
"MDPEP914",300,0.0930981666666667,0.103302222989656,0.00471570327159612,17,-2.16384614028861,0.017,999
"MDPEP915",299,0.0929778595317726,0.103481626040756,0.00476511026600324,8,-2.20430712462694,0.008,999
"MINEF514",224,0.0894221428571429,0.117228459843772,0.00664441182130949,1,-4.18491775260694,0.001,999
"MINEF515",202,0.109150693069307,0.123042760879692,0.00678327219553124,18,-2.04798914298863,0.018,999
"MINEF714",231,0.0968616883116883,0.115524054400721,0.00629765674217191,1,-2.96338254895051,0.001,999
"MINEF715",238,0.0894800420168067,0.114143031603032,0.00593775193622242,1,-4.15359042464738,0.001,999
"MINEF914",222,0.0927759459459459,0.117806288089892,0.0065210709963343,1,-3.83837902669916,0.001,999
"MINEF915",244,0.0996032786885246,0.113085025476296,0.00572562795435283,11,-2.35463199761732,0.011,999
"MINEJ515",318,0.0850601257861635,0.100466896802463,0.00432916175194285,1,-3.55883468881361,0.001,999
"MINEJ715",281,0.0977998220640569,0.10620794823293,0.0050484748028972,42,-1.66547848551176,0.042,999
"MINEJ915",289,0.0889628719723183,0.10505273318301,0.00511357063361495,2,-3.14650219260142,0.002,999
"MINEK515",220,0.100616272727273,0.118262706069706,0.00635009119690531,2,-2.77892597054878,0.002,999
"MINEK715",192,0.103366770833333,0.125214249092843,0.00747797615051872,4,-2.92157634896897,0.004,999
"MINEK915",244,0.100183155737705,0.112977119373472,0.0059431989898614,17,-2.15270659077584,0.017,999
"MINEP514",225,0.0773732888888889,0.117030876787899,0.00616397395314759,1,-6.43376954549902,0.001,999
"MINEP515",284,0.090300985915493,0.105891026131766,0.00494770683346598,3,-3.15096280782494,0.003,999
"MINEP714",328,0.0820925609756098,0.099347881570595,0.00420426897517366,1,-4.10423802494047,0.001,999
"MINEP715",314,0.0845947770700637,0.101199798747792,0.00449430208017498,1,-3.69468304121698,0.001,999
"MINEP914",335,0.0862722388059702,0.0981773050961409,0.00417650398925264,1,-2.85048603348781,0.001,999
"MINEP915",302,0.0925648013245033,0.102749958700422,0.00473961398102432,19,-2.14894238575053,0.019,999
"MOTEF514",199,0.0973812060301508,0.123775454650631,0.00715608957291181,1,-3.68836196802103,0.001,999
"MOTEF515",152,0.102183157894737,0.138656421289711,0.00939928645248608,1,-3.88042896440579,0.001,999
"MOTEF714",231,0.0959016883116883,0.115950351737018,0.00622990988148744,1,-3.21813056797273,0.001,999
"MOTEF715",197,0.106133705583756,0.124178074114724,0.00693485625357621,8,-2.60198162314645,0.008,999
