"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.109337094594595,0.109596153044937,0.00147051398774268,447,-0.176168640694069,0.447,999
"MBREF714",213,0.111953004694836,0.111972855625579,0.00114810255915563,504,-0.0172902068588212,0.504,999
"MBREF715",187,0.104243422459893,0.104352477183065,0.00126156102253385,471,-0.0864442712040436,0.471,999
"MBREF914",233,0.0950530472103004,0.0951868758028415,0.00114365831980319,469,-0.117017985375267,0.469,999
"MBREF915",234,0.110183418803419,0.110004477768367,0.000911189207443288,560,0.196381864041443,0.56,999
"MBREJ515",332,0.0820153012048193,0.0822512480552842,0.000796623075600943,396,-0.296183800961259,0.396,999
"MBREJ715",289,0.0984091003460208,0.0984090476289438,0.000879827071806465,527,5.9917543605063e-05,0.527,999
"MBREJ915",243,0.103773456790123,0.103726823490157,0.00104956371757843,528,0.0444311280826457,0.528,999
"MBREK515",159,0.109131194968553,0.109250587946437,0.00145644657398173,478,-0.0819755286712256,0.478,999
"MBREK715",163,0.107973128834356,0.108230341507151,0.00137777832929422,442,-0.186686542622028,0.442,999
"MBREK915",208,0.101305288461538,0.101428258113883,0.0010605484855927,465,-0.115949109366676,0.465,999
"MBREP515",290,0.0887954482758621,0.0889877190638915,0.00105251874829097,403.5,-0.182676829597207,0.4035,999
"MBREP714",307,0.101493127035831,0.101315080128989,0.000844616000536738,571,0.210802194995779,0.571,999
"MBREP715",321,0.0904980373831776,0.0905912424262268,0.00074564234789841,465,-0.124999664131179,0.465,999
"MBREP914",291,0.0920226804123711,0.0922998874131864,0.00104808878592442,440,-0.264488089690564,0.44,999
"MBREP915",310,0.0916939677419355,0.0917670200523104,0.000768817482974377,473,-0.0950190545775053,0.473,999
"MDPEF514",206,0.0938411165048544,0.0940986881055813,0.00107316513808879,411.5,-0.240011151672006,0.4115,999
"MDPEF515",155,0.102964193548387,0.103337333527075,0.00154465837849369,415.5,-0.241567963430359,0.4155,999
"MDPEF714",261,0.102013256704981,0.102047800444122,0.000912389398972763,469,-0.0378607414557123,0.469,999
"MDPEF715",200,0.1030798,0.103116842242242,0.00102739484384666,471,-0.0360545339156576,0.471,999
