"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.630866450858834,0.00948526462248639,139,-1.0940456216486,0.139,999
"MBREF714",213,0.619246912038267,0.630382896467271,0.00983354838951832,134,-1.13244822600091,0.134,999
"MBREF715",187,0.641669744120522,0.630340915159972,0.00997102329136524,877,1.13617515770525,0.877,999
"MBREF914",233,0.616924985940506,0.630672488411001,0.00932552693097747,69,-1.47417969753844,0.069,999
"MBREF915",234,0.635900748321778,0.630416290547041,0.00989665320662198,713,0.554172977493789,0.713,999
"MBREJ515",332,0.620174312415826,0.630897788046114,0.0097088758679073,147,-1.1045022900884,0.147,999
"MBREJ715",289,0.635095040369089,0.630378550014788,0.0100293808691452,677,0.470267349085404,0.677,999
"MBREJ915",243,0.62600636261606,0.630727603650279,0.0096696966180352,319,-0.488251205876921,0.319,999
"MBREK515",159,0.643553739351962,0.630451953854115,0.00952083330745883,915,1.37611751773692,0.915,999
"MBREK715",163,0.650777208210255,0.630733513361582,0.00970420946522582,985,2.06546395360675,0.985,999
"MBREK915",208,0.648313582311408,0.630687536073024,0.00938003124959449,976,1.87910314682016,0.976,999
"MBREP515",290,0.623512137215129,0.630590060660152,0.00955388255250563,228,-0.740842626662457,0.228,999
"MBREP714",307,0.62320503970535,0.630288182501613,0.00966437244493901,250,-0.732912854571515,0.25,999
"MBREP715",321,0.636854979361371,0.630623112474179,0.00994814569548974,737,0.626435023968075,0.737,999
"MBREP914",291,0.630519514634435,0.630370669415467,0.00950329790763821,514,0.0156624805846723,0.514,999
"MBREP915",310,0.626638514667502,0.630829734470108,0.00934309153177916,324,-0.44859025391648,0.324,999
"MDPEF514",206,0.649459916173337,0.630394154390122,0.00930347299408286,981,2.04931661491792,0.981,999
"MDPEF515",155,0.609108299958106,0.630435939404595,0.00955501262374706,13,-2.23208909148722,0.013,999
"MDPEF714",261,0.616513637488948,0.630626389138435,0.00993278545318469,76,-1.42082517698622,0.076,999
"MDPEF715",200,0.626079920100503,0.63070371116733,0.00944634192971137,318,-0.489479536230302,0.318,999
"MDPEF914",228,0.631677620372517,0.630470789690138,0.00934629865997025,562,0.129123915924891,0.562,999
"MDPEF915",256,0.640465622242647,0.630566935176953,0.0100776689363241,840,0.982239754871805,0.84,999
"MDPEJ515",256,0.614145317708333,0.630451612426621,0.00982606892974503,46,-1.659493214924,0.046,999
"MDPEJ715",270,0.630840943687182,0.630323745723429,0.0094972152225459,534,0.054457854395538,0.534,999
"MDPEJ915",245,0.638449492806959,0.630339901702261,0.00987418577954549,796,0.821292133423015,0.796,999
"MDPEK515",154,0.641836354299295,0.630493461427256,0.00985385328632251,885,1.15111241688407,0.885,999
"MDPEK715",197,0.640262661348803,0.630648732839674,0.00966827766186822,849,0.994378610685403,0.849,999
"MDPEK915",244,0.648828035485394,0.630504907987734,0.00995046669432639,973,1.8414339809919,0.973,999
"MDPEP514",278,0.622887943277147,0.630504537983042,0.00971926961487133,220,-0.783659164495331,0.22,999
"MDPEP515",267,0.63263233983836,0.630473890677921,0.00975510989173125,590,0.221263438792065,0.59,999
"MDPEP714",282,0.617162847732263,0.630638999830824,0.00973619159645215,90,-1.38412971489504,0.09,999
"MDPEP715",305,0.631644166954271,0.630390031525238,0.00962706750606284,551,0.130271801692783,0.551,999
"MDPEP914",300,0.62488057212932,0.630160880984488,0.00974515136290089,291,-0.541839593715227,0.291,999
"MDPEP915",299,0.638749928396669,0.630194955574931,0.00934043836695974,818,0.915906993401905,0.818,999
"MINEF514",224,0.619506209561179,0.630258533865962,0.00955388100223687,134,-1.12544046783347,0.134,999
"MINEF515",202,0.621650953155017,0.630395845541483,0.0097125293817352,187,-0.900372296727512,0.187,999
"MINEF714",231,0.6145826734425,0.630517927791727,0.00974730806120735,45,-1.63483643372753,0.045,999
"MINEF715",238,0.628174081835266,0.63033709408671,0.00978527507754318,416,-0.22104766951401,0.416,999
"MINEF914",222,0.611544525702173,0.630783525464844,0.00994986333756409,25,-1.93359437310433,0.025,999
"MINEF915",244,0.629435287391216,0.630652759550818,0.00952210923898347,430,-0.127857403128384,0.43,999
"MINEJ515",318,0.609643745808781,0.631087804174375,0.00978372539767717,14,-2.19180910072197,0.014,999
"MINEJ715",281,0.615110414844942,0.630840662964046,0.0102602390940843,64,-1.53312685746027,0.064,999
"MINEJ915",289,0.616470862168397,0.63138412685777,0.00940854693979691,63,-1.58507629124877,0.063,999
"MINEK515",220,0.618940832295558,0.631244215201056,0.00954349007630708,99,-1.28919114570487,0.099,999
"MINEK715",192,0.629810311954625,0.631080321909919,0.00980484818515753,448,-0.129528773042832,0.448,999
"MINEK915",244,0.626275506645079,0.631348727316273,0.00974938014761575,292,-0.520363407148048,0.292,999
"MINEP514",225,0.615453692063492,0.631586269927404,0.00980250656351329,53,-1.64576047558693,0.053,999
"MINEP515",284,0.612300236649579,0.631054902240671,0.00972271487062224,30,-1.92895357322057,0.03,999
"MINEP714",328,0.618698196091594,0.631211535461152,0.00968475385555915,110,-1.2920658135648,0.11,999
"MINEP715",314,0.620377408681142,0.630789325747361,0.0095193488769312,139,-1.09376357572635,0.139,999
"MINEP914",335,0.611567012959156,0.631563561158031,0.00997675432788123,20,-2.00431398245337,0.02,999
"MINEP915",302,0.623902580141251,0.631333478016354,0.00978923358103457,236,-0.759088830968283,0.236,999
"MOTEF514",199,0.656963226232171,0.631597863814229,0.0100379787266829,996,2.52693924828864,0.996,999
"MOTEF515",152,0.643192842453817,0.630804664868677,0.00966197431065513,909,1.28215799243831,0.909,999
"MOTEF714",231,0.604536967438359,0.631580887493389,0.00935780206040123,3,-2.88998633231087,0.003,999
"MOTEF715",197,0.64188581477261,0.631453793033936,0.00976306532785412,850,1.0685190960375,0.85,999
"MOTEF914",262,0.623631415869673,0.631508711546251,0.00941825552180599,210,-0.836385852808932,0.21,999
"MOTEF915",254,0.651523620179889,0.631395837251875,0.00983629384183482,978,2.04627710921038,0.978,999
"MOTEJ515",275,0.645981503384207,0.631532516833093,0.00954240185855765,938,1.51418759818385,0.938,999
"MOTEJ715",218,0.657359350610916,0.630648773331614,0.0095719703565205,996,2.7904993731104,0.996,999
"MOTEJ915",258,0.649027700962206,0.630826737606637,0.00990876012869336,963,1.83685578409182,0.963,999
"MOTEK515",168,0.655283410322213,0.631045609880913,0.00965380083656928,996,2.51070027770667,0.996,999
"MOTEK715",164,0.630655988328595,0.631273402869272,0.00978389431643622,477,-0.0631051931581065,0.477,999
"MOTEK915",248,0.646959418505942,0.631051510790279,0.00953513939391909,959,1.66834558557246,0.959,999
"MOTEP514",268,0.645076977751691,0.630876729751355,0.00934540325359055,932,1.51949012953292,0.932,999
"MOTEP515",248,0.643814341452266,0.631108076690061,0.00970574296078952,901,1.30914911032952,0.901,999
"MOTEP714",290,0.622947496002864,0.631592907198764,0.00938533910037555,185,-0.92116130311737,0.185,999
"MOTEP715",249,0.647950804508356,0.630511921747597,0.00936168341179192,970,1.862793473532,0.97,999
"MOTEP914",284,0.6327662093764,0.630275504539301,0.00953860340802889,607,0.261118397584525,0.607,999
"MOTEP915",296,0.633970772331654,0.630333983012666,0.00966332949851111,637,0.376349509715884,0.637,999
