"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.622781612567706,0.00810250136234182,393,-0.282934101058828,0.393,999
"MBREF714",213,0.619246912038267,0.622105967379373,0.00639922432656977,329,-0.446781546512613,0.329,999
"MBREF715",187,0.641669744120522,0.640123939416387,0.0068031946344655,567,0.227217474611668,0.567,999
"MBREF914",233,0.616924985940506,0.620017709447645,0.00568999214761214,297,-0.543537394587924,0.297,999
"MBREF915",234,0.635900748321778,0.634847197778461,0.00583854549948117,553,0.180447432226147,0.553,999
"MBREJ515",332,0.620174312415826,0.622365226476977,0.00566660015519001,341,-0.386636431219586,0.341,999
"MBREJ715",289,0.635095040369089,0.634025847553628,0.00549005401676581,578,0.194750873524273,0.578,999
"MBREJ915",243,0.62600636261606,0.626986729945944,0.00637255066393387,442,-0.153842218224047,0.442,999
"MBREK515",159,0.643553739351962,0.641157356147645,0.00828910649506391,598,0.289100303602596,0.598,999
"MBREK715",163,0.650777208210255,0.647636005927915,0.00740646910108496,649,0.424116031467637,0.649,999
"MBREK915",208,0.648313582311408,0.644805198999166,0.00702657609235685,689,0.49930197383876,0.689,999
"MBREP515",290,0.623512137215129,0.625314584415701,0.00626001184946719,384,-0.287930317691768,0.384,999
"MBREP714",307,0.62320503970535,0.62542250268663,0.00517758670001077,327,-0.42828118769603,0.327,999
"MBREP715",321,0.636854979361371,0.634945333952722,0.0044629495267772,668,0.427888641175708,0.668,999
"MBREP914",291,0.630519514634435,0.631050125736591,0.00521351802002767,476,-0.101776017675059,0.476,999
"MBREP915",310,0.626638514667502,0.627459669070887,0.00483050465400557,424,-0.169993502170536,0.424,999
"MDPEF514",206,0.649459916173337,0.645612585032582,0.00688917235057338,702,0.558460573342261,0.702,999
"MDPEF515",155,0.609108299958106,0.61366986661735,0.00749055839222133,277,-0.608975515627918,0.277,999
"MDPEF714",261,0.616513637488948,0.619562851207824,0.005583607284495,277,-0.546101035318845,0.277,999
"MDPEF715",200,0.626079920100503,0.628135133155266,0.00632942936169646,372,-0.324707479508461,0.372,999
"MDPEF914",228,0.631677620372517,0.631527699533137,0.00560767073344623,500,0.0267349576154809,0.5,999
"MDPEF915",256,0.640465622242647,0.638274922769583,0.0054237875198136,653,0.403905843483154,0.653,999
"MDPEJ515",256,0.614145317708333,0.617749229523335,0.00602245177366064,280,-0.598412731300399,0.28,999
"MDPEJ715",270,0.630840943687182,0.630735944070189,0.00560095838099321,507,0.0187467233016843,0.507,999
"MDPEJ915",245,0.638449492806959,0.637315029861578,0.00616748661925864,584,0.18394250614805,0.584,999
"MDPEK515",154,0.641836354299295,0.639778682759663,0.00880212526972516,596,0.23376985404987,0.596,999
"MDPEK715",197,0.640262661348803,0.638972731961216,0.00664363378220005,556,0.19416021862059,0.556,999
"MDPEK915",244,0.648828035485394,0.645239003005907,0.00628718733461066,702,0.570848662283379,0.702,999
"MDPEP514",278,0.622887943277147,0.625249744665061,0.00584318520593836,355,-0.40419759166856,0.355,999
"MDPEP515",267,0.63263233983836,0.632310332691397,0.006025376066658,525,0.053441833903877,0.525,999
"MDPEP714",282,0.617162847732263,0.619893970104225,0.00514008457592205,294,-0.53133802209313,0.294,999
"MDPEP715",305,0.631644166954271,0.630978295081535,0.00473633303024051,552,0.1405880601056,0.552,999
