"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.620628858372069,0.00209927932308012,478,-0.0665560519312539,0.478,999
"MBREF714",213,0.619246912038267,0.619423184644473,0.00160418022802138,466.5,-0.109883293115237,0.4665,999
"MBREF715",187,0.641669744120522,0.641580570587263,0.0017303153808023,502.5,0.0515359998812462,0.5025,999
"MBREF914",233,0.616924985940506,0.617099594777551,0.00147841441974087,488.5,-0.118105474833905,0.4885,999
"MBREF915",234,0.635900748321778,0.635856604585217,0.00136846090944814,497.5,0.0322579448610461,0.4975,999
"MBREJ515",332,0.620174312415826,0.620303600945429,0.00143716688787856,451,-0.089960693287017,0.451,999
"MBREJ715",289,0.635095040369089,0.635025138231753,0.00148633098728197,524,0.0470299939471791,0.524,999
"MBREJ915",243,0.62600636261606,0.626126617700243,0.00165473061821088,493,-0.0726735112409119,0.493,999
"MBREK515",159,0.643553739351962,0.643539045200762,0.00200085499228366,490.5,0.00734393609605878,0.4905,999
"MBREK715",163,0.650777208210255,0.650534475178049,0.00183701107186112,533,0.132134768224694,0.533,999
"MBREK915",208,0.648313582311408,0.648027422234107,0.00182358881194881,536.5,0.15692138240062,0.5365,999
"MBREP515",290,0.623512137215129,0.623632910868152,0.00153273253084156,463.5,-0.0787963004586818,0.4635,999
"MBREP714",307,0.62320503970535,0.623255489750891,0.00133189587732695,490.5,-0.0378783705238711,0.4905,999
"MBREP715",321,0.636854979361371,0.636760522809414,0.00113710471945538,515.5,0.083067592932149,0.5155,999
"MBREP914",291,0.630519514634435,0.630570067479495,0.00140059104882591,520,-0.036093936986177,0.52,999
"MBREP915",310,0.626638514667502,0.626620364441485,0.00117250521537788,510.5,0.015479868045586,0.5105,999
"MDPEF514",206,0.649459916173337,0.64922499862069,0.00176048366832541,542,0.133439211549016,0.542,999
"MDPEF515",155,0.609108299958106,0.609382791850921,0.00211289468243115,477.5,-0.129912718838707,0.4775,999
"MDPEF714",261,0.616513637488948,0.616675688617589,0.00131881984643264,444,-0.122875864417379,0.444,999
"MDPEF715",200,0.626079920100503,0.626106757019834,0.00153955585400016,489.5,-0.0174315983805551,0.4895,999
"MDPEF914",228,0.631677620372517,0.631628741036809,0.00153310967473407,505.5,0.0318824781511092,0.5055,999
"MDPEF915",256,0.640465622242647,0.640346197370164,0.00129363905747437,522.5,0.0923169966094642,0.5225,999
"MDPEJ515",256,0.614145317708333,0.614310817392147,0.00151977038651905,485,-0.108897821198305,0.485,999
"MDPEJ715",270,0.630840943687182,0.630800891799965,0.00147175046370739,486,0.0272137758435731,0.486,999
"MDPEJ915",245,0.638449492806959,0.638373684056087,0.00156939051403355,542.5,0.0483045807873193,0.5425,999
"MDPEK515",154,0.641836354299295,0.641792765588779,0.00200499033378114,499,0.0217401100555897,0.499,999
"MDPEK715",197,0.640262661348803,0.640104851654721,0.00162136328398716,517.5,0.0973314837217329,0.5175,999
"MDPEK915",244,0.648828035485394,0.648636609228469,0.0015382476289377,527,0.124444369894899,0.527,999
"MDPEP514",278,0.622887943277147,0.62303743909195,0.00157554253179949,477,-0.0948852930248744,0.477,999
"MDPEP515",267,0.63263233983836,0.632625207791216,0.00159540326451015,487.5,0.00447037266534301,0.4875,999
"MDPEP714",282,0.617162847732263,0.617344375441543,0.00122333846250568,479,-0.148387151097902,0.479,999
"MDPEP715",305,0.631644166954271,0.631661766926979,0.00116687797613405,491.5,-0.015082959030637,0.4915,999
"MDPEP914",300,0.62488057212932,0.624938586702645,0.00121454112929972,499,-0.0477666601197952,0.499,999
"MDPEP915",299,0.638749928396669,0.638654874802526,0.00126111961587577,512,0.0753723857329598,0.512,999
"MINEF514",224,0.619506209561179,0.619711666408962,0.00164522060627229,471,-0.124881032367191,0.471,999
"MINEF515",202,0.621650953155017,0.621812366603834,0.00167958721502733,455.5,-0.0961030468512871,0.4555,999
"MINEF714",231,0.6145826734425,0.614735590517677,0.00150715774715083,459.5,-0.10146056407634,0.4595,999
"MINEF715",238,0.628174081835266,0.62826333763789,0.0014645194146713,458.5,-0.0609454553690641,0.4585,999
"MINEF914",222,0.611544525702173,0.61176896912403,0.00149731925279309,459.5,-0.149896838258555,0.4595,999
"MINEF915",244,0.629435287391216,0.629452929265365,0.00153280451186729,481,-0.0115095395477603,0.481,999
"MINEJ515",318,0.609643745808781,0.609871989851089,0.00139249581296895,464,-0.16391003849528,0.464,999
"MINEJ715",281,0.615110414844942,0.615275082441364,0.00139287610327836,458,-0.118221280438657,0.458,999
"MINEJ915",289,0.616470862168397,0.616721272761131,0.00141023288652866,448.5,-0.177566836744692,0.4485,999
"MINEK515",220,0.618940832295558,0.619030036179808,0.00176437179196545,489,-0.0505584393583113,0.489,999
"MINEK715",192,0.629810311954625,0.629723907861286,0.00171202603568894,512.5,0.0504689131691375,0.5125,999
"MINEK915",244,0.626275506645079,0.626283454391449,0.00132199059237161,494,-0.00601195380360651,0.494,999
"MINEP514",225,0.615453692063492,0.615870253632998,0.00189835677409196,464.5,-0.219432708957116,0.4645,999
"MINEP515",284,0.612300236649579,0.612562907999076,0.0015854173213736,458.5,-0.165679626401781,0.4585,999
"MINEP714",328,0.618698196091594,0.618835759653142,0.00117975477540277,473,-0.116603521694362,0.473,999
"MINEP715",314,0.620377408681142,0.620496231087114,0.00128817443919148,493.5,-0.0922409282132528,0.4935,999
"MINEP914",335,0.611567012959156,0.61181135000726,0.00127044524544958,444.5,-0.19232395018898,0.4445,999
"MINEP915",302,0.623902580141251,0.623962354981987,0.00120496696220956,500.5,-0.0496070370479934,0.5005,999
"MOTEF514",199,0.656963226232171,0.656693553170449,0.00188813565720378,548.5,0.142825045802895,0.5485,999
"MOTEF515",152,0.643192842453817,0.643128783978297,0.00173799743773188,516,0.0368576351892792,0.516,999
"MOTEF714",231,0.604536967438359,0.604951495338742,0.00148275100892608,424.5,-0.279566763325435,0.4245,999
"MOTEF715",197,0.64188581477261,0.641824041994963,0.00162238259924736,492.5,0.0380753452824792,0.4925,999
"MOTEF914",262,0.623631415869673,0.623638152590308,0.0014243275292802,493.5,-0.00472975526771126,0.4935,999
"MOTEF915",254,0.651523620179889,0.651297041798264,0.00139491125646871,531.5,0.162432112131813,0.5315,999
"MOTEJ515",275,0.645981503384207,0.645744245187988,0.00150875884841838,548.5,0.157253888828886,0.5485,999
"MOTEJ715",218,0.657359350610916,0.657244408259356,0.00168513399070878,513.5,0.0682096214267663,0.5135,999
"MOTEJ915",258,0.649027700962206,0.648732711206667,0.00153470162097838,574.5,0.192213099605887,0.5745,999
"MOTEK515",168,0.655283410322213,0.655070537112533,0.00173254356972232,522.5,0.122867449569347,0.5225,999
"MOTEK715",164,0.630655988328595,0.630812083473568,0.00183507662428666,461,-0.0850619221601295,0.461,999
"MOTEK915",248,0.646959418505942,0.646757550100708,0.00140730185685266,523.5,0.143443572003629,0.5235,999
"MOTEP514",268,0.645076977751691,0.644984954942924,0.00163515005269885,535,0.0562778985419404,0.535,999
"MOTEP515",248,0.643814341452266,0.643633550090838,0.00168315050224717,524,0.107412475109408,0.524,999
"MOTEP714",290,0.622947496002864,0.623121153325859,0.00140878462628557,460,-0.123267474499076,0.46,999
"MOTEP715",249,0.647950804508356,0.647856006531211,0.00141000575915987,517,0.0672323332933645,0.517,999
"MOTEP914",284,0.6327662093764,0.632684380920262,0.00138058816493992,511,0.05927072114291,0.511,999
"MOTEP915",296,0.633970772331654,0.633951197782758,0.00125202129380758,485.5,0.0156343578123886,0.4855,999
