"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.620489138628424,0.623111822828528,0.0163179184300203,435,-0.160724188648885,0.435,999
"MBREF714",213,0.619246912038267,0.622950495971213,0.0128009190466741,392,-0.2893217213109,0.392,999
"MBREF715",187,0.641669744120522,0.622557872407512,0.0139602851754249,915,1.36901728530976,0.915,999
"MBREF914",233,0.616924985940506,0.622881380588077,0.0118623042432217,306,-0.502127961434984,0.306,999
"MBREF915",234,0.635900748321778,0.622920401004798,0.012103539074351,860,1.07244230280444,0.86,999
"MBREJ515",332,0.620174312415826,0.622483229227663,0.00925897880940914,409,-0.24937056875967,0.409,999
"MBREJ715",289,0.635095040369089,0.622345710322972,0.00988245931948445,903,1.29009689126471,0.903,999
"MBREJ915",243,0.62600636261606,0.622546616438566,0.0123143708699035,635,0.280951923086033,0.635,999
"MBREK515",159,0.643553739351962,0.623343398993293,0.0158315436539097,890,1.27658684462385,0.89,999
"MBREK715",163,0.650777208210255,0.623130311015401,0.0150821481394928,969,1.83308749782537,0.969,999
"MBREK915",208,0.648313582311408,0.622655777631961,0.0134043957317978,973,1.91413363144613,0.973,999
"MBREP515",290,0.623512137215129,0.622279774958827,0.0101442208458827,564,0.121484170645051,0.564,999
"MBREP714",307,0.62320503970535,0.622802747096589,0.0098421774093229,511,0.0408743504643879,0.511,999
"MBREP715",321,0.636854979361371,0.622291004425765,0.00946479687567889,947,1.53875198030182,0.947,999
"MBREP914",291,0.630519514634435,0.622416631287526,0.0100476706128886,773,0.806443966874763,0.773,999
"MBREP915",310,0.626638514667502,0.621790607600397,0.00973702548963578,669,0.497883781064851,0.669,999
"MDPEF514",206,0.649459916173337,0.623284784071308,0.0128132651344015,978,2.04281514722994,0.978,999
"MDPEF515",155,0.609108299958106,0.623637806740129,0.0153363000386126,168,-0.947393226882727,0.168,999
"MDPEF714",261,0.616513637488948,0.622782925979914,0.0105876969528961,291,-0.592129574435144,0.291,999
"MDPEF715",200,0.626079920100503,0.622834390374797,0.0130015505890378,606,0.249626358293143,0.606,999
"MDPEF914",228,0.631677620372517,0.622982568065786,0.0121880570189278,755,0.713407583606479,0.755,999
"MDPEF915",256,0.640465622242647,0.622491486271198,0.0116897662953779,939,1.53759583530393,0.939,999
"MDPEJ515",256,0.614145317708333,0.623004173559896,0.0111042485078907,220,-0.797789768957996,0.22,999
"MDPEJ715",270,0.630840943687182,0.622654806375975,0.010734978477905,769,0.762566718513246,0.769,999
"MDPEJ915",245,0.638449492806959,0.622115943625124,0.0115222914985771,925,1.41756083708279,0.925,999
"MDPEK515",154,0.641836354299295,0.62262567759339,0.0160021567987156,877,1.20050546607863,0.877,999
"MDPEK715",197,0.640262661348803,0.622733944929079,0.0131648724424035,912,1.3314763584997,0.912,999
"MDPEK915",244,0.648828035485394,0.622579147540916,0.0121522100441828,984,2.16000940150334,0.984,999
"MDPEP514",278,0.622887943277147,0.623186424496075,0.0108391331215724,479,-0.0275373699704424,0.479,999
"MDPEP515",267,0.63263233983836,0.622593561194886,0.0110339534440874,820,0.90980795726063,0.82,999
"MDPEP714",282,0.617162847732263,0.6228596236023,0.0104087797156375,293,-0.547304873930491,0.293,999
"MDPEP715",305,0.631644166954271,0.622662123070439,0.00966244008147474,818,0.92958339799207,0.818,999
"MDPEP914",300,0.62488057212932,0.62257344577197,0.00954152315145499,590,0.241798538946868,0.59,999
"MDPEP915",299,0.638749928396669,0.622282719036515,0.0100250442023031,953,1.64260715741986,0.953,999
"MINEF514",224,0.619506209561179,0.623038820491696,0.0128033340609063,382,-0.27591336082558,0.382,999
"MINEF515",202,0.621650953155017,0.622791920860814,0.0128561122191254,477,-0.0887490468619401,0.477,999
"MINEF714",231,0.6145826734425,0.623732622187405,0.0119741730017793,227,-0.764140349696439,0.227,999
"MINEF715",238,0.628174081835266,0.622811755909368,0.0118673402835397,664,0.451855748447288,0.664,999
"MINEF914",222,0.611544525702173,0.623213773316752,0.0122171971364844,164,-0.955149326332041,0.164,999
"MINEF915",244,0.629435287391216,0.622655094460311,0.0117533016244125,728,0.57687560036941,0.728,999
"MINEJ515",318,0.609643745808781,0.623081517980294,0.00941257653429963,75,-1.42764014959615,0.075,999
"MINEJ715",281,0.615110414844942,0.6226543098121,0.010764292189302,236,-0.700825919112051,0.236,999
"MINEJ915",289,0.616470862168397,0.622685023967643,0.0101619221570171,262,-0.611514406745908,0.262,999
"MINEK515",220,0.618940832295558,0.623156166652747,0.0122078186722291,365,-0.345297916881536,0.365,999
"MINEK715",192,0.629810311954625,0.623299093192778,0.0139443085773447,675,0.466944540543603,0.675,999
"MINEK915",244,0.626275506645079,0.622598483601999,0.0118125824720507,613,0.311280200733375,0.613,999
"MINEP514",225,0.615453692063492,0.623218050646678,0.0126067631613756,281,-0.615888351656735,0.281,999
"MINEP515",284,0.612300236649579,0.622745016055223,0.0104570458126202,163,-0.998826972053441,0.163,999
