"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.0844143453092885,0.0175962376578844,7,-1.51751365901994,0.007,999
"MBREF714",213,0.0698193284620738,0.085844415718079,0.0180609210367563,169,-0.887279625628845,0.169,999
"MBREF715",187,0.0570176699369306,0.0860163609727948,0.0183816948982366,5,-1.57758526601626,0.005,999
"MBREF914",233,0.0608072630834512,0.0850018434066006,0.0178730737569212,26,-1.35368883115475,0.026,999
"MBREF915",234,0.0674294456289979,0.0853034595838024,0.0176152897138005,133,-1.01468748145546,0.133,999
"MBREJ515",332,0.105772634168157,0.084017373401209,0.0166184031877753,874,1.3091065682503,0.874,999
"MBREJ715",289,0.0885654495005549,0.0841673545876114,0.0171172031907161,681,0.25694004236211,0.681,999
"MBREJ915",243,0.10022172178289,0.085064829722015,0.0180683214870082,816,0.838865528918856,0.816,999
"MBREK515",159,0.0604911674946771,0.0848621180451625,0.0180501764751148,15,-1.3501779655221,0.015,999
"MBREK715",163,0.0585663521571379,0.0840447636948707,0.0178315421403044,10,-1.42883948776053,0.01,999
"MBREK915",208,0.0677796247787611,0.0849801020553669,0.0182893050866843,147,-0.940466419860246,0.147,999
"MBREP515",290,0.117518770926909,0.0848805190579534,0.0175840176839358,942,1.85613165634909,0.942,999
"MBREP714",307,0.0847147984161267,0.0841464212168,0.017359052879018,634,0.0327424084302247,0.634,999
"MBREP715",321,0.0979536761406132,0.0849039433622419,0.01812735795126,791,0.719891603258395,0.791,999
"MBREP914",291,0.0687472306579899,0.0847747098805421,0.0176228251135531,158,-0.90947275021336,0.158,999
"MBREP915",310,0.0792209650092081,0.0837033277704813,0.0168898495180866,483,-0.265387963135682,0.483,999
"MDPEF514",206,0.0773306925308194,0.0848888809638275,0.0178550612749272,418,-0.423307896659061,0.418,999
"MDPEF515",155,0.0597578107344633,0.085287722590332,0.0175405358435943,16,-1.45548072667302,0.016,999
"MDPEF714",261,0.0727236558761435,0.085917656458779,0.0180040193418324,254,-0.732836392370406,0.254,999
"MDPEF715",200,0.062858814159292,0.0834415721231984,0.0171317361616577,41,-1.20144028425866,0.041,999
"MDPEF914",228,0.0591876514084507,0.0845764877877265,0.0180267640276159,9,-1.40839677827822,0.009,999
"MDPEF915",256,0.0726726237095052,0.0844730880426236,0.0173232057568214,271,-0.681194029486819,0.271,999
"MDPEJ515",256,0.104465068850019,0.085253970537544,0.0177282227707011,850,1.08364490682191,0.85,999
"MDPEJ715",270,0.0946191753691034,0.0852317702529432,0.0177844490618327,751,0.52784345939097,0.751,999
"MDPEJ915",245,0.0892553837719298,0.0842213968736135,0.017420964635222,686,0.288961432602795,0.686,999
"MDPEK515",154,0.0623846579689704,0.0854098454539686,0.0184279399198539,44,-1.24947159504201,0.044,999
"MDPEK715",197,0.063397609380469,0.0855767188282077,0.0179198129383233,51,-1.23768643813833,0.051,999
"MDPEK915",244,0.0667345566937478,0.0845190365095272,0.0179150899304265,111,-0.992709491542923,0.111,999
"MDPEP514",278,0.115623894363421,0.0849991922639317,0.0172400873003272,937,1.77636583655283,0.937,999
"MDPEP515",267,0.0992710436079015,0.0843643459344514,0.0177540562124389,817,0.839622083825903,0.817,999
"MDPEP714",282,0.0768385234179478,0.0841639169223293,0.0172489146001916,436,-0.424687215061063,0.436,999
"MDPEP715",305,0.0840300722021661,0.0840673628515986,0.0166826841225042,588,-0.00223529074570282,0.588,999
"MDPEP914",300,0.0734351831896552,0.0845214479082704,0.0183442103862379,326,-0.604346793085862,0.326,999
"MDPEP915",299,0.0841448300795372,0.0841628857011089,0.0172944795887372,603,-0.00104401069017438,0.603,999
"MINEF514",224,0.0656381042845594,0.0837800911126543,0.0169542116205809,74,-1.0700578259901,0.074,999
"MINEF515",202,0.0611535110777319,0.0844495252153907,0.0172678624983612,27,-1.3490965740473,0.027,999
"MINEF714",231,0.0686381921708185,0.0853721539439146,0.0180464263073362,146,-0.927272884288092,0.146,999
"MINEF715",238,0.0502704699453552,0.0850771312083909,0.0174861723980665,1,-1.99052488278592,0.001,999
"MINEF914",222,0.0545644002943341,0.0845264654855667,0.0169439708743214,3,-1.76830244890471,0.003,999
"MINEF915",244,0.0613456090336912,0.084286558930211,0.0176625687840105,32,-1.29884560830629,0.032,999
"MINEJ515",318,0.0715025393621316,0.084685281698682,0.0176039913652731,236,-0.748849625236449,0.236,999
"MINEJ715",281,0.06997846692607,0.0847678948353936,0.0175303424820066,212,-0.843647403038683,0.212,999
"MINEJ915",289,0.0664226635514019,0.0857260751830595,0.0176523657566807,95,-1.09353113898357,0.095,999
"MINEK515",220,0.0683270945945946,0.0851788134907194,0.0171881724003847,122,-0.980425289180111,0.122,999
"MINEK715",192,0.0509315526122149,0.0861395934881069,0.0185957337464916,1,-1.89333969586087,0.001,999
"MINEK915",244,0.0640715484589677,0.0865938875739044,0.0184411767557561,47,-1.22130704635792,0.047,999
"MINEP514",225,0.104662870813397,0.0845723835633647,0.0176647913998644,854,1.13731811461904,0.854,999
"MINEP515",284,0.075391664730933,0.0849722873226781,0.016787187555553,345,-0.570710403993547,0.345,999
"MINEP714",328,0.0714224564586357,0.0851265584295606,0.0170792008431321,209,-0.802385433416552,0.209,999
"MINEP715",314,0.0610716400467472,0.0861383625270706,0.0180728972510837,17,-1.38697864166856,0.017,999
"MINEP914",335,0.0648307534775889,0.0854639955547907,0.0181151302380174,63,-1.1390060025017,0.063,999
"MINEP915",302,0.0700195831739962,0.0853028589216821,0.017241627869666,180,-0.886417214384643,0.18,999
"MOTEF514",199,0.077293128410331,0.0863748295495622,0.0186503798452364,385,-0.486944567059359,0.385,999
"MOTEF515",152,0.0667959361702128,0.084596951166704,0.0177878671816248,100,-1.00073914509998,0.1,999
"MOTEF714",231,0.0758745708304257,0.0862934321564902,0.0181777657177708,336,-0.57316512314156,0.336,999
"MOTEF715",197,0.0641620168067227,0.085507800423848,0.0176761762831467,55,-1.20760187470394,0.055,999
"MOTEF914",262,0.0643952596491228,0.0861914057023806,0.0178629007132295,56,-1.22019074075216,0.056,999
"MOTEF915",254,0.072740049522462,0.0866367725492205,0.018371528527408,235,-0.756427153354518,0.235,999
"MOTEJ515",275,0.108410406976744,0.0852807166178015,0.0174287549573826,882,1.32709940644069,0.882,999
"MOTEJ715",218,0.0930591478076379,0.0854698954060795,0.0170548349327884,731,0.444991255058579,0.731,999
"MOTEJ915",258,0.0986518866571019,0.0850853871880183,0.0174270913642279,789,0.778471816411722,0.789,999
"MOTEK515",168,0.0893550475519549,0.0850644284085565,0.0171954477116561,686,0.24952064147129,0.686,999
"MOTEK715",164,0.0601307412587413,0.0854604261155336,0.0184595725354849,17,-1.37217071565991,0.017,999
"MOTEK915",248,0.0771025097483162,0.0861590636230121,0.0182224873127894,389,-0.496998775152916,0.389,999
"MOTEP514",268,0.133706243158718,0.084880712148174,0.0166327497203897,992,2.93550566390655,0.992,999
"MOTEP515",248,0.121143273056058,0.0844991605348054,0.0172694847268336,954,2.12189958767642,0.954,999
"MOTEP714",290,0.0881001967095851,0.0846015075200186,0.0171706265642154,653,0.203760135163502,0.653,999
"MOTEP715",249,0.103837811280596,0.0852991927189237,0.0170032170333247,853,1.09030064871479,0.853,999
"MOTEP914",284,0.073604474624732,0.0853710664577057,0.0176889798462033,286,-0.66519335401353,0.286,999
"MOTEP915",296,0.0784845194712397,0.0856297197590598,0.0176290263585177,437,-0.405308843637172,0.437,999
