"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.140664725845619,0.028769450126781,1,-2.88336798805589,0.001,999
"MBREF714",213,0.0698193284620738,0.120555301167556,0.0297044544018593,2,-1.70802573981316,0.002,999
"MBREF715",187,0.0570176699369306,0.125931393692221,0.0312106914825824,1,-2.20801656361085,0.001,999
"MBREF914",233,0.0608072630834512,0.115066000809862,0.0173732444644537,1,-3.1231206029148,0.001,999
"MBREF915",234,0.0674294456289979,0.114573510507665,0.0188947554817428,1,-2.49508732326387,0.001,999
"MBREJ515",332,0.105772634168157,0.098619444950317,0.0121473660976922,753,0.588867509245427,0.753,999
"MBREJ715",289,0.0885654495005549,0.105434766342369,0.0246609700576025,275,-0.684049200108966,0.275,999
"MBREJ915",243,0.10022172178289,0.112852606265503,0.0323000002049046,417,-0.391049052708536,0.417,999
"MBREK515",159,0.0604911674946771,0.136167802426273,0.0251560495657526,1,-3.00828771758432,0.001,999
"MBREK715",163,0.0585663521571379,0.134844292113931,0.0334957375289735,1,-2.27724318328006,0.001,999
"MBREK915",208,0.0677796247787611,0.121305381469966,0.023412431160787,1,-2.28621095876851,0.001,999
"MBREP515",290,0.117518770926909,0.104095635341344,0.0183566329916912,812,0.731241703837566,0.812,999
"MBREP714",307,0.0847147984161267,0.102944986592064,0.017115978998249,95,-1.06509760135846,0.095,999
"MBREP715",321,0.0979536761406132,0.0999518001921143,0.0151589195189575,497,-0.131811772534465,0.497,999
"MBREP914",291,0.0687472306579899,0.103593211219173,0.0140159729673066,1,-2.48616208396407,0.001,999
"MBREP915",310,0.0792209650092081,0.101939532014519,0.0177895737416602,54,-1.27707202742626,0.054,999
"MDPEF514",206,0.0773306925308194,0.121817795801603,0.0184290677004968,1,-2.41396385285319,0.001,999
"MDPEF515",155,0.0597578107344633,0.138385759601409,0.0267956025494705,1,-2.93436017054597,0.001,999
"MDPEF714",261,0.0727236558761435,0.110115305167941,0.0176431106762235,4,-2.11933428169146,0.004,999
"MDPEF715",200,0.062858814159292,0.122691227255574,0.0247383481383679,1,-2.41860987490451,0.001,999
"MDPEF914",228,0.0591876514084507,0.116731998008572,0.0185273884062506,1,-3.10590706786865,0.001,999
"MDPEF915",256,0.0726726237095052,0.111061244444872,0.0175126258732599,3,-2.1920539508574,0.003,999
"MDPEJ515",256,0.104465068850019,0.110762871803698,0.0166042641758516,381,-0.379288289259975,0.381,999
"MDPEJ715",270,0.0946191753691034,0.107680335394811,0.0259846259774064,358,-0.502649529651292,0.358,999
"MDPEJ915",245,0.0892553837719298,0.113031256856271,0.0272182313595133,167,-0.873527481278886,0.167,999
"MDPEK515",154,0.0623846579689704,0.137505280647361,0.025084932721214,1,-2.99465115227765,0.001,999
"MDPEK715",197,0.063397609380469,0.12378838908562,0.0251582008858775,1,-2.40044111179077,0.001,999
"MDPEK915",244,0.0667345566937478,0.113794499229006,0.0213302487509601,1,-2.20625380813435,0.001,999
"MDPEP514",278,0.115623894363421,0.10676610354146,0.019747402315047,738,0.448554735485976,0.738,999
"MDPEP515",267,0.0992710436079015,0.109037599780175,0.0167411296527287,313,-0.583386926382346,0.313,999
"MDPEP714",282,0.0768385234179478,0.105733598342712,0.0183975782508527,14,-1.57059122297385,0.014,999
"MDPEP715",305,0.0840300722021661,0.101597955179006,0.0160565717315431,105,-1.09412415492951,0.105,999
"MDPEP914",300,0.0734351831896552,0.103723304069155,0.0136558351413672,3,-2.21796181382927,0.003,999
"MDPEP915",299,0.0841448300795372,0.102597747925076,0.0153290114279823,71,-1.2037904683047,0.071,999
"MINEF514",224,0.0656381042845594,0.117236658999339,0.018730271546968,1,-2.75482149766974,0.001,999
"MINEF515",202,0.0611535110777319,0.123977684860978,0.0206032153140128,1,-3.04924123860016,0.001,999
"MINEF714",231,0.0686381921708185,0.116023206152772,0.0183425190303782,1,-2.58334277333862,0.001,999
"MINEF715",238,0.0502704699453552,0.114419332549307,0.0195352851196075,1,-3.28374335010682,0.001,999
"MINEF914",222,0.0545644002943341,0.117781234472147,0.0188555393311854,1,-3.3526929708798,0.001,999
"MINEF915",244,0.0613456090336912,0.111928034580304,0.0187279133771216,1,-2.70091090918892,0.001,999
