"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.142277632444635,0.0291854962777366,1,-2.89752887269063,0.001,999
"MBREF714",213,0.0698193284620738,0.122217729117426,0.0304364308085318,4,-1.72156850403972,0.004,999
"MBREF715",187,0.0570176699369306,0.129247006344116,0.0320625722741068,1,-2.25276174942197,0.001,999
"MBREF914",233,0.0608072630834512,0.115776456952002,0.0178892227304012,1,-3.07275473601963,0.001,999
"MBREF915",234,0.0674294456289979,0.116802805168352,0.0198493538294653,1,-2.4874038703498,0.001,999
"MBREJ515",332,0.105772634168157,0.0986027823574917,0.0125017848796785,758,0.573506253680643,0.758,999
"MBREJ715",289,0.0885654495005549,0.105305404838801,0.0261630529062614,272,-0.639831880408724,0.272,999
"MBREJ915",243,0.10022172178289,0.113998407091491,0.028890433132714,371,-0.476859770336957,0.371,999
"MBREK515",159,0.0604911674946771,0.137638797726044,0.0267854645563247,1,-2.88020504812005,0.001,999
"MBREK715",163,0.0585663521571379,0.136029684630263,0.0340183826286892,1,-2.27710215734352,0.001,999
"MBREK915",208,0.0677796247787611,0.122275171886931,0.0230075056775902,1,-2.36859865957786,0.001,999
"MBREP515",290,0.117518770926909,0.104439337692123,0.0182902337254232,806,0.715104761980497,0.806,999
"MBREP714",307,0.0847147984161267,0.101929168250324,0.0169340693986578,123,-1.01655245581794,0.123,999
"MBREP715",321,0.0979536761406132,0.0995294522570439,0.0149075359200934,512,-0.105703325142199,0.512,999
"MBREP914",291,0.0687472306579899,0.104263534242847,0.0145821373173596,1,-2.43560342437431,0.001,999
"MBREP915",310,0.0792209650092081,0.101506178421515,0.0171306982467866,43,-1.30089346571075,0.043,999
"MDPEF514",206,0.0773306925308194,0.122290158802748,0.0179974120123033,1,-2.49810729682652,0.001,999
"MDPEF515",155,0.0597578107344633,0.138523276931593,0.0265685406176789,1,-2.96461395191267,0.001,999
"MDPEF714",261,0.0727236558761435,0.110880870124171,0.0180753365392007,2,-2.11100989269406,0.002,999
"MDPEF715",200,0.062858814159292,0.124461059374419,0.0247091478942204,1,-2.49309468213333,0.001,999
"MDPEF914",228,0.0591876514084507,0.118082735256383,0.0185892961803094,1,-3.16822558942908,0.001,999
"MDPEF915",256,0.0726726237095052,0.111662223526481,0.0177522965645294,2,-2.19631300520749,0.002,999
"MDPEJ515",256,0.104465068850019,0.110832028019832,0.0176623252313594,394,-0.360482500826631,0.394,999
"MDPEJ715",270,0.0946191753691034,0.108980194036312,0.0273604245617345,334,-0.5248828882317,0.334,999
"MDPEJ915",245,0.0892553837719298,0.113513804235522,0.0257949181924527,127,-0.940434091808437,0.127,999
"MDPEK515",154,0.0623846579689704,0.139247209353218,0.0260757714401586,1,-2.9476616467758,0.001,999
"MDPEK715",197,0.063397609380469,0.125127333385188,0.0258220654677876,1,-2.39058041587437,0.001,999
"MDPEK915",244,0.0667345566937478,0.113924441506148,0.0203484832253793,1,-2.31908611023858,0.001,999
"MDPEP514",278,0.115623894363421,0.10655056175608,0.0202647860375775,743,0.447738880169587,0.743,999
"MDPEP515",267,0.0992710436079015,0.108676392094666,0.0165604902286473,303,-0.567939013695078,0.303,999
"MDPEP714",282,0.0768385234179478,0.106777206849323,0.020040443455822,9,-1.49391322090121,0.009,999
"MDPEP715",305,0.0840300722021661,0.102155596166564,0.0153838024446849,99,-1.17822131619092,0.099,999
"MDPEP914",300,0.0734351831896552,0.103579607937679,0.0135043468563235,2,-2.23220160654482,0.002,999
"MDPEP915",299,0.0841448300795372,0.103487558997899,0.0153138384187645,70,-1.26308822056398,0.07,999
"MINEF514",224,0.0656381042845594,0.117983825361335,0.0182779765944382,1,-2.86386848162966,0.001,999
"MINEF515",202,0.0611535110777319,0.124038335729646,0.0204257478007462,1,-3.0787036668306,0.001,999
"MINEF714",231,0.0686381921708185,0.116817497515309,0.0176601348436128,1,-2.72813915471974,0.001,999
"MINEF715",238,0.0502704699453552,0.114908370942892,0.0197446817971485,1,-3.27368663934972,0.001,999
"MINEF914",222,0.0545644002943341,0.118953050548709,0.0188391452735831,1,-3.41781165330591,0.001,999
"MINEF915",244,0.0613456090336912,0.114513173843966,0.0187120064162907,1,-2.84136097580573,0.001,999
"MINEJ515",318,0.0715025393621316,0.100552609302884,0.011914419920054,2,-2.43822780594261,0.002,999
"MINEJ715",281,0.06997846692607,0.107113379605286,0.0161602774865074,1,-2.29791305936553,0.001,999
"MINEJ915",289,0.0664226635514019,0.105448438496908,0.0141562478771568,1,-2.75678804752213,0.001,999
"MINEK515",220,0.0683270945945946,0.119012797534772,0.0203153597307534,1,-2.49494488957778,0.001,999
"MINEK715",192,0.0509315526122149,0.127243831167444,0.0273238010271012,1,-2.79288662948243,0.001,999
"MINEK915",244,0.0640715484589677,0.114096900494999,0.0163089559889958,1,-3.06735465285364,0.001,999
"MINEP514",225,0.104662870813397,0.117488866983556,0.0210485418253319,294,-0.609353193042701,0.294,999
"MINEP515",284,0.075391664730933,0.105902115867319,0.0133655193880026,4,-2.28277332520077,0.004,999
"MINEP714",328,0.0714224564586357,0.099039709539002,0.0122448543450222,2,-2.25541703495995,0.002,999
"MINEP715",314,0.0610716400467472,0.101585924943253,0.0140228426949653,1,-2.88916347261397,0.001,999
"MINEP914",335,0.0648307534775889,0.0975896126729512,0.0133265704114261,1,-2.45816126610303,0.001,999
"MINEP915",302,0.0700195831739962,0.103057507630001,0.0135542616143555,2,-2.4374566019158,0.002,999
"MOTEF514",199,0.077293128410331,0.124022771574776,0.019614025644098,1,-2.38246059286184,0.001,999
"MOTEF515",152,0.0667959361702128,0.140230413487956,0.0239884099720197,1,-3.06124821959429,0.001,999
"MOTEF714",231,0.0758745708304257,0.116982647640662,0.0200741578555522,3,-2.04781077771921,0.003,999
"MOTEF715",197,0.0641620168067227,0.125713241185864,0.0267410849082501,1,-2.30174746426056,0.001,999
"MOTEF914",262,0.0643952596491228,0.11039930966405,0.0152863297101044,1,-3.00948958235005,0.001,999
"MOTEF915",254,0.072740049522462,0.112100076457781,0.018149643621287,1,-2.16863910700455,0.001,999
"MOTEJ515",275,0.108410406976744,0.107021554985218,0.0163598098994583,572,0.0848941399723991,0.572,999
"MOTEJ715",218,0.0930591478076379,0.119201329214646,0.031162726814503,185,-0.838892615611599,0.185,999
"MOTEJ915",258,0.0986518866571019,0.110346405056419,0.0242490803217161,353,-0.482266471312093,0.353,999
"MOTEK515",168,0.0893550475519549,0.133688686273452,0.0210712566845706,10,-2.10398645819546,0.01,999
"MOTEK715",164,0.0601307412587413,0.135878676365176,0.0316326107712164,1,-2.39461534345944,0.001,999
"MOTEK915",248,0.0771025097483162,0.113148849494656,0.0196269363300347,11,-1.83657495699819,0.011,999
"MOTEP514",268,0.133706243158718,0.107465029861762,0.0254254738041295,856,1.0320835512884,0.856,999
"MOTEP515",248,0.121143273056058,0.111879992296094,0.0171612258115161,734,0.539779667356174,0.734,999
"MOTEP714",290,0.0881001967095851,0.105130605841893,0.0148319868551096,88,-1.14822169805533,0.088,999
"MOTEP715",249,0.103837811280596,0.111295178211202,0.0186439917276665,383,-0.399987676434086,0.383,999
"MOTEP914",284,0.073604474624732,0.105855669761971,0.0161023406191783,4,-2.00288864209137,0.004,999
"MOTEP915",296,0.0784845194712397,0.104082080011415,0.0169530083012461,22,-1.50991258219901,0.022,999
