"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",148,0.0577118143160879,0.0579572736520514,0.00232691626856028,445.5,-0.105486965422855,0.4455,999
"MBREF714",213,0.0698193284620738,0.0698231437600647,0.00174371663180493,508.5,-0.00218802638073407,0.5085,999
"MBREF715",187,0.0570176699369306,0.0571326395621113,0.0013045429194774,453,-0.0881301975305485,0.453,999
"MBREF914",233,0.0608072630834512,0.0609786978696647,0.00162874856112247,454,-0.105255525810177,0.454,999
"MBREF915",234,0.0674294456289979,0.0674850159173512,0.00158677553981231,556,-0.0350208879321881,0.556,999
"MBREJ515",332,0.105772634168157,0.105664485452102,0.00161917835137639,447.5,0.0667923431432703,0.4475,999
"MBREJ715",289,0.0885654495005549,0.0888754085385502,0.00205542251689036,489,-0.150800643394836,0.489,999
"MBREJ915",243,0.10022172178289,0.100323979663637,0.00321556987708984,525,-0.0318008579055516,0.525,999
"MBREK515",159,0.0604911674946771,0.060882162931544,0.00304699129342865,427.5,-0.128321809684919,0.4275,999
"MBREK715",163,0.0585663521571379,0.0587554360909378,0.00134017566599668,447,-0.1410889173691,0.447,999
"MBREK915",208,0.0677796247787611,0.0678863524516257,0.000816906406177236,475,-0.130648593348718,0.475,999
"MBREP515",290,0.117518770926909,0.117934104172164,0.00307627589236192,429.5,-0.135011702391882,0.4295,999
"MBREP714",307,0.0847147984161267,0.0846616114815474,0.00109373697256831,524,0.0486286336781868,0.524,999
"MBREP715",321,0.0979536761406132,0.0980685785550325,0.00101209263882919,503.5,-0.11352954266335,0.5035,999
"MBREP914",291,0.0687472306579899,0.0689373063908961,0.0009249584553287,452,-0.205496508314715,0.452,999
"MBREP915",310,0.0792209650092081,0.0793231611797789,0.00118109915131957,502,-0.0865263263093426,0.502,999
"MDPEF514",206,0.0773306925308194,0.0774407335827905,0.00129996543516007,427,-0.0846492137365791,0.427,999
"MDPEF515",155,0.0597578107344633,0.0597379780849909,0.00165708381771963,474,0.0119684045311058,0.474,999
"MDPEF714",261,0.0727236558761435,0.0726783721998749,0.00141474926878737,519.5,0.0320082697816039,0.5195,999
"MDPEF715",200,0.062858814159292,0.0629584672591251,0.00109729360347243,472.5,-0.0908171700971821,0.4725,999
"MDPEF914",228,0.0591876514084507,0.0594625471568096,0.00221776521255833,432,-0.123951691009598,0.432,999
"MDPEF915",256,0.0726726237095052,0.0728152514869338,0.0017972778623582,452.5,-0.0793576666223043,0.4525,999
"MDPEJ515",256,0.104465068850019,0.104415605198764,0.00125943864142253,471,0.0392743636951597,0.471,999
"MDPEJ715",270,0.0946191753691034,0.0947440924938373,0.00240000214655278,456.5,-0.0520487554202048,0.4565,999
"MDPEJ915",245,0.0892553837719298,0.0894815534365758,0.00282919812377393,477.5,-0.0799412606510104,0.4775,999
"MDPEK515",154,0.0623846579689704,0.0624928087809205,0.00112147372796436,451,-0.096436331278488,0.451,999
"MDPEK715",197,0.063397609380469,0.0635378218698575,0.00137291844122663,467,-0.102127326123728,0.467,999
"MDPEK915",244,0.0667345566937478,0.0668118973859376,0.000704382749472915,454,-0.109799242312005,0.454,999
"MDPEP514",278,0.115623894363421,0.115714367168489,0.0024822149825711,402,-0.0364484163148801,0.402,999
"MDPEP515",267,0.0992710436079015,0.0993661113360543,0.00220538809633428,444.5,-0.0431070287859196,0.4445,999
"MDPEP714",282,0.0768385234179478,0.076786248710703,0.00100292382046643,512.5,0.052122310965293,0.5125,999
"MDPEP715",305,0.0840300722021661,0.0840977243323756,0.00092636776840736,490.5,-0.0730294517109625,0.4905,999
"MDPEP914",300,0.0734351831896552,0.0735040567260144,0.000987557074952868,455.5,-0.0697413224066395,0.4555,999
"MDPEP915",299,0.0841448300795372,0.0841003996227589,0.000866891563016219,495.5,0.0512526118303709,0.4955,999
"MINEF514",224,0.0656381042845594,0.0660421272296673,0.00224300664473896,373.5,-0.180125612224787,0.3735,999
"MINEF515",202,0.0611535110777319,0.0613848655141648,0.00228073691828141,450,-0.101438458148547,0.45,999
"MINEF714",231,0.0686381921708185,0.0688777059899503,0.00246832557460024,433,-0.0970349380148322,0.433,999
"MINEF715",238,0.0502704699453552,0.0505411868770729,0.00166544808913917,372,-0.162549006170229,0.372,999
"MINEF914",222,0.0545644002943341,0.0548533752146039,0.00188366196434686,412,-0.153411241368902,0.412,999
"MINEF915",244,0.0613456090336912,0.0615169822349455,0.0015941726514392,466,-0.107499774945716,0.466,999
"MINEJ515",318,0.0715025393621316,0.0715078502340604,0.00188510926618019,454,-0.00281727538240124,0.454,999
"MINEJ715",281,0.06997846692607,0.0700493273700946,0.000905069642681739,490,-0.078292808291143,0.49,999
"MINEJ915",289,0.0664226635514019,0.0665772166186606,0.0010793333210871,426.5,-0.143193084322742,0.4265,999
"MINEK515",220,0.0683270945945946,0.0681889814255186,0.00299331955567428,502.5,0.0461404693041158,0.5025,999
"MINEK715",192,0.0509315526122149,0.0512796072767976,0.00228180837247249,427,-0.152534572482788,0.427,999
"MINEK915",244,0.0640715484589677,0.0641920993350908,0.000961964752468705,457.5,-0.125317352651169,0.4575,999
"MINEP514",225,0.104662870813397,0.104795041949263,0.00314922396150254,320.5,-0.0419694303999464,0.3205,999
"MINEP515",284,0.075391664730933,0.0757519798683067,0.0022499592745858,374,-0.160142959671996,0.374,999
"MINEP714",328,0.0714224564586357,0.0714830592986501,0.000772550193971856,452.5,-0.0784451812805237,0.4525,999
"MINEP715",314,0.0610716400467472,0.061257844192488,0.000638572632351805,372.5,-0.291594309413259,0.3725,999
"MINEP914",335,0.0648307534775889,0.064937254458451,0.000968088190260824,404.5,-0.110011651762296,0.4045,999
"MINEP915",302,0.0700195831739962,0.0700871139916029,0.000899071112895882,503.5,-0.0751117643956189,0.5035,999
"MOTEF514",199,0.077293128410331,0.0776528625526858,0.00235880325534063,403.5,-0.152507056932498,0.4035,999
"MOTEF515",152,0.0667959361702128,0.0669591936419848,0.00154850728730342,435,-0.105428933470711,0.435,999
"MOTEF714",231,0.0758745708304257,0.0758589698927859,0.00120215996410996,463.5,0.0129774223943267,0.4635,999
"MOTEF715",197,0.0641620168067227,0.0643036916900576,0.00175019448536815,487,-0.0809480800673155,0.487,999
"MOTEF914",262,0.0643952596491228,0.0645565057015754,0.00156929079788908,449.5,-0.102750906759593,0.4495,999
"MOTEF915",254,0.072740049522462,0.0727656115120784,0.000752059271439503,474,-0.033989328483983,0.474,999
"MOTEJ515",275,0.108410406976744,0.108340885147056,0.00186435747496345,395.5,0.0372899675203956,0.3955,999
"MOTEJ715",218,0.0930591478076379,0.0933401809238465,0.0026313195701197,507,-0.106803111032142,0.507,999
"MOTEJ915",258,0.0986518866571019,0.0988750915755059,0.00243131310457919,454,-0.0918042674074665,0.454,999
"MOTEK515",168,0.0893550475519549,0.0890348671557835,0.0019857813119622,481.5,0.161236483716864,0.4815,999
"MOTEK715",164,0.0601307412587413,0.0604918907262754,0.00189484326719615,423.5,-0.190595957874909,0.4235,999
"MOTEK915",248,0.0771025097483162,0.0771110973537781,0.00115598538382847,492,-0.00742881837616467,0.492,999
"MOTEP514",268,0.133706243158718,0.133795523612924,0.00279548782798107,463,-0.0319373432114826,0.463,999
"MOTEP515",248,0.121143273056058,0.120741763674316,0.00305349248601668,458.5,0.13149185189767,0.4585,999
"MOTEP714",290,0.0881001967095851,0.0881307903133717,0.00124564835600563,457,-0.0245603854724208,0.457,999
"MOTEP715",249,0.103837811280596,0.103941451041119,0.001113842951067,524.5,-0.0930470138757411,0.5245,999
"MOTEP914",284,0.073604474624732,0.0737355700341745,0.000939621464461995,447.5,-0.139519385625809,0.4475,999
"MOTEP915",296,0.0784845194712397,0.0785337153922732,0.000910927812789048,494.5,-0.0540063881493254,0.4945,999
