"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.60568303088315,0.0303221778946211,1,-4.14960662753789,0.001,999
"MBREF714",213,0.565561036787962,0.607301058760205,0.0279121088342082,69,-1.49540911509661,0.069,999
"MBREF715",187,0.406008876208118,0.606241407097764,0.028456741040116,1,-7.03638307026707,0.001,999
"MBREF914",233,0.579834445452527,0.607615515010721,0.0296886214626474,163,-0.935748047215552,0.163,999
"MBREF915",234,0.512459163467867,0.607095862872347,0.0290515049282697,1,-3.25754895101458,0.001,999
"MBREJ515",332,0.625779547396482,0.606133103496516,0.0285405971967762,762,0.688368353489973,0.762,999
"MBREJ715",289,0.628366965324972,0.606318182843417,0.0279763519224216,789,0.788122144827754,0.789,999
"MBREJ915",243,0.624806797089847,0.605156478564014,0.0291596932992875,749,0.673886323979711,0.749,999
"MBREK515",159,0.496707550981448,0.606546101570692,0.0282092892331685,2,-3.89370145703974,0.002,999
"MBREK715",163,0.388924570438157,0.606832051941419,0.0286364452730047,1,-7.60944591501657,0.001,999
"MBREK915",208,0.505021722915185,0.606397035394049,0.0269251600630422,1,-3.76507743097924,0.001,999
"MBREP515",290,0.650492145142699,0.606572516516256,0.0285714242409489,942,1.53718723491205,0.942,999
"MBREP714",307,0.67057258761243,0.607979302841501,0.0282250548000227,989,2.21764971633919,0.989,999
"MBREP715",321,0.621602145293413,0.60515343046223,0.028987988121046,712,0.56743209506287,0.712,999
"MBREP914",291,0.638951267061713,0.60562013911744,0.0286224217461455,884,1.16451110391317,0.884,999
"MBREP915",310,0.632087060948486,0.605660107493933,0.027872496422344,839,0.948137298292659,0.839,999
"MDPEF514",206,0.623251442477839,0.607054723345285,0.0286992359520209,706,0.564360638716353,0.706,999
"MDPEF515",155,0.496067933015337,0.606270879428424,0.0282888533354077,2,-3.8956314385197,0.002,999
"MDPEF714",261,0.601602230959554,0.605811788253886,0.0287943796439567,447,-0.146193713717167,0.447,999
"MDPEF715",200,0.486283658470358,0.604838936553579,0.0282788104716893,1,-4.19237146491399,0.001,999
"MDPEF914",228,0.569620226839913,0.607008665913164,0.0286143692097275,97,-1.30663160173879,0.097,999
"MDPEF915",256,0.561405656086112,0.606205884188344,0.0289556134503744,68,-1.54720355619519,0.068,999
"MDPEJ515",256,0.613992330122193,0.607586714272554,0.0283772601378555,598,0.225730596207,0.598,999
"MDPEJ715",270,0.629314139996361,0.607642418281289,0.0278300778065309,789,0.778715814800425,0.789,999
"MDPEJ915",245,0.641740066486804,0.606922612831444,0.0272670095601848,897,1.2769076703666,0.897,999
"MDPEK515",154,0.528643640591648,0.606560584263239,0.0293295725053304,8,-2.65660004616263,0.008,999
