"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.488031350715874,0.014543934071603,228,-0.561982070696082,0.228,999
"MBREF714",213,0.565561036787962,0.568838963230001,0.00934561723106614,353,-0.350744778113055,0.353,999
"MBREF715",187,0.406008876208118,0.417078078087958,0.0184563060375995,161,-0.59975175191014,0.161,999
"MBREF914",233,0.579834445452527,0.586453372657152,0.0109187318575482,237,-0.606199262971148,0.237,999
"MBREF915",234,0.512459163467867,0.51980312917605,0.0134622162955707,273,-0.545524269328447,0.273,999
"MBREJ515",332,0.625779547396482,0.626139560232855,0.00854507808548566,459,-0.0421310177358051,0.459,999
"MBREJ715",289,0.628366965324972,0.637757045178472,0.0115071762159665,197,-0.816019471438275,0.197,999
"MBREJ915",243,0.624806797089847,0.629322954481245,0.00869494965623803,320,-0.519400062098994,0.32,999
"MBREK515",159,0.496707550981448,0.503907239409438,0.012745519543057,202,-0.564879948884651,0.202,999
"MBREK715",163,0.388924570438157,0.398730904073763,0.0172889912352621,201,-0.567201029959748,0.201,999
"MBREK915",208,0.505021722915185,0.510271444910605,0.0114313883406241,336,-0.459237481834425,0.336,999
"MBREP515",290,0.650492145142699,0.646166974351822,0.011291648729128,693,0.383041564135843,0.693,999
"MBREP714",307,0.67057258761243,0.669737481872171,0.00752029288771733,530,0.111046970208121,0.53,999
"MBREP715",321,0.621602145293413,0.621204250571009,0.00673529734360691,589,0.0590760440267294,0.589,999
"MBREP914",291,0.638951267061713,0.638217590583291,0.00633663922105758,541,0.115783217700539,0.541,999
"MBREP915",310,0.632087060948486,0.633616498081414,0.00686543113712557,417,-0.222773647041291,0.417,999
"MDPEF514",206,0.623251442477839,0.622524065255455,0.0104393775323822,597,0.0696763020714044,0.597,999
"MDPEF515",155,0.496067933015337,0.503491327932624,0.0139072244911107,229,-0.533779757566435,0.229,999
"MDPEF714",261,0.601602230959554,0.60289666235242,0.00684622771616587,432,-0.189072208306795,0.432,999
"MDPEF715",200,0.486283658470358,0.4911942523112,0.0106475940430151,318,-0.461192812292101,0.318,999
"MDPEF914",228,0.569620226839913,0.575154420134945,0.0107643040335863,339,-0.514124580443385,0.339,999
"MDPEF915",256,0.561405656086112,0.56533473906664,0.0113251834034455,419,-0.346933276094479,0.419,999
"MDPEJ515",256,0.613992330122193,0.613068624256109,0.00773921571266042,499,0.119353937192035,0.499,999
"MDPEJ715",270,0.629314139996361,0.633216312147996,0.00997462096831098,379,-0.391210068435892,0.379,999
"MDPEJ915",245,0.641740066486804,0.644549573673358,0.00787583223511116,410,-0.356725118398254,0.41,999
"MDPEK515",154,0.528643640591648,0.532178137879937,0.0102090795092334,335,-0.34621116282745,0.335,999
"MDPEK715",197,0.4848487592143,0.489014003130347,0.0136012777274554,409,-0.306239163666153,0.409,999
"MDPEK915",244,0.5412793675162,0.54555821995566,0.0113404366672428,446,-0.377309319298088,0.446,999
