"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",148,0.479857920530247,0.587702115895626,0.0462225960387183,4,-2.33314881914126,0.004,999
"MBREF714",213,0.565561036787962,0.576142776670989,0.0495676649246778,446,-0.213480701564354,0.446,999
"MBREF715",187,0.406008876208118,0.573846948795241,0.0515432663984265,1,-3.25625604108486,0.001,999
"MBREF914",233,0.579834445452527,0.603176026126787,0.0348720656084706,250,-0.669348955015464,0.25,999
"MBREF915",234,0.512459163467867,0.597879645272138,0.0377600591494556,6,-2.2621914194089,0.006,999
"MBREJ515",332,0.625779547396482,0.6107570487332,0.0279542578921658,726,0.537395724158789,0.726,999
"MBREJ715",289,0.628366965324972,0.58224363766201,0.047797292646017,853,0.964977828442035,0.853,999
"MBREJ915",243,0.624806797089847,0.569931896338138,0.0499757650535072,881,1.09803022911117,0.881,999
"MBREK515",159,0.496707550981448,0.593090734466154,0.0432429836074925,5,-2.22887450041737,0.005,999
"MBREK715",163,0.388924570438157,0.570765659129279,0.0528821939909739,1,-3.43860711834608,0.001,999
"MBREK915",208,0.505021722915185,0.593032164131164,0.0415448934966031,13,-2.11844185430815,0.013,999
"MBREP515",290,0.650492145142699,0.598195736965413,0.0362410450981394,920,1.44301600673131,0.92,999
"MBREP714",307,0.67057258761243,0.601424657976958,0.0340775276904144,969,2.02913574786477,0.969,999
"MBREP715",321,0.621602145293413,0.606142955401321,0.0303272810182769,739,0.509745330706535,0.739,999
"MBREP914",291,0.638951267061713,0.608748153067065,0.0303273833934655,859,0.995902402881061,0.859,999
"MBREP915",310,0.632087060948486,0.602946290024989,0.0343236849743859,821,0.848998903970913,0.821,999
"MDPEF514",206,0.623251442477839,0.604885290186747,0.034467958911233,727,0.532847109931602,0.727,999
"MDPEF515",155,0.496067933015337,0.591935056725287,0.0444358706818927,9,-2.15742647187546,0.009,999
"MDPEF714",261,0.601602230959554,0.60229555697327,0.0357258368640871,522,-0.0194068515834709,0.522,999
"MDPEF715",200,0.486283658470358,0.590167260234747,0.0438119348081374,6,-2.37112563549909,0.006,999
"MDPEF914",228,0.569620226839913,0.601672853276201,0.0354664878501197,191,-0.903744023703203,0.191,999
"MDPEF915",256,0.561405656086112,0.60299091169955,0.0339073571733045,102,-1.22643753687116,0.102,999
"MDPEJ515",256,0.613992330122193,0.602788575621499,0.0343960980531268,659,0.325727484652148,0.659,999
"MDPEJ715",270,0.629314139996361,0.576556095007788,0.0485664272820068,879,1.08630689843062,0.879,999
"MDPEJ915",245,0.641740066486804,0.583521359648746,0.0463869298805153,904,1.25506704125536,0.904,999
"MDPEK515",154,0.528643640591648,0.594534182488034,0.0434080444983627,56,-1.51793389123694,0.056,999
"MDPEK715",197,0.4848487592143,0.586310286476416,0.0453712266320381,7,-2.23625268245385,0.007,999
"MDPEK915",244,0.5412793675162,0.596516841973124,0.0387467770721893,63,-1.42560178241434,0.063,999
"MDPEP514",278,0.649597175351507,0.597434560266397,0.0369552255075939,918,1.41150850437622,0.918,999
"MDPEP515",267,0.630487337862154,0.604204938813509,0.0335442394765924,801,0.783514530624125,0.801,999
"MDPEP714",282,0.655707964764843,0.596626835378773,0.0363576221927389,943,1.62499981634852,0.943,999
"MDPEP715",305,0.618581573814334,0.605687105496762,0.0323514787707664,693,0.39857430966102,0.693,999
"MDPEP914",300,0.644380290318652,0.610028943501908,0.0282670361916872,893,1.21524402430438,0.893,999
"MDPEP915",299,0.628012687737003,0.606076433329759,0.0314452754802321,770,0.697600961423715,0.77,999
"MINEF514",224,0.603077802223153,0.602148990435138,0.0373270910119441,553,0.0248830477498942,0.553,999
"MINEF515",202,0.551658102910653,0.600509060283715,0.0380218038721888,86,-1.28481430121715,0.086,999
"MINEF714",231,0.594426514405846,0.603260293739681,0.0358197858729177,404,-0.246617312710247,0.404,999
"MINEF715",238,0.536313989997379,0.59976522009648,0.0386652573515311,44,-1.64103990107254,0.044,999
"MINEF914",222,0.556571997624644,0.602567303288718,0.0358571770433079,98,-1.2827363852018,0.098,999
"MINEF915",244,0.53788492109481,0.599745774662868,0.0373647439654299,39,-1.65559420466769,0.039,999
"MINEJ515",318,0.613139976755061,0.612354416125236,0.0263975523318273,534,0.0297588435454008,0.534,999
"MINEJ715",281,0.583935642519947,0.605680082063583,0.0328484657232584,265,-0.661962105835581,0.265,999
"MINEJ915",289,0.621664412042294,0.608714326119058,0.0302489137613531,696,0.42811738713676,0.696,999
"MINEK515",220,0.543240373754949,0.600013525116584,0.0389199172187263,62,-1.45871716639518,0.062,999
"MINEK715",192,0.476131529700614,0.585082485440119,0.0471805868930745,6,-2.30923273562536,0.006,999
"MINEK915",244,0.578896438029086,0.605368178447151,0.0329678165461346,226,-0.802957040877163,0.226,999
"MINEP514",225,0.636499184618158,0.598980766053497,0.038056965243276,856,0.98584893264158,0.856,999
"MINEP515",284,0.596443298124414,0.608761698183626,0.0299806641674513,360,-0.410878157682212,0.36,999
"MINEP714",328,0.635110616417327,0.611542672571567,0.0274727266814816,804,0.857866935415841,0.804,999
"MINEP715",314,0.596654603256793,0.608433205335454,0.0307253055038854,364,-0.383351829558584,0.364,999
"MINEP914",335,0.605836957262027,0.608901049371397,0.0305562919634043,481,-0.100276961387847,0.481,999
"MINEP915",302,0.61153865214438,0.609703639273852,0.0292979681869264,541,0.062632768894426,0.541,999
"MOTEF514",199,0.624960158306185,0.602028045687289,0.0368031566815145,751,0.62310178491876,0.751,999
"MOTEF515",152,0.550814732266989,0.59835525095194,0.0399780584038138,119,-1.18916527172856,0.119,999
"MOTEF714",231,0.612706893292343,0.599103609814137,0.0373532031813541,667,0.364179837861826,0.667,999
"MOTEF715",197,0.496946437621617,0.586807421731045,0.0452239397303517,15,-1.98702246299693,0.015,999
"MOTEF914",262,0.581757680721453,0.605490641853096,0.0321710565255677,238,-0.737711585964905,0.238,999
"MOTEF915",254,0.551990509199969,0.60093006577318,0.0358915662536903,77,-1.36353917316659,0.077,999
"MOTEJ515",275,0.647661089868045,0.604649443876083,0.0336831624048667,899,1.27694797403427,0.899,999
"MOTEJ715",218,0.608331370808984,0.574011514401261,0.0520785742910863,773,0.659001458371295,0.773,999
"MOTEJ915",258,0.667648528266767,0.588366818648436,0.0436588388951573,961,1.81593719907941,0.961,999
"MOTEK515",168,0.594132161677515,0.601700691114405,0.037567400546939,431,-0.201465348325959,0.431,999
"MOTEK715",164,0.450116440026407,0.578544040515008,0.0490262706132763,2,-2.61956699708303,0.002,999
"MOTEK915",248,0.523655535918953,0.597266891108435,0.0381570159009147,16,-1.92916960227275,0.016,999
"MOTEP514",268,0.625050067790818,0.580460528419838,0.0447425253918072,864,0.996580746851299,0.864,999
"MOTEP515",248,0.657655734249809,0.603412699866321,0.0345806881714319,936,1.56859325975762,0.936,999
"MOTEP714",290,0.682051539584446,0.606103872966926,0.0305995030515749,982,2.48199019734117,0.982,999
"MOTEP715",249,0.641568349655916,0.600716190398489,0.0353117279129831,874,1.15690060135537,0.874,999
"MOTEP914",284,0.640373030043925,0.605290008533036,0.0327284965094109,877,1.07194112937029,0.877,999
"MOTEP915",296,0.627918817803684,0.601647219061544,0.0349911912175508,805,0.750806069413331,0.805,999
