"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MBREF515",1014,0.161467445759369,0.218130557401583,0.00482671001532766,1,-11.7394895202478,0.001,999
"MBREF714",750,0.15049128,0.242711322575909,0.00629041569954996,1,-14.6604051275192,0.001,999
"MBREF715",684,0.153251564327485,0.250189171876555,0.00669986205508862,1,-14.4685975251452,0.001,999
"MBREF914",839,0.146926555423123,0.233475012485668,0.00560845162444969,1,-15.4317916704929,0.001,999
"MBREF915",1107,0.144565420054201,0.211744384483852,0.00432616598606362,1,-15.5285221709159,0.001,999
"MBREJ515",1558,0.133243305519897,0.187894677071166,0.00336100532681423,1,-16.2604239616219,0.001,999
"MBREJ715",1148,0.136316777003484,0.209238935233143,0.00432080603167157,1,-16.8769802891261,0.001,999
"MBREJ915",749,0.160340667556742,0.242460227837985,0.00619239568748988,1,-13.2613554471565,0.001,999
"MBREK515",694,0.16356242074928,0.249156450701422,0.0064307149063284,1,-13.3101888668568,0.001,999
"MBREK715",460,0.169813956521739,0.285254671084128,0.00904873497688349,1,-12.757663348225,0.001,999
"MBREK915",673,0.174029494799406,0.251346784213634,0.00674474429562298,1,-11.4633388643664,0.001,999
"MBREP515",1069,0.15210834424696,0.214406901316658,0.00464850872526751,1,-13.401837180829,0.001,999
"MBREP714",1417,0.132155666901905,0.194306245080649,0.0036967571584655,1,-16.8121884978081,0.001,999
"MBREP715",989,0.147305662285137,0.22035621489032,0.00483297835390759,1,-15.1150175431926,0.001,999
"MBREP914",1263,0.134031504354711,0.202404831617049,0.00409017079892086,1,-16.7164968466297,0.001,999
"MBREP915",1848,0.124547851731602,0.176283796512963,0.0029212527280063,1,-17.7101913454336,0.001,999
"MDPEF514",2903,0.107384233551498,0.148829952398144,0.00201944909565759,1,-20.5232798072336,0.001,999
"MDPEF515",555,0.177029513513514,0.267814990071152,0.0075591565030099,1,-12.0100009202733,0.001,999
"MDPEF714",789,0.143074271229404,0.238211196380157,0.00595843952940367,1,-15.9667518116567,0.001,999
"MDPEF715",690,0.153478376811594,0.249282234988612,0.00647056427952557,1,-14.8061056251561,0.001,999
"MDPEF914",860,0.152521418604651,0.231091675023861,0.00566022574754005,1,-13.8811171009136,0.001,999
"MDPEF915",997,0.148705737211635,0.219595657272117,0.00481273893071173,1,-14.7296417032116,0.001,999
"MDPEJ515",742,0.15581332884097,0.243379172541814,0.00602588158962118,1,-14.531623696633,0.001,999
"MDPEJ715",734,0.140205136239782,0.24435368410645,0.00633164492269607,1,-16.4488926871661,0.001,999
"MDPEJ915",964,0.146074356846473,0.222397952807579,0.00510806347122395,1,-14.9417869200475,0.001,999
"MDPEK515",572,0.17595493006993,0.265273886596387,0.00757687541668037,1,-11.7883628295936,0.001,999
"MDPEK715",434,0.162277903225806,0.290810345575991,0.00925161213681918,1,-13.8929778344961,0.001,999
"MDPEK915",774,0.159170788113695,0.239433977026122,0.00605646355036784,1,-13.252484431703,0.001,999
"MDPEP514",1997,0.112488057085628,0.171742792562217,0.00285707698958004,1,-20.7396355410423,0.001,999
"MDPEP515",1414,0.130811089108911,0.194384658413718,0.00370989864632812,1,-17.1362011109735,0.001,999
"MDPEP714",1077,0.136245143918292,0.213842261146941,0.00461455821038276,1,-16.8157196617556,0.001,999
"MDPEP715",1311,0.128073463005339,0.199823442771528,0.00390559877769273,1,-18.3710575126142,0.001,999
"MDPEP914",1214,0.132311466227348,0.205250051979492,0.00416764020683787,1,-17.5011714380895,0.001,999
"MDPEP915",1348,0.129675949554896,0.197658783338234,0.00381815699977778,1,-17.8051436301061,0.001,999
"MINEF514",4353,0.0965764392373076,0.127180424957464,0.00142066215875885,1,-21.5420573649214,0.001,999
"MINEF515",1562,0.141381274007682,0.187600481038016,0.00338780088045533,1,-13.6428345883545,0.001,999
"MINEF714",950,0.162156263157895,0.223687905231547,0.00487225218694553,1,-12.6289936794564,0.001,999
"MINEF715",2026,0.131184930898322,0.170672626263974,0.00272474146417118,1,-14.492272343961,0.001,999
"MINEF914",2029,0.137795756530311,0.170348850269688,0.00273614738648156,1,-11.8974196712546,0.001,999
"MINEF915",2128,0.137358016917293,0.167641454250303,0.00269477802053971,1,-11.237822596959,0.001,999
"MINEJ515",2185,0.124944837528604,0.165777735524999,0.00260965590035642,1,-15.6468513687256,0.001,999
"MINEJ715",1260,0.14284853968254,0.202627719330442,0.00401897789747524,1,-14.8742245349136,0.001,999
"MINEJ915",979,0.152558498467824,0.221411352292026,0.00493808729520886,1,-13.9432232984229,0.001,999
"MINEK515",1209,0.159377088502895,0.205315168063018,0.00431332832013822,1,-10.6502626627436,0.001,999
"MINEK715",929,0.167825005382131,0.225648552104311,0.00517070893078541,1,-11.1829049935318,0.001,999
"MINEK915",1234,0.171698055105348,0.203988685200598,0.00405579288785249,1,-7.96160725858634,0.001,999
"MINEP514",632,0.152536075949367,0.256939956174529,0.00682873939688301,1,-15.2888950884284,0.001,999
"MINEP515",975,0.155089938461538,0.221295210338544,0.00470330085496717,1,-14.0763421091988,0.001,999
"MINEP714",1578,0.134578688212928,0.186895829828561,0.00333048502634621,1,-15.7085653296058,0.001,999
"MINEP715",1579,0.138017384420519,0.187094312076484,0.00348493590131485,1,-14.0825911998693,0.001,999
"MINEP914",2472,0.119412965210356,0.158430101974952,0.00230568263508731,1,-16.9221627342996,0.001,999
"MINEP915",2550,0.119322266666667,0.156492526475495,0.00231256197866372,1,-16.0731950761842,0.001,999
"MOTEF514",1820,0.121981659340659,0.177196137604638,0.0029819531208788,1,-18.5162127054856,0.001,999
"MOTEF515",850,0.157710011764706,0.232330331931932,0.00551320921173535,1,-13.5348246912869,0.001,999
"MOTEF714",564,0.143770177304965,0.266504140488006,0.00753841758639917,1,-16.2811308575527,0.001,999
"MOTEF715",646,0.146700263157895,0.254678479625136,0.00677278368782082,1,-15.9429595634973,0.001,999
"MOTEF914",874,0.144583672768879,0.230033430066222,0.00537241135494658,1,-15.9052893853086,0.001,999
"MOTEF915",971,0.144029083419156,0.22177217439891,0.00491628289371657,1,-15.8133884197585,0.001,999
"MOTEJ515",851,0.15507419506463,0.232138931563761,0.00552061139421774,1,-13.9594568420173,0.001,999
"MOTEJ715",544,0.163285386029412,0.269783263539275,0.00774392047773394,1,-13.7524497851025,0.001,999
"MOTEJ915",808,0.144414690594059,0.236123637734269,0.00588546271581088,1,-15.5822832576681,0.001,999
"MOTEK515",571,0.167410560420315,0.265409178039686,0.00754103444678786,1,-12.9953812452234,0.001,999
"MOTEK715",374,0.163455695187166,0.304570401176578,0.0103996400195671,1,-13.5691914070008,0.001,999
"MOTEK915",667,0.160202773613193,0.251579939489715,0.00668394110197498,1,-13.6711506703015,0.001,999
"MOTEP514",1934,0.109340744570838,0.173580316107214,0.00294972730192232,1,-21.7781391162876,0.001,999
"MOTEP515",1076,0.13146218401487,0.214220101383912,0.00455119866834076,1,-18.1837628721255,0.001,999
"MOTEP714",945,0.130125058201058,0.224088988904248,0.00509712546073855,1,-18.4346905774564,0.001,999
"MOTEP715",621,0.148211674718196,0.258284323711796,0.00739914695997493,1,-14.8763971832196,0.001,999
"MOTEP914",1119,0.130609258266309,0.210895840585894,0.00430061503332843,1,-18.668628021199,0.001,999
"MOTEP915",1239,0.131772606941082,0.203825515943708,0.00431201975153509,1,-16.7097817622416,0.001,999
