"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",217,1.19129900068271,1.18129106501877,0.0265779818396697,648,0.376549872158001,0.648,999
"MBREF714",234,1.12797375481457,1.18055786879319,0.0253165350486363,24,-2.07706599175596,0.024,999
"MBREF715",226,1.17094775417896,1.18113684867011,0.0264783886641844,362,-0.384807951132235,0.362,999
"MBREF914",293,1.14221379026602,1.17927424370839,0.0230989917605985,54,-1.60441866149234,0.054,999
"MBREF915",304,1.16129767457009,1.181005223463,0.0218583573506397,184,-0.901602466130974,0.184,999
"MBREJ515",771,1.09080797089292,1.18133619215051,0.0133914467826166,1,-6.76015241124694,0.001,999
"MBREJ715",432,1.16361733103463,1.18139375612131,0.0182451925574159,167,-0.974307343194242,0.167,999
"MBREJ915",344,1.12808455234253,1.18102659223194,0.0205780730669502,5,-2.57274039785742,0.005,999
"MBREK515",225,1.1931901047619,1.18086295068322,0.0268118815175899,696,0.459764603636444,0.696,999
"MBREK715",194,1.22342147641686,1.18058539567878,0.0284099189432767,935,1.50778609483545,0.935,999
"MBREK915",269,1.17252418021417,1.18094979012248,0.0246498782116136,353,-0.341811421377945,0.353,999
"MBREP515",577,1.12508318301078,1.18176796976401,0.015894666641295,1,-3.56627716909477,0.001,999
"MBREP714",404,1.10721133601946,1.17961861080044,0.0192084593144252,1,-3.76955140418826,0.001,999
"MBREP715",495,1.14799207802724,1.18123065201283,0.0172458032452486,32,-1.92734275770826,0.032,999
"MBREP914",402,1.13873252168087,1.18019421663807,0.019248061547105,20,-2.15407119598677,0.02,999
"MBREP915",461,1.14215973611242,1.18103302022706,0.0181387005381074,18,-2.14311295525088,0.018,999
"MDPEF514",334,1.19420545018072,1.18117634450764,0.021614360312206,722,0.602798578578388,0.722,999
"MDPEF515",209,1.16667409274936,1.18110696239486,0.0274524850308527,293,-0.525740006024251,0.293,999
