"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",217,0.882019228979749,1.1199669175047,0.0806049923663211,1,-2.95202172395926,0.001,999
"MBREF714",234,1.03149594793,1.10059087866052,0.0920457905615054,228,-0.750658235526356,0.228,999
"MBREF715",226,0.756290663554876,1.09656784711203,0.0927085662460687,1,-3.67039635424829,0.001,999
"MBREF914",293,1.03560688538693,1.14918302138652,0.0620541775772834,33,-1.83027380965837,0.033,999
"MBREF915",304,0.929317004228003,1.14137771285662,0.0695727615716638,1,-3.04804213370465,0.001,999
"MBREJ515",771,1.07815873497573,1.16822196929416,0.0414678508986302,11,-2.17188092381713,0.011,999
"MBREJ715",432,1.15141090241826,1.1094590702078,0.0834400290023831,701,0.502778255377487,0.701,999
"MBREJ915",344,1.16747274067313,1.08784708110807,0.0902726190306928,809,0.88205770941444,0.809,999
"MBREK515",225,0.897117399635486,1.12921660453726,0.0760194290373634,1,-3.05315638174152,0.001,999
"MBREK715",194,0.723121780755934,1.09010196287892,0.0954437798628619,1,-3.84498793583283,0.001,999
"MBREK915",269,0.902339031080327,1.13286379765425,0.0761427056159708,1,-3.02753579228693,0.001,999
"MBREP515",577,1.11415901906509,1.14813516091212,0.058873289023186,307,-0.577106229510029,0.307,999
"MBREP714",404,1.18670690386916,1.14707497512265,0.0644312247879352,739,0.615104382649025,0.739,999
"MBREP715",495,1.1117050830513,1.15566677357955,0.056125329130922,233,-0.783277197817506,0.233,999
"MBREP914",402,1.12068453653342,1.15588234212262,0.0549867285080304,267,-0.640114561171971,0.267,999
"MBREP915",461,1.08224392297124,1.14584832928733,0.0634572563921888,152,-1.00231888254037,0.152,999
"MDPEF514",334,1.08083466221852,1.15184575922599,0.058301681263362,104,-1.21799398351301,0.104,999
"MDPEF515",209,0.890204778656548,1.12768574646351,0.0775925008568138,1,-3.06061752340215,0.001,999
"MDPEF714",305,1.0929875618555,1.14657543393618,0.0664183477888831,213,-0.806823323142826,0.213,999
"MDPEF715",259,0.881497647225727,1.12621262953172,0.0776811085803164,1,-3.15025090113098,0.001,999
"MDPEF914",281,1.01514419526967,1.14740513459854,0.0642983547585433,17,-2.05698792489396,0.017,999
"MDPEF915",332,1.00643588134387,1.14955138043725,0.0625267423893092,4,-2.288868628439,0.004,999
