"PD","SR","norep_filter_name"
41.9729,217,"MBREF515"
41.33766,234,"MBREF714"
38.96044,226,"MBREF715"
48.55493,293,"MBREF914"
55.50956,304,"MBREF915"
107.458,771,"MBREJ515"
67.61757,432,"MBREJ715"
58.38523,344,"MBREJ915"
42.04568,225,"MBREK515"
37.75304,194,"MBREK715"
48.10699,269,"MBREK915"
85.46781,577,"MBREP515"
62.20219,404,"MBREP714"
77.66999,495,"MBREP715"
60.49642,402,"MBREP914"
68.8473,461,"MBREP915"
54.38832,334,"MDPEF514"
37.74865,209,"MDPEF515"
50.75392,305,"MDPEF714"
43.86943,259,"MDPEF715"
48.77936,281,"MDPEF914"
56.98625,332,"MDPEF915"
63.02001,413,"MDPEJ515"
58.26429,362,"MDPEJ715"
60.66647,369,"MDPEJ915"
39.73045,203,"MDPEK515"
40.06308,231,"MDPEK715"
52.63864,303,"MDPEK915"
78.67297,576,"MDPEP514"
68.70413,449,"MDPEP515"
57.28415,362,"MDPEP714"
61.19462,415,"MDPEP715"
60.56419,398,"MDPEP914"
65.19683,417,"MDPEP915"
89.49896,594,"MINEF514"
74.80647,402,"MINEF515"
52.00734,306,"MINEF714"
63.00698,374,"MINEF715"
67.13935,389,"MINEF914"
76.05223,426,"MINEF915"
92.86585,659,"MINEJ515"
83.09294,537,"MINEJ715"
76.67522,524,"MINEJ915"
72.89689,417,"MINEK515"
62.89749,334,"MINEK715"
76.86601,422,"MINEK915"
70.09014,502,"MINEP514"
80.55789,513,"MINEP515"
64.98318,450,"MINEP714"
89.73377,582,"MINEP715"
86.50262,603,"MINEP914"
82.21648,558,"MINEP915"
53.15679,328,"MOTEF514"
40.75108,224,"MOTEF515"
41.45127,255,"MOTEF714"
40.76459,230,"MOTEF715"
48.78838,301,"MOTEF914"
52.26269,317,"MOTEF915"
58.25566,381,"MOTEJ515"
47.2569,273,"MOTEJ715"
56.43026,343,"MOTEJ915"
38.70181,218,"MOTEK515"
36.85186,194,"MOTEK715"
53.0878,316,"MOTEK915"
74.93604,542,"MOTEP514"
55.77386,358,"MOTEP515"
56.74286,368,"MOTEP714"
52.41138,303,"MOTEP715"
57.3864,370,"MOTEP914"
60.28707,379,"MOTEP915"
