norep_filter_name,richness,shannon,simpson,phylo_shannon,phylo_simpson,phylo_richness,unweighted_sesmpd,weighted_sesmpd
MBREJ515,1150,307.292,76.21,15.7648237156104,5.9369843776502,135.63584,-1.36369616178009,-0.350942582865807
MBREJ715,919,79.194,17.225,6.93198759927252,3.11486493632333,110.12795,0.338402535585255,-0.422762943407238
MBREJ915,637,57.442,13.376,7.00706436186134,3.62720186100901,88.39908,-1.21418543741695,-0.411006997914343
MBREK515,467,47.179,21.719,5.28585006826128,2.53045848059013,67.59484,-0.0926644817870169,-0.543790788909639
MBREK715,396,32.804,12.197,3.91137453759784,1.59128202316088,59.16371,0.37258573823994,-0.451819512161074
MBREK915,552,59.696,23.464,6.68693419251226,2.67145469534004,81.32068,0.734707990778733,-0.467907695277647
MDPEJ515,604,106.748,37.689,9.36125133681795,4.60113077544328,79.24897,-1.11180390542179,-0.18985443301601
MDPEJ715,641,61.373,15.585,6.90936175688182,3.38638147165481,82.03616,-0.411440772026435,-0.307581123893028
MDPEJ915,789,71.679,18.175,8.09092666992857,4.10901277857201,101.73519,-1.10663871667381,-0.408385692307417
MDPEK515,439,48.116,23.895,5.85955025710181,3.06318831912456,65.93233,-0.00827027064114204,-0.409256417158559
MDPEK715,381,47.777,18.906,5.72739152735774,2.42151858620844,54.26962,1.00044180594934,-0.0662528636300677
MDPEK915,632,69.024,24.607,7.69432618100345,3.0721543457236,88.07153,0.325822955059125,-0.402859252580369
MINEJ515,1394,226.13,80.219,10.5011550587338,4.34794658740125,154.09669,-0.855878075091146,-0.682361761694677
MINEJ715,883,127.914,44.984,8.58264814953505,3.90809648837501,106.69055,-1.10535101815084,-0.748725927248606
MINEJ915,727,142.481,54.133,10.0353907358453,4.69950000063318,91.22937,-1.23967476258586,-0.376481222345816
MINEK515,710,73.807,30.965,7.09990495510717,3.33454432827976,96.83345,0.581896307174923,-0.769753594577766
MINEK715,607,50.183,19.146,5.20018542164943,2.36433012022234,87.0123,0.191735640272165,-0.680572455948016
MINEK915,767,101.572,43.426,8.43755945102424,3.79106842489584,107.88827,0.207732197145004,-0.529981346317678
MOTEJ515,705,109.765,39.736,9.99294807791547,4.77798630514688,91.61303,0.696012866031596,-0.0340203501283579
MOTEJ715,468,42.217,12.628,5.32005859831786,2.47681796905749,69.52549,1.4941670205181,-0.559934703616436
MOTEJ915,667,74.675,18.895,8.92316728422709,4.49306869920748,90.62904,0.315872767520577,0.1409559708195
MOTEK515,441,59.912,30.606,7.52484980725199,4.05405895890893,63.48586,0.608202667652548,-0.000645997071667346
MOTEK715,326,40.154,15.341,4.9843640925793,2.00453433470267,50.27284,0.397515791528057,-0.254907484286595
MOTEK915,569,71.268,25.974,8.03815562725819,3.06116333794281,79.17955,0.609280896847573,-0.0717159763443771
