Name,Sample,Plate,Location,dna_concentration_ng_per_ul,sequencing_run
Edna,MINE2_F_514,1,A1,4.31,February_2015
Edna,MINH2_P_514,1,B1,3.07,February_2015
Edna,MINH2_F_514,1,C1,6.1,February_2015
Edna,MOTE2_F_514,1,D1,9.18,February_2015
Edna,MOTH2_P_514,1,E1,3.08,February_2015
Edna,MOTH2_F_514,1,F1,3.41,February_2015
Edna,MDPE2_F_514,1,G1,6.42,February_2015
Edna,MDPH2_P_514,1,H1,0.39,February_2015
Edna,MDPH2_F_514,1,A2,9.2,February_2015
Edna,MINE1_P_714,1,B2,9.15,February_2015
Edna,MINE1_F_714,1,C2,10.72,February_2015
Edna,MINE2_P_714,1,D2,8.64,February_2015
Edna,MINE2_F_714,1,E2,15.86,February_2015
Edna,MINH1_P_714,1,F2,5.44,February_2015
Edna,MINH1_F_714,1,G2,6.57,February_2015
Edna,MINH2_P_714,1,H2,1.33,February_2015
Edna,MINH2_F_714,1,A3,29.12,February_2015
Edna,MBRE1_P_714,1,B3,2.08,February_2015
Edna,MBRE1_F_714,1,C3,8.69,February_2015
Edna,MBRE2_P_714,1,D3,8.36,February_2015
Edna,MBRE2_F_714,1,E3,6.05,February_2015
Edna,MBRH1_P_714,1,F3,0.47,February_2015
Edna,MBRH1_F_714,1,G3,1.56,February_2015
Edna,MBRH2_P_714,1,H3,3.34,February_2015
Edna,MBRH2_F_714,1,A4,3.57,February_2015
Edna,MOTE1_P_714,1,B4,3.44,February_2015
Edna,MOTE1_F_714,1,C4,23.66,February_2015
Edna,MOTE2_P_714,1,D4,4.59,February_2015
Edna,MOTE2_F_714,1,E4,13.42,February_2015
Edna,MOTH1_P_714,1,F4,1.19,February_2015
Edna,MOTH1_F_714,1,G4,4.39,February_2015
Edna,MOTH2_P_714,1,H4,2.9,February_2015
Edna,MOTH2_F_714,1,A5,19.99,February_2015
Edna,MDPE1_P_714,1,B5,3.01,February_2015
Edna,MDPE1_F_714,1,C5,12.48,February_2015
Edna,MDPE2_P_714,1,D5,2.33,February_2015
Edna,MDPE2_F_714,1,E5,19.43,February_2015
Edna,MDPH1_P_714,1,F5,2.91,February_2015
Edna,MDPH1_F_714,1,G5,6.31,February_2015
Edna,MDPH2_P_714,1,H5,1.97,February_2015
Edna,MDPH2_F_714,1,A6,2.82,February_2015
Edna,MINE1_P_914,1,B6,1.57,February_2015
Edna,MINE1_F_914,1,C6,2.5,February_2015
Edna,MINE2_P_914,1,D6,2.93,February_2015
Edna,MINE2_F_914,1,E6,6.3,February_2015
Edna,MINH1_P_914,1,F6,4.95,February_2015
Edna,MINH1_F_914,1,G6,7.91,February_2015
Edna,MINH2_P_914,1,H6,2.68,February_2015
Edna,MINH2_F_914,1,A7,8.71,February_2015
Edna,MBRE1_P_914,1,B7,4.81,February_2015
Edna,MBRE1_F_914,1,C7,25.49,February_2015
Edna,MBRE2_P_914,1,D7,3.91,February_2015
Edna,MBRE2_F_914,1,E7,7.48,February_2015
Edna,MBRH1_P_914,1,F7,1.4,February_2015
Edna,MBRH1_F_914,1,G7,4.03,February_2015
Edna,MBRH2_P_914,1,H7,1.52,February_2015
Edna,MBRH2_F_914,1,A8,5.3,February_2015
Edna,MOTE1_P_914,1,B8,3.03,February_2015
Edna,MOTE1_F_914,1,C8,10.01,February_2015
Edna,MOTE2_P_914,1,D8,2.15,February_2015
Edna,MOTE2_F_914,1,E8,12.95,February_2015
Edna,MOTH1_P_914,1,F8,1.24,February_2015
Edna,MOTH1_F_914,1,G8,7.75,February_2015
Edna,MOTH2_P_914,1,H8,1.18,February_2015
Edna,MOTH2_F_914,1,A9,5.33,February_2015
Edna,MDPE1_P_914,1,B9,3.65,February_2015
Edna,MDPE1_F_914,1,C9,9.1,February_2015
Edna,MDPE2_P_914,1,D9,4.88,February_2015
Edna,MDPE2_F_914,1,E9,11.32,February_2015
Edna,MDPH1_P_914,1,F9,0.44,February_2015
Edna,MDPH1_F_914,1,G9,10.83,February_2015
Edna,MDPH2_P_914,1,H9,0.42,February_2015
Edna,MDPH2_F_914,1,A10,11.22,February_2015
Edna,Mus_Control,1,B10,0,February_2015
Edna,MIN2_S_514,1,C10,4.43,February_2015
Edna,MOT2_S_514,1,D10,0.53,February_2015
Edna,MDP2_S_514,1,E10,7.23,February_2015
Edna,MIN1_S_714,1,F10,6.27,February_2015
Edna,MIN2_S_714,1,G10,3.61,February_2015
Edna,MBR1_S_714,1,H10,24.49,February_2015
Edna,MBR2_S_714,1,A11,1.01,February_2015
Edna,MOT1_S_714,1,B11,2.05,February_2015
Edna,MOT2_S_714,1,C11,1.3,February_2015
Edna,MDP1_S_714,1,D11,19.84,February_2015
Edna,MDP2_S_714,1,E11,21.64,February_2015
Edna,MIN1_S_914,1,F11,4.35,February_2015
Edna,MIN2_S_914,1,G11,4.07,February_2015
Edna,MBR1_S_914,1,A12,23.49,February_2015
Edna,MBR2_S_914,1,B12,25.82,February_2015
Edna,MOT1_S_914,1,C12,0.39,February_2015
Edna,MOT2_S_914,1,D12,2.22,February_2015
Edna,MDP1_S_914,1,E12,16.48,February_2015
Edna,MDP2_S_914,1,F12,12.58,February_2015
Edna,Sed_Control,1,G12,0.63,February_2015
Edna,MINE2_N_514,2,A1,0.41,February_2015
Edna,MINH1_N_514,2,B1,0.42,February_2015
Edna,MOTE2_N_514,2,C1,0.39,February_2015
Edna,MOTH2_N_514,2,D1,0.44,February_2015
Edna,MDPE2_N_514,2,E1,0.81,February_2015
Edna,MDPH2_N_514,2,F1,1.78,February_2015
