extractor_Name,extraction_Date,extraction,dna_concentration_ng_per_ul,picogreen_Name,picogreen_date,year,month,date,sample_ID,sequencing_ID,plate_Map,replicate_ID,lake,lakesite,replicate,limnion,prefilter_um,fraction,project
Marian,2/1/16,DNA_only,2.6829,Edna,2/24/16,2015,September,9/30/15,MOTH1_F915,MOTH1F915,yes_plateC,MOTH_F915,Muskegon,Outlet,H1,Hypolimnion,3,Free,GVSU
Marian,2/1/16,DNA_only,1.2891,Edna,2/24/16,2015,September,9/30/15,MOTE1_P915,MOTE1P915,yes_plateC,MOTE_P915,Muskegon,Outlet,E1,Epilimnion,20,Particle,GVSU
Marian,2/1/16,DNA_only,1.9181,Edna,2/24/16,2015,May,5/12/15,MINE3_J515,MINE3J515,yes_plateC,MINE_J515,Muskegon,Inlet,E3,Epilimnion,0,WholePart,GVSU
Marian,2/1/16,DNA_only,2.3659,Edna,2/24/16,2015,July,7/21/15,MINE2_F715,MINE2F715,yes_plateC,MINE_F715,Muskegon,Inlet,E2,Epilimnion,3,Free,GVSU
Marian,2/1/16,DNA_only,2.4013,Edna,2/24/16,2015,May,5/12/15,MINH2_F515,MINH2F515,yes_plateC,MINH_F515,Muskegon,Inlet,H2,Hypolimnion,3,Free,GVSU
Marian,2/1/16,DNA_only,1.3853,Edna,2/24/16,2015,July,7/21/15,MINH3_J715,MINH3J715,yes_plateC,MINH_J715,Muskegon,Inlet,H3,Hypolimnion,0,WholePart,GVSU
Marian,2/1/16,DNA_only,0.0984,Edna,2/24/16,2015,July,7/21/15,MOTH2_P715,MOTH2P715,not_sequenced,MOTH_P715,Muskegon,Outlet,H2,Hypolimnion,20,Particle,GVSU
Marian,2/1/16,DNA_only,1.7454,Edna,2/24/16,2015,July,7/21/15,MBRE3_J715,MBRE3J715,yes_plateC,MBRE_J715,Muskegon,Bear,E3,Epilimnion,0,WholePart,GVSU
Marian,2/1/16,DNA_only,0.4529,Edna,2/24/16,2015,July,7/21/15,MBRE1_P715,MBRE1P715,not_sequenced,MBRE_P715,Muskegon,Bear,E1,Epilimnion,20,Particle,GVSU
Marian,2/1/16,DNA_only,0.242,Edna,2/24/16,2015,May,5/12/15,MBRH3_J515,MBRH3J515,not_sequenced,MBRH_J515,Muskegon,Bear,H3,Hypolimnion,0,WholePart,GVSU
Marian,2/1/16,DNA_only,0.7741,Edna,2/24/16,2015,May,5/12/15,MDPE2_P515,MDPE2P515,not_sequenced,MDPE_P515,Muskegon,Deep,E2,Epilimnion,20,Particle,GVSU
Marian,2/1/16,DNA_only,0.4387,Edna,2/24/16,2015,May,5/12/15,MDPH1_P515,MDPH1P515,not_sequenced,MDPH_P515,Muskegon,Deep,H1,Hypolimnion,20,Particle,GVSU
Marian,2/1/16,DNA_only,1.7376,Edna,2/24/16,2015,September,9/30/15,MDPH2_P915,MDPH2P915,yes_plateC,MDPH_P915,Muskegon,Deep,H2,Hypolimnion,20,Particle,GVSU
Marian,2/1/16,DNA_only,3.7993,Edna,2/24/16,2015,September,9/30/15,MDPH3_K915,MDPH3K915,yes_plateC,MDPH_K915,Muskegon,Deep,H3,Hypolimnion,3,WholeFree,GVSU
Marian,2/1/16,DNA_only,1.1483,Edna,2/24/16,2015,September,9/30/15,MINE1_F915,MINE1F915,yes_plateC,MINE_F915,Muskegon,Inlet,E1,Epilimnion,3,Free,GVSU
Marian,2/1/16,DNA_only,2.0284,Edna,2/24/16,2015,July,7/21/15,MINH1_F715,MINH1F715,yes_plateC,MINH_F715,Muskegon,Inlet,H1,Hypolimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,2.5357,Edna,2/24/16,2015,May,5/12/15,MBRE2_F515,MBRE2F515,yes_plateC,MBRE_F515,Muskegon,Bear,E2,Epilimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,5.1364,Edna,2/24/16,2015,May,5/12/15,MBRH1_F515,MBRH1F515,yes_plateC,MBRH_F515,Muskegon,Bear,H1,Hypolimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,1.6641,Edna,2/24/16,2015,September,9/30/15,MINH1_F915,MINH1F915,yes_plateC,MINH_F915,Muskegon,Inlet,H1,Hypolimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,3.1455,Edna,2/24/16,2015,July,7/21/15,MDPE1_F715,MDPE1F715,yes_plateC,MDPE_F715,Muskegon,Deep,E1,Epilimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,1.1207,Edna,2/24/16,2015,May,5/12/15,MDPH1_F515,MDPH1F515,yes_plateC,MDPH_F515,Muskegon,Deep,H1,Hypolimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,2.8265,Edna,2/24/16,2015,September,9/30/15,MDPH2_F915,MDPH2F915,yes_plateC,MDPH_F915,Muskegon,Deep,H2,Hypolimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,3.0373,Edna,2/24/16,2015,July,7/21/15,MOTH3_K715,MOTH3K715,yes_plateC,MOTH_K715,Muskegon,Outlet,H3,Hypolimnion,3,WholeFree,GVSU
Marian,2/3/16,DNA_only,0.4118,Edna,2/24/16,2015,July,7/21/15,MOTH3_J715,MOTH3J715,not_sequenced,MOTH_J715,Muskegon,Outlet,H3,Hypolimnion,0,WholePart,GVSU
Marian,2/3/16,DNA_only,1.7496,Edna,2/24/16,2015,September,9/30/15,MOTH2_F915,MOTH2F915,yes_plateC,MOTH_F915,Muskegon,Outlet,H2,Hypolimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,4.1332,Edna,2/24/16,2015,May,5/12/15,MOTE3_K515,MOTE3K515,yes_plateC,MOTE_K515,Muskegon,Outlet,E3,Epilimnion,3,WholeFree,GVSU
Marian,2/3/16,DNA_only,5.0663,Edna,2/24/16,2015,July,7/21/15,MOTE3_J715,MOTE3J715,yes_plateC,MOTE_J715,Muskegon,Outlet,E3,Epilimnion,0,WholePart,GVSU
