Sample_ID,TotalDepth_ft,PullTime_military,VolumeFiltered_L,ProcessStart_military,ProcessEnd_military,ProcessTotal_min,StorageTime_military,GPS_N_degrees,GPS_N_minutes,GPS_W_degrees,GPS_W_minutes,team_members,extractor_name,Notes1,Notes2,Notes3
MBRH3_J915,52,10:35,1.63,10:40,10:56,16,11:00,43,14.323,86,17.957,Marian and Dan,,,,
MBRH3_K915,52,10:35,1.63,10:40,10:56,16,11:00,43,14.323,86,17.957,Marian and Dan,,"Mud/Black, no mussels",,
MINH3_J915,27,9:14,1.51,9:22,9:36,14,9:50,43,15.004,86,15.362,Marian and Dan,,,,
MINH3_K915,27,9:14,1.51,9:22,9:36,14,9:50,43,15.004,86,15.362,Marian and Dan,,,,
MINE3_J715,26.4,9:30,1.03,9:33,9:46,13,9:54,43,15.017,86,15.36,Marian and Edna,,,,
MINE3_K715,26.4,9:30,1.03,9:33,9:46,13,9:54,43,15.017,86,15.36,Marian and Edna,,,,
MDPH1_P915,79.5,12:36,1.89,12:43,12:55,12,13:05,,,,,Marian and Dan,,,,
MDPH1_F915,79.5,12:36,1.89,12:43,12:55,12,13:05,,,,,Marian and Dan,,,,
MOTH3_J915,35,11:42,1.61,11:48,12:00,12,12:05,43,14.03,86,19.414,Marian and Dan,,,,
MOTH3_K915,35,11:42,1.61,11:48,12:00,12,12:05,43,14.03,86,19.414,Marian and Dan,,,,
MINH1_P915,27,9:14,1.26,9:23,9:35,12,9:55,43,15.004,86,15.362,Marian and Dan,,"Sunny, Windy, some difficulty keeping boat in the same spot",,
MINH1_F915,27,9:14,1.26,9:23,9:35,12,9:55,43,15.004,86,15.362,Marian and Dan,,,,
MOTE2_P915,35,11:42,1.12,11:59,12:11,12,,43,14.03,86,19.414,Marian and Dan,,,,
MOTE2_F915,35,11:42,1.12,11:59,12:11,12,,43,14.03,86,19.414,Marian and Dan,,,,
MINE1_P915,27,9:14,0.96,9:23,9:35,12,9:50,43,15.004,86,15.362,Marian and Dan,,,,
MINE1_F915,27,9:14,0.96,9:23,9:35,12,9:50,43,15.004,86,15.362,Marian and Dan,,MINE1_F915 Broke in LN2,,
MINH2_P915,27,9:30,0.835,9:46,9:58,12,10:04,43,15.004,86,15.362,Marian and Dan,,,,
MINH2_F915,27,9:30,0.835,9:46,9:58,12,10:04,43,15.004,86,15.362,Marian and Dan,,,,
MDPE3_J515,79.3,13:14,1.91,13:28,13:39,11,13:41,,,,,Marian and Amelia,,,See E1,
MDPE3_K515,79.3,13:14,1.91,13:28,13:39,11,13:41,,,,,Marian and Amelia,,,See E1,
MBRE2_P915,53,10:46,1.71,10:55,11:06,11,11:20,43,14.323,86,17.957,Marian and Dan,,,,
MBRE2_F915,52,10:46,1.71,10:55,11:06,11,11:20,43,14.323,86,17.957,Marian and Dan,,MBRE2_F915 Broke in LN2,,
MOTE1_P915,35,11:42,1.55,11:46,11:57,11,12:05,43,14.03,86,19.414,Marian and Dan,,,,
MOTE1_F915,35,11:42,1.55,11:46,11:57,11,12:05,43,14.03,86,19.414,Marian and Dan,,,,
MINE2_P715,26.4,9:21,1.45,9:42,9:53,11,10:00,43,15.037,86,15.352,Marian and Edna,,,,Water Temp: 24.8 degrees Celcius
MINE2_F715,26.4,9:21,1.45,9:42,9:53,11,10:00,43,15.037,86,15.352,Marian and Edna,,,,Water Temp: 24.8 degrees Celcius
MDPE1_P915,79.5,12:36,1.33,12:43,12:54,11,13:17,,,,,Marian and Dan,,,,
MDPE1_F915,79.5,12:36,1.33,12:43,12:54,11,13:17,,,,,Marian and Dan,,,,
MBRH1_P915,52,10:35,1.25,10:39,10:50,11,11:22,43,14.323,86,17.957,Marian and Dan,,"MBRH1_P915 Broke in LN2, water 15C","Containers for P and F switched and Vials were re-labeled, 50 mL falcon tube taken from rep 2, not rep1",
MBRH1_F915,52,10:35,1.25,10:39,10:50,11,11:22,43,14.323,86,17.957,Marian and Dan,,,"50 mL falcon tube taken from rep 2, not rep1",
MINE2_P515,26.7,,1.15,9:33,9:44,11,9:55,,,,,Marian and Amelia,,Preloaded Night before,,Water Temp: 15 degrees Celcius
MINE2_F515,26.7,,1.15,9:33,9:44,11,9:55,,,,,Marian and Amelia,,,,
MINE3_J515,26.7,9:15,1.08,9:24,9:35,11,9:40,,,,,Marian and Amelia,,,,
MINE3_K515,26.7,9:15,1.08,9:24,9:35,11,9:40,,,,,Marian and Amelia,,,,
MOTH2_P915,35,11:53,1.04,12:05,12:16,11,12:25,43,14.03,86,19.414,Marian and Dan,,,,
MOTH2_F915,35,11:53,1.04,12:05,12:16,11,12:25,43,14.03,86,19.414,Marian and Dan,,,,
MDPH2_P715,79.7,13:15,2.19,13:28,13:38,10,13:45,,,,,Marian and Edna,,,,
MDPH2_F715,79.7,13:15,2.19,13:28,13:38,10,13:45,,,,,Marian and Edna,,,,
MDPE3_J715,79.7,13:06,2.19,13:08,13:18,10,13:19,43,13.435,86,17.832,Marian and Edna,,FISH filtered 12:15,,
MDPE3_K715,79.7,13:06,2.19,13:08,13:18,10,13:19,43,13.435,86,17.832,Marian and Edna,,FISH filtered 12:15,,
MOTE3_J515,36.6,11:55,2.08,12:01,12:11,10,12:14,,,,,Marian and Amelia,,,,Water Temp: 15.8 degrees Celcius
MOTE3_K515,36.6,11:55,2.08,12:01,12:11,10,12:14,,,,,Marian and Amelia,,,,Water Temp: 15.8 degrees Celcius
MDPE2_P515,79.3,13:14,1.94,13:32,13:42,10,,,,,,Marian and Amelia,,,See E1,
MDPE2_F515,79.3,13:14,1.94,13:32,13:42,10,,,,,,Marian and Amelia,,,See E1,
MBRE1_P915,52,10:35,1.64,10:42,10:52,10,11:00,43,14.323,86,17.957,Marian and Dan,,,,
MBRE1_F915,53,10:35,1.64,10:42,10:52,10,11:00,43,14.323,86,17.957,Marian and Dan,,,,
MINH1_P515,26.7,8:54,1.58,9:10,9:20,10,9:30,,,,,Marian and Amelia,,,,Water Temp: 14 degrees Celcius
MINH1_F515,26.7,8:54,1.58,9:10,9:20,10,9:30,,,,,Marian and Amelia,,,,
MINE1_P515,26.7,9:15,1.565,9:20,9:30,10,9:40,,,,,Marian and Amelia,,Pre-loaded filters night before,"Weather: overcast, windy cold",
MINE1_F515,26.7,9:15,1.565,9:20,9:30,10,9:40,,,,,Marian and Amelia,,Fresh Filters,"Weather: overcast, windy",Water Temp: 15 degrees Celcius
MDPH3_J515,79.3,13:07,1.5,13:12,13:22,10,13:25,,,,,Marian and Amelia,,"H1 + H2 ~ 70 - 76 ft. = Sample depth, Whole 73 ft.",See E1,
