,names,limnion,fraction,month,year,season,station,total_bac_abund,SE_total_bac_abund,attached_bac,SE_attached_bac,perc_attached_abund,SE_perc_attached_abund,tot_bacprod,SD_tot_bacprod,frac_bacprod,SD_frac_bacprod,perc_attached_bacprod,SD_perc_attached_bacprod
MBRHF914,MBRHF914,Deep,Free,September,2014,Fall,Bear,,,,,,,,,,,,
MBREF914,MBREF914,Surface,Free,September,2014,Fall,Bear,611341.5,23884.19103,27373.5,8558.076926,4.191692366,1.294744188,24.71837257,0.356741557,,,,
MBRHN914,MBRHN914,Deep,Nano,September,2014,Fall,Bear,,,,,,,,,,,,
MBREN914,MBREN914,Surface,Nano,September,2014,Fall,Bear,,,,,,,,,,,,
MBRHP914,MBRHP914,Deep,Particle,September,2014,Fall,Bear,,,,,,,,,,,,
MBREP914,MBREP914,Surface,Particle,September,2014,Fall,Bear,611341.5,23884.19103,27373.5,8558.076926,4.191692366,1.294744188,24.71837257,0.356741557,,,,
MBRHF714,MBRHF714,Deep,Free,July,2014,Summer,Bear,,,,,,,,,,,,
MBREF714,MBREF714,Surface,Free,July,2014,Summer,Bear,1020640.5,51389.37216,70389,20466.45751,6.279061436,1.772897995,33.86144,1.299,,,,
MBRHN714,MBRHN714,Deep,Nano,July,2014,Summer,Bear,,,,,,,,,,,,
MBREN714,MBREN714,Surface,Nano,July,2014,Summer,Bear,,,,,,,,,,,,
MBRHP714,MBRHP714,Deep,Particle,July,2014,Summer,Bear,,,,,,,,,,,,
MBREP714,MBREP714,Surface,Particle,July,2014,Summer,Bear,1020640.5,51389.37216,70389,20466.45751,6.279061436,1.772897995,33.86144,1.299,,,,
MOTHF914,MOTHF914,Deep,Free,September,2014,Fall,Channel,,,,,,,,,,,,
MOTEF914,MOTEF914,Surface,Free,September,2014,Fall,Channel,651750,24441.1967,70389,24739.40415,9.292794668,3.12871644,22.63318857,1.711871875,,,,
MOTHN914,MOTHN914,Deep,Nano,September,2014,Fall,Channel,,,,,,,,,,,,
MOTEN914,MOTEN914,Surface,Nano,September,2014,Fall,Channel,,,,,,,,,,,,
MOTHP914,MOTHP914,Deep,Particle,September,2014,Fall,Channel,,,,,,,,,,,,
MOTEP914,MOTEP914,Surface,Particle,September,2014,Fall,Channel,651750,24441.1967,70389,24739.40415,9.292794668,3.12871644,22.63318857,1.711871875,,,,
MOTHF514,MOTHF514,Deep,Free,May,2014,Spring,Channel,,,,,,,,,,,,
MOTEF514,MOTEF514,Surface,Free,May,2014,Spring,Channel,774279,22624.76347,165544.5,25394.05073,21.14601398,2.991477369,35.78144,8.604908882,,,,
MOTHN514,MOTHN514,Deep,Nano,May,2014,Spring,Channel,,,,,,,,,,,,
MOTEN514,MOTEN514,Surface,Nano,May,2014,Spring,Channel,,,,,,,,,,,,
MOTHP514,MOTHP514,Deep,Particle,May,2014,Spring,Channel,,,,,,,,,,,,
MOTHF714,MOTHF714,Deep,Free,July,2014,Summer,Channel,,,,,,,,,,,,
MOTEF714,MOTEF714,Surface,Free,July,2014,Summer,Channel,599610,48772.50404,83424,21696.62463,12.92430171,3.25332643,62.50752,3.272221364,,,,
MOTHN714,MOTHN714,Deep,Nano,July,2014,Summer,Channel,,,,,,,,,,,,
MOTEN714,MOTEN714,Surface,Nano,July,2014,Summer,Channel,,,,,,,,,,,,
MOTHP714,MOTHP714,Deep,Particle,July,2014,Summer,Channel,,,,,,,,,,,,
