"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"MBREF515",1014,1.22849530071594,1.19202530457721,0.0121744927887799,999,2.99560702621976,0.999,999
"MBREF714",750,1.15216022672007,1.194150596338,0.0140990494886678,3,-2.97824116807884,0.003,999
"MBREF715",684,1.17765177489233,1.19360412375567,0.015052054726666,154,-1.05981204247661,0.154,999
"MBREF914",839,1.14007752865242,1.19441332709772,0.0135384769613273,1,-4.01343508583103,0.001,999
"MBREF915",1107,1.18755441838963,1.19480324933146,0.0116850734126634,256,-0.620349627753887,0.256,999
"MBREJ515",1558,1.09897353733151,1.19507818971143,0.0100219617859905,1,-9.58940519153297,0.001,999
"MBREJ715",1148,1.15269556871584,1.19681501553664,0.0117629424241582,1,-3.75071518926937,0.001,999
"MBREJ915",749,1.10783012358724,1.19635562609653,0.0143713926602509,1,-6.15984161048868,0.001,999
"MBREK515",694,1.20789421219191,1.1918205664422,0.0155615787835661,840,1.03290584928816,0.84,999
"MBREK715",460,1.18691482352941,1.1937962302583,0.0180253020025042,352,-0.381763741208259,0.352,999
"MBREK915",673,1.16215654416967,1.19458406122398,0.0146739924917807,15,-2.20986327153097,0.015,999
"MBREP515",1069,1.12985853319459,1.19511342414665,0.0119470648655609,1,-5.46200189639612,0.001,999
"MBREP714",1417,1.10964707103812,1.19611894465897,0.0104161214159154,1,-8.3017344141862,0.001,999
"MBREP715",989,1.14090981844828,1.19706469102261,0.0121914088103918,1,-4.60610200573968,0.001,999
"MBREP914",1263,1.12324717816484,1.1970744626741,0.0106874168367999,1,-6.9078698470013,0.001,999
"MBREP915",1848,1.11353126283525,1.19537745402159,0.00922748581252121,1,-8.86982574118659,0.001,999
"MDPEF514",2903,1.20572957865067,1.19250770461764,0.00683149362004954,979,1.9354294636561,0.979,999
"MDPEF515",555,1.18579124675578,1.19288591374397,0.0170833826534036,329,-0.415296380824009,0.329,999
"MDPEF714",789,1.13360227609324,1.19434306834238,0.0139606582801237,1,-4.3508544533051,0.001,999
"MDPEF715",690,1.18268279956248,1.19203211530106,0.0154335356055046,276,-0.605779257426859,0.276,999
"MDPEF914",860,1.14520044824972,1.19354210292739,0.013730861974105,2,-3.52065695284315,0.002,999
"MDPEF915",997,1.16348633365961,1.19396603530887,0.0122274456810779,8,-2.49272844421028,0.008,999
"MDPEJ515",742,1.09916026761388,1.19566325607564,0.0142846504696004,1,-6.75571227081344,0.001,999
"MDPEJ715",734,1.14868768834732,1.19639054939074,0.0146958295556682,2,-3.24601349401358,0.002,999
"MDPEJ915",964,1.0991088784185,1.19484892461605,0.0125362865861776,1,-7.63703394457456,0.001,999
"MDPEK515",572,1.18804382153748,1.1932995885079,0.0165104378014627,357,-0.318329957910088,0.357,999
"MDPEK715",434,1.1903389280659,1.19323882642958,0.0191631866784577,427,-0.151326520601307,0.427,999
"MDPEK915",774,1.14921125017132,1.19356665247736,0.0139314107650926,2,-3.1838413965356,0.002,999
"MDPEP514",1997,1.15221763038345,1.19589172838669,0.00841689574492871,1,-5.18886051660482,0.001,999
"MDPEP515",1414,1.12148676140226,1.19569614375534,0.00999954381888506,1,-7.42127677993962,0.001,999
"MDPEP714",1077,1.14187310258773,1.19522142747653,0.0119362769333284,1,-4.46942754317635,0.001,999
"MDPEP715",1311,1.15515900294047,1.19528450577056,0.0110765919210468,1,-3.62254952751679,0.001,999
"MDPEP914",1214,1.12059928164272,1.19606232631876,0.0107632750336301,1,-7.01116011996864,0.001,999
"MDPEP915",1348,1.12577894377879,1.19557940462134,0.0110700601752087,1,-6.30533707475804,0.001,999
"MINEF514",4353,1.19118083305884,1.19332416587233,0.00545420222313163,331,-0.392969077017326,0.331,999
"MINEF515",1562,1.20451645214951,1.1940911019844,0.00960280024018536,881,1.08565729832399,0.881,999
"MINEF714",950,1.13580631523487,1.19414021233854,0.0128506078443449,1,-4.53938816048618,0.001,999
"MINEF715",2026,1.17906434708786,1.19428291586927,0.0084783519341249,45,-1.79499139687229,0.045,999
"MINEF914",2029,1.13205796881121,1.19382745755978,0.00858428639391438,1,-7.19564631398528,0.001,999
"MINEF915",2128,1.20750831130188,1.19415140261567,0.00817586211792951,942,1.63370033564008,0.942,999
"MINEJ515",2185,1.15367456508328,1.19701110129441,0.00776795831691239,1,-5.5788837224811,0.001,999
"MINEJ715",1260,1.11203600139945,1.19655946896597,0.0102745284967528,1,-8.22650573145396,0.001,999
"MINEJ915",979,1.11413809922483,1.1965420759112,0.0124312843634428,1,-6.62875808140144,0.001,999
"MINEK515",1209,1.23119604516896,1.19350004415916,0.0113617003650102,1000,3.31781333768414,1,999
"MINEK715",929,1.19284259497606,1.19444752340097,0.0128422995371517,455,-0.124972044162735,0.455,999
"MINEK915",1234,1.17555674684954,1.19385691702611,0.0115024147954628,59,-1.59098506722228,0.059,999
"MINEP514",632,1.10848339224458,1.19522267431105,0.0155519904612847,1,-5.57737495289783,0.001,999
"MINEP515",975,1.13140411806455,1.19521453653803,0.0125784749219207,1,-5.07298530780386,0.001,999
"MINEP714",1578,1.13646323635949,1.19737650209471,0.00927951578898131,1,-6.56427200733411,0.001,999
"MINEP715",1579,1.14939824590976,1.19653182858278,0.00986195431629451,1,-4.77933492301281,0.001,999
"MINEP914",2472,1.12108459464415,1.19739903375094,0.0078268196652508,1,-9.75037657320852,0.001,999
"MINEP915",2550,1.12790246170509,1.19603055324382,0.00759967318810523,1,-8.96460806306254,0.001,999
"MOTEF514",1820,1.20406534157157,1.19241212930504,0.00902908605672021,901,1.29063032441137,0.901,999
"MOTEF515",850,1.20763677550059,1.19191512755194,0.0138059062303613,865,1.13876247501045,0.865,999
"MOTEF714",564,1.11788453157477,1.19418300319631,0.0172772152926608,1,-4.41613248021233,0.001,999
"MOTEF715",646,1.18536757405141,1.19263778708442,0.0157611627287626,311,-0.461273902067075,0.311,999
"MOTEF914",874,1.13321197506691,1.19313284234177,0.0139571248500624,1,-4.29320994965463,0.001,999
"MOTEF915",971,1.17592589321244,1.19370508180152,0.0129982670199915,86,-1.36781222925601,0.086,999
"MOTEJ515",851,1.15258563870879,1.19509623567484,0.0132653308610952,1,-3.20463902568235,0.001,999
"MOTEJ715",544,1.21002047042574,1.19509971248555,0.0170578602455447,794,0.87471451433013,0.794,999
"MOTEJ915",808,1.1312929931785,1.19472045549159,0.0139318941027754,1,-4.55268047870513,0.001,999
"MOTEK515",571,1.20602615368544,1.19366541979224,0.0161458551430578,775,0.765567000550972,0.775,999
"MOTEK715",374,1.18688796734097,1.19294248456626,0.0212326947765922,391,-0.285150673948442,0.391,999
"MOTEK915",667,1.15949921336629,1.19385488601477,0.0148480126382747,14,-2.31382296644361,0.014,999
"MOTEP514",1934,1.16059052621133,1.19519706301171,0.00898904171032681,1,-3.84985829586543,0.001,999
"MOTEP515",1076,1.1731090599464,1.19542036796587,0.0121680343860284,36,-1.83360001390962,0.036,999
"MOTEP714",945,1.1364788632858,1.19416496635857,0.0130067968740661,1,-4.43507372578256,0.001,999
"MOTEP715",621,1.16825722923484,1.19477922762729,0.0159658254727124,58,-1.66117301218025,0.058,999
"MOTEP914",1119,1.11630656352065,1.19499575999016,0.0119366584792531,1,-6.59222986116917,0.001,999
"MOTEP915",1239,1.14104784988676,1.19607443453258,0.0106588623794337,1,-5.16251947787603,0.001,999
