samples	represented_reads	min_substantive_abundance_reason	maximum_variation_allowed_reason
MOTE3J915	8847	2581	820
MLBS2W715R	5627	1170	171
110S2P115	4341	1252	245
MOTH3K715	12865	1239	445
MLBS2W715D	16533	1450	604
M45D2P115	2064	876	279
MOTB1S515	197	2835	887
MOTB1S514	3831	21408	7928
MBRH1P515	6304	3437	1061
110S2W915D	5299	748	280
MOTH3K915	5298	742	255
M15S2W415D	5135	427	142
M45D2W515R	5056	610	225
M15S2W415R	13468	2408	930
110S2W915R	4955	1031	483
110S2F815D	11585	938	397
110B1S715	530	2264	712
MINH2P715	15206	4060	933
MINH2P714	18958	6687	1616
Blank1	7	31	12
110S2W815D	7782	448	214
MBRE1F714	25963	1998	500
MBRE1F715	12569	863	303
MLBS2P115	8186	1383	402
MLBB2S915	648	2825	990
Blank3	0	1	0
MBRE2P715	154	71	23
MBRE2P714	18327	3254	717
Blank4	9	33	9
110S2W815R	10820	1368	684
CONTAMINATED	4	37	7
M45D2F515	11351	482	185
M45D2W815R	7144	1197	384
M15B2S415	567	2937	771
MOTH2F915	12181	1533	558
MOTH2F914	18316	1538	518
110S2P815	5501	1513	264
MOTH3J715	31	11	0
MOTE2F914	17441	1749	555
MOTE2F915	13747	1818	631
M45B1S815	576	2830	1033
MDPE1P514	13840	5642	1700
M15S2F415	10923	563	181
110M2P515	7841	803	299
M15B2S915	524	2772	780
MLBB1S815	703	3182	1116
M45S2P615	3425	591	133
110M2W615C	0	0	1
110M2W615D	10850	415	202
MOTE1F515	14461	987	267
MOTE1F514	28376	3736	1258
MLBS4W615R	11549	1592	296
110D2F515	12048	336	92
110M2W615R	13261	1422	299
MBRE1P714	16715	3485	799
MBRE1P715	7617	1970	508
M45S2F915	7321	507	245
110D2P415	5380	1517	267
M15S2P615	8453	1698	394
MINB2S914	3211	17899	6310
MINB2S915	633	3733	1381
110M2F915	12754	573	246
MOTE1P915	14199	2608	715
M45S2P115	5943	1041	271
MINE2F714	15915	1733	424
110S2W515D	13638	709	321
MDPE2P715	9701	1979	380
110S2W515R	10632	1296	329
MOTH2F715	12736	1083	329
MLBD2W515R	2967	298	84
110D2W415R	7219	1660	312
MINH1P914	8461	1962	570
MINH1P915	6245	989	313
M15S2W915R	10136	1984	659
MINE3J715	6999	2104	497
MLBS2F815	7822	1198	322
M15S2W915D	25690	1958	1002
MDPE1F914	19940	1694	448
MDPE1F915	10753	1350	483
110D2W415D	10386	883	285
MINE1P914	13805	4326	1080
110S2F515	10605	348	84
110D2P915	533	305	144
MBRH3K715	16338	1396	473
MDPE1F714	18568	2022	500
MDPE1F715	12547	1054	349
110S2P715	5301	578	127
M45B2S915	443	2313	950
MILIQW115	3	0	2
MDPB1S914	4912	12854	4644
MDPB1S915	728	2298	909
M45B1S915	599	2968	1244
MDPH1F715	13245	1803	590
MDPH1F714	20966	3119	833
EXTRACONT	11	1	2
Sed_Control	19	18	1
MOTE2P714	19103	3386	724
MOTE2P715	1024	247	53
MDPH3K515	11719	1429	529
Blank2	5	39	7
M45D2W415R	9356	810	286
MDPH1F915	9986	5215	1528
MDPH1F914	19149	6442	1653
110S2F715	6473	374	73
M15B1S615	1194	5899	1530
M15B2S515	428	2555	624
MBRB1S714	4378	11914	4270
MBRB1S715	680	2616	982
M45D2W415D	7628	385	197
MLBD2P515	6570	1297	332
negA03032015	47	11	1
MINH3K715	7514	1244	308
MLBS2P415	6067	1774	537
MDPH1P715	13898	2711	847
MDPH1P714	21827	4011	1101
M15S2F515	11424	711	192
MOTB2S514	4122	16303	6300
MOTB2S515	190	2731	924
110M2P415	4587	1032	192
MOTE2F515	11783	927	277
MLBD2W815R	2	1	1
MBRH2P914	15646	3493	1346
MBRH2P915	1918	513	154
MOTE1P515	4878	1113	247
MOTE1P514	16828	5920	1716
MINE2P914	15495	3253	832
MINE2P915	11603	2450	733
MINE1F715	18330	2912	819
MINE1F714	8843	817	222
MLBD2W815D	5714	1115	347
MLBD4P615	6242	1364	275
MINH3J915	4731	1096	347
M45S2F815	11534	552	276
MLBD2F915	15321	2558	978
M15S2P715	2117	280	103
MINH3J715	13238	4298	1093
M45S2W915D	7134	763	394
MDPH2P714	21378	4534	1253
M45S2W915R	6345	1348	640
110S2F415	11099	676	143
MLBS2F915	15604	2350	875
M45D2F115	16203	731	336
M45D2P615	1708	845	238
MBRE1F914	17975	1966	580
MBRE1F915	12681	1585	623
Mus_Control	2041	542	165
MDPE1P715	12080	2096	445
MLBD2F815	5607	1079	257
110S2P615	6342	586	104
M45B2S815	721	3406	1261
MDPB2S515	716	2650	962
110B2S715	606	2744	875
MDPB2S514	4585	13913	5298
MBRE3J515	5194	3492	1005
MBRE2F715	12954	1019	306
MBRE2F714	25063	1319	306
MBRH2F714	17708	1371	400
MBRH2F715	16328	1653	516
MLBB2S615	1232	6604	2392
mockA06222016	58	164	21
MLBS2P815	10393	3060	634
MOTB1S915	268	2404	794
MOTB1S914	4661	17711	6061
M15S2F115	10928	524	233
MBRH1P915	14087	3158	896
MBRH1P914	9399	2338	819
110M2F515	10489	499	102
MLBS2W915D	11870	1784	677
MLBD2P415	5458	1773	551
MLBS2W915R	5770	1431	508
M15S2W515R	3684	887	335
waterC03072016	5	13	4
M45B2S515	794	3043	854
MBRB1S914	3470	9587	3395
MBRB1S915	719	2552	952
MINE3K715	9567	1324	404
MLBS2P515	7286	1182	238
MLBB1S515	1258	4838	1764
M45D2W115D	2169	99	18
MINH1P714	20636	4197	939
MINH1P715	7108	2155	500
110S2P915	5501	1371	325
MDPH2P914	9898	3399	898
MDPH2P915	16050	6843	1703
M45S2W415R	6928	864	230
M15S2W815D	8877	473	190
M45S2F515	10109	247	68
MOTE3K715	9936	788	226
110B1S815	955	3982	1333
MDPE2P915	7106	1253	352
MDPE2P914	15546	2170	534
M15S2W815R	10191	1198	471
M45S2W415D	20581	1161	426
110S2F915	3842	248	149
waterB06222016	5	0	0
MBRH3J915	9851	2876	886
110M2W115R	16086	2547	674
MDPE3J715	9008	1952	491
110B2S115	440	3397	1059
MBRH3K515	14646	1422	394
M45S2P815	4516	933	214
MINH1F714	23323	2607	737
MINH1F715	15233	2770	730
MBRH1F915	16495	2908	842
MBRH1F914	19084	3466	994
MDPB1S714	4870	13546	4828
MDPB1S715	986	3100	1099
110S2W715D	9215	607	219
MDPH3K915	10937	4603	1375
M45D2P715	637	221	94
MINH2P515	10415	3550	930
MINH2P514	8621	4051	1188
M45S2W515R	3766	307	92
110D2F115	13963	828	308
110S2W715R	5345	655	249
M45S2W515D	12045	688	320
MINB1S715	553	3098	1012
MINB1S714	3767	18074	6178
110M2W915C	0	2	2
110M2W915D	9570	812	347
M45D2P815	4739	1175	344
M15S2W715R	6788	1050	354
MINB2S514	4891	22244	6885
MINB2S515	587	3125	1106
110B2S615	1434	5631	1947
M45D2F715	10856	495	241
M45S2P515	8141	646	99
MDPH3J515	4945	1305	335
110M2W915R	8358	1365	460
M15S2W715C	1	1	0
M15S2W715D	10171	566	250
MLBB2S715	359	1549	577
MDPB2S715	913	2845	1064
MDPB2S714	4191	12014	4227
MLBS2P915	11118	1657	481
MDPH2F514	17121	1712	369
MDPH2F515	14665	1656	535
M15B1S115	449	2434	691
110M2F415	9739	554	127
MINH2F515	8874	1481	415
MINH2F514	10220	2229	546
waterA06222016	5	3	0
MLBD2W115D	9004	1210	465
MOTE3J715	7470	1978	357
110S2P415	10171	2136	413
MOTH3K515	23722	1757	547
MLBD2W115R	8808	1685	631
MINE1F915	12524	1922	608
MINE1F914	18900	2416	663
MLBS2W515D	10212	1177	372
MOTE2F714	12773	1279	270
MOTE2F715	9975	904	309
M45S2P415	3697	585	129
MLBS2W415R	4671	651	202
MLBB1S415	973	4111	1433
M15S2W615R	7955	2350	644
MINH1F914	19833	2398	707
MINH1F915	13331	2322	673
MBRH3J515	3014	4763	1350
M15S2W615D	10716	1321	436
MLBS2W415D	7921	1166	393
MINH3K915	8242	1416	440
M15S2W615C	0	2	0
110M2W515D	14471	695	310
MDPE2F715	8264	691	179
MDPE2F714	14323	1694	402
110B1S915	741	3283	1136
M15B2S115	463	2582	721
MOTE2P914	17310	2274	537
110M2W515R	7349	1171	252
MLBD2P915	8573	1512	448
MBRE1P515	4920	2350	671
MLBS2W115R	5654	1148	442
M45S2W115D	4327	295	118
mockB06222016	149	420	51
MLBS2F715	4345	248	83
M45S2W115R	13912	1592	591
MLBS2W115D	12599	1693	675
M15S2P815	4001	883	308
MINE2F514	13284	2430	605
MINE2F515	7276	1359	318
MDPE1P515	7797	2017	495
MDPE3K715	8381	747	238
MBRE2F915	14810	1539	667
MDPH2P715	899	146	97
M45B1S515	1025	3621	1118
M45S2W615R	1671	339	96
MINE2P515	8	0	0
M45S2W615D	10068	728	284
110M2P915	4660	848	174
M45B2S415	413	3642	1556
MOTH2P514	10466	3866	1168
110M2F115	9941	548	142
MBRE3K515	15912	1375	473
mockC03072016	79	254	33
MLBD2W515D	25491	3144	950
110S2W415D	18976	1264	399
M15B1S515	478	2606	712
110D2W715D	10401	689	232
110S2W415R	6943	1236	214
110D2W715R	9425	1624	507
MBRB2S515	794	2666	874
MDPH2P514	6444	2215	571
MDPH2P515	10119	2204	676
MLBD4F615	6262	608	174
MINE3K915	8960	1761	516
MDPE1P714	13924	2404	455
M15S2F615	13129	1003	255
MBRB1S515	775	2162	815
MLBD2P715	14609	2747	627
MBRE3J915	8182	2195	705
MLBB2S115	330	2956	989
MOTH2P715	8	2	0
MOTH2P714	22034	3395	674
MBRH1P715	874	238	53
MBRH1P714	26114	5273	1567
MINE1P715	5184	1363	322
MINE1P714	15997	3432	812
MINE3J515	11480	4996	1316
M45D2W115R	7619	810	365
M15S2W515D	9000	1034	290
MLBD2F515	10025	871	264
M15S2W115D	7310	546	211
110D2W615D	6930	321	172
MOTB2S714	4854	19944	7538
MOTB2S715	583	2784	995
110M2W715D	13788	818	376
MOTH1F714	24342	1740	474
MOTH1F715	11833	963	303
110M2W715R	4262	566	178
M15S2P415	5216	602	160
M15S2W115R	6967	923	413
110D2W615R	11830	1332	320
MOTH1F914	18965	1778	467
MOTH1F915	15611	1659	437
mockB03072016	150	591	81
MLBD2P815	9241	2342	463
MDPH1F515	19833	1942	700
MDPH1F514	24658	3398	1159
MBRH1F715	11421	1240	403
MBRH1F714	25878	2484	694
mockC06222016	230	694	68
MDPE2F915	13755	1839	687
MDPE2F914	18894	1545	478
M45B2S115	319	2556	1078
MOTE2P915	9478	1374	442
110M2W115D	1865	288	93
M15S2P915	3403	1053	189
M45D2P415	3114	422	99
MBRE3K915	12006	1282	469
MLBB1S115	232	2607	875
MDPH1P915	8598	6541	1317
waterC06222016	8	1	0
MBRH2P714	23831	4274	926
MBRH2P715	19	3	0
MLBS2F115	7873	769	250
Negative4	44703	1178	282
MOTH1P514	27040	14438	3867
M45S2F115	8766	257	96
110M2P815	4997	913	205
110B1S415	1647	5918	1948
M45S2P915	5499	1382	350
MDPE3J915	12196	3828	1148
110D2P115	637	373	93
110D2F615	14044	518	190
MBRE2F515	19715	1518	448
waterD03072016	4	18	8
110B2S515	632	2887	844
M45S2W815D	12496	753	394
MDPH1P914	8682	4057	884
M45D2F815	8626	421	175
M45D2W715R	8043	801	408
MDPH2F914	12220	3792	1063
MDPH2F915	12294	3992	1106
M45S2W815R	8505	1027	660
110D2P615	4456	811	275
M45D2W715D	11915	579	227
MINH2F915	14168	2196	712
M45D2F615	14466	502	200
M45D2P915	3592	764	205
M45D2W515D	9472	508	216
M45B1S615	1708	6407	1948
MINH2P915	11475	2680	734
MINH2P914	18940	5267	1375
MOTB1S715	523	2451	833
MOTB1S714	4056	16706	6109
M15S2F715	7156	207	49
MLBS2P715	13108	1766	432
110M2F715	10496	448	133
MOTE1F715	15308	1128	412
MBRE1F515	11541	806	212
110S2W615D	4214	248	114
MOTE1F714	15389	1557	410
MBRE2P515	48	15	0
M15B1S415	40	188	61
110D2W515D	14206	643	351
110S2W615R	8667	1065	253
M45D2W815D	12726	735	299
MDPH3J915	1495	875	210
MLBD2F415	3539	431	135
110D2W515R	8823	973	254
MLBS4P615	6497	2241	308
MINE1P915	14209	2935	890
M45D2W615R	9509	1438	443
MDPE2P515	6255	919	258
MOTE1P914	12838	1680	449
M45D2W615D	7295	383	170
M15S2P515	6452	1148	319
MOTH3J515	6975	2349	573
MINE2F715	13368	2313	643
M45S2F715	11695	591	118
MOTE3K915	11364	1495	554
MLBS2W415C	0	2	0
M15B2S615	967	5012	1381
MINE2F914	19825	2501	727
