"norep_filter_name"	"lakesite"	"depth"	"year"	"tot_bacprod"	"cells_per_uL"	"HNA_per_uL"	"HNA_percent"	"LNA_per_uL"	"LNA_percent"
"1"	"MBREF515"	"MBR"	"Top"	"2015"	29.34466745	4326.94418756279	1739.10729373882	40.1925058043883	2587.83689382398	0.598074941956119
"2"	"MBREF714"	"MBR"	"Top"	"2014"	33.86144	10104.0752851105	2724.10080548688	26.9604167488851	7379.97447962357	0.730395832511149
"3"	"MBREF715"	"MBR"	"Top"	"2015"	11.873	7420.89524405756	1343.19908890502	18.1002297530155	6077.69615515255	0.818997702469847
"4"	"MBREF914"	"MBR"	"Top"	"2014"	24.71837257	7206.5044333269	1928.41392817411	26.7593525545623	5278.09050515278	0.732406474454375
"5"	"MBREF915"	"MBR"	"Top"	"2015"	22.2321951	4895.19792990135	1264.60942852772	25.833673053404	3630.58850137364	0.74166326946596
"6"	"MBRHF515"	"MBR"	"Bottom"	"2015"	NA	4833.43206490991	1294.00488554902	26.7719679964746	3539.42717936088	0.732280320035251
"7"	"MBRHF714"	"MBR"	"Bottom"	"2014"	NA	2684.65389653131	789.212981124048	29.3971964931399	1895.44091540727	0.706028035068604
"8"	"MBRHF715"	"MBR"	"Bottom"	"2015"	NA	2309.5323525894	604.991428457521	26.1954082513378	1704.54092413188	0.738045917486622
"9"	"MBRHF914"	"MBR"	"Bottom"	"2014"	NA	3475.17399846816	988.444503646476	28.4430219632795	2486.72949482168	0.715569780367205
"10"	"MBRHF915"	"MBR"	"Bottom"	"2015"	NA	2827.60134932833	847.521906624883	29.9731752082451	1980.07944270345	0.700268247917549
"11"	"MDPEF514"	"MDP"	"Top"	"2014"	43.30142	4412.72544623553	2396.93173577802	54.3186238296975	2015.79371045751	0.456813761703025
"12"	"MDPEF515"	"MDP"	"Top"	"2015"	30.01275089	6095.51028546741	2155.46176597654	35.3614654890415	3940.04851949088	0.646385345109585
"13"	"MDPEF714"	"MDP"	"Top"	"2014"	59.36736	9365.71466436951	3007.81923000463	32.1152131769233	6357.89543436485	0.678847868230765
"14"	"MDPEF715"	"MDP"	"Top"	"2015"	49	7539.90697798213	1721.37310612361	22.8301637029519	5818.5338718585	0.771698362970479
"15"	"MDPEF914"	"MDP"	"Top"	"2014"	19.64245029	7360.82913418847	2059.65559246218	27.9812987764625	5301.1735417263	0.720187012235375
"16"	"MDPEF915"	"MDP"	"Top"	"2015"	10.0944757	5522.87930069556	1349.6388881486	24.4372330928656	4173.24041254697	0.755627669071345
"17"	"MDPHF514"	"MDP"	"Bottom"	"2014"	NA	3112.91332915728	1406.41868027882	45.1801425727314	1706.49464887846	0.548198574272686
"18"	"MDPHF515"	"MDP"	"Bottom"	"2015"	NA	3070.18942110997	1051.11447623602	34.2361441612944	2019.07494487393	0.657638558387051
"19"	"MDPHF714"	"MDP"	"Bottom"	"2014"	NA	2792.89280040415	836.152859298454	29.9385948210206	1956.7399411057	0.700614051789796
"20"	"MDPHF715"	"MDP"	"Bottom"	"2015"	NA	2703.94937987691	713.108325468249	26.3728430263998	1990.84105440866	0.736271569735999
"21"	"MDPHF914"	"MDP"	"Bottom"	"2014"	NA	3348.05571445676	1139.63202916096	34.0386220050066	2208.4236852958	0.659613779949934
"22"	"MDPHF915"	"MDP"	"Bottom"	"2015"	NA	4146.87874351124	1587.18221748968	38.2741410023913	2559.69652602157	0.61725858997609
"23"	"MINEF514"	"MIN"	"Top"	"2014"	96.44751	5465.12324517902	3144.9986354166	57.546710189764	2320.12460976242	0.42453289810236
"24"	"MINEF515"	"MIN"	"Top"	"2015"	94.20920897	7217.66863976243	2803.63813112987	38.8440959409595	4414.03050863258	0.611559040590407
"25"	"MINEF714"	"MIN"	"Top"	"2014"	96.9776	10419.5799539201	3659.0222009136	35.1167918197795	6760.55775300651	0.648832081802205
"26"	"MINEF715"	"MIN"	"Top"	"2015"	47.15773869	8596.23444880581	2913.84472091011	33.8967572169336	5682.38972789569	0.661032427830664
"27"	"MINEF914"	"MIN"	"Top"	"2014"	44.85909029	9447.07551505705	3360.70978958096	35.5740756409172	6086.36572547609	0.644259243590828
"28"	"MINEF915"	"MIN"	"Top"	"2015"	41.94656296	6647.60053003416	2312.97318533218	34.7941061572827	4334.62734470199	0.652058938427173
"29"	"MINHF514"	"MIN"	"Bottom"	"2014"	NA	5416.27303572616	3208.56895748786	59.2394241635141	2207.7040782383	0.407605758364859
"30"	"MINHF515"	"MIN"	"Bottom"	"2015"	NA	6695.24697110904	2505.8580748236	37.427418071906	4189.38889628546	0.625725819280943
"31"	"MINHF714"	"MIN"	"Bottom"	"2014"	NA	8911.32356460921	3319.41600404224	37.249416205973	5591.90756056697	0.627505837940269
"32"	"MINHF715"	"MIN"	"Bottom"	"2015"	NA	8121.2205879418	2786.76964629028	34.3146650939147	5334.45094165153	0.656853349060853
"33"	"MINHF914"	"MIN"	"Bottom"	"2014"	NA	8404.48000852826	2792.87622677212	33.2308033803175	5611.60378175616	0.667691966196827
"34"	"MINHF915"	"MIN"	"Bottom"	"2015"	NA	6566.33050943484	2267.89487365776	34.5382382199485	4298.43563577707	0.654617617800515
"35"	"MOTEF514"	"MOT"	"Top"	"2014"	35.78144	4581.91086532638	2396.93345844397	52.3129656795109	2184.97740688241	0.476870343204891
"36"	"MOTEF515"	"MOT"	"Top"	"2015"	36.66273121	6112.39425182543	2251.87867331384	36.8411882568166	3860.51557851156	0.63158811743183
"37"	"MOTEF714"	"MOT"	"Top"	"2014"	62.50752	10680.4332206818	3336.43790414859	31.2387881203906	7343.99531653317	0.687612118796092
"38"	"MOTEF715"	"MOT"	"Top"	"2015"	16.949	7446.74333584163	1692.62630769333	22.7297522065333	5754.11702814829	0.772702477934666
"39"	"MOTEF914"	"MOT"	"Top"	"2014"	22.63318857	7020.60105834194	1981.09628249077	28.2183286876387	5039.50477585117	0.717816713123613
"40"	"MOTEF915"	"MOT"	"Top"	"2015"	8.913001909	5694.23535524439	1401.85982067918	24.618930079665	4292.37553456521	0.75381069920335
"41"	"MOTHF514"	"MOT"	"Bottom"	"2014"	NA	2495.2327798707	1090.24829409928	43.6932499001466	1404.98448577143	0.563067500998537
"42"	"MOTHF515"	"MOT"	"Bottom"	"2015"	NA	4166.16756504957	1406.33526319292	33.7560897691878	2759.83230185666	0.662439102308123
"43"	"MOTHF714"	"MOT"	"Bottom"	"2014"	NA	4961.12057946315	1256.12484022156	25.3193773483628	3704.99573924159	0.746806226516373
"44"	"MOTHF715"	"MOT"	"Bottom"	"2015"	NA	3892.07852946851	776.646065210594	19.9545322462096	3115.43246425792	0.800454677537906
"45"	"MOTHF914"	"MOT"	"Bottom"	"2014"	NA	7050.82376435347	1979.43085371942	28.0737530801258	5071.39291063405	0.719262469198742
"46"	"MOTHF915"	"MOT"	"Bottom"	"2015"	NA	5739.82614252054	1423.40819233483	24.7988032562562	4316.4179501857	0.752011967437436
