"norep_filter_name"	"season"
"MBREF515"	"Spring"
"MBREF714"	"Summer"
"MBREF715"	"Summer"
"MBREF914"	"Fall"
"MBREF915"	"Fall"
"MBRHF515"	"Spring"
"MBRHF714"	"Summer"
"MBRHF715"	"Summer"
"MBRHF914"	"Fall"
"MBRHF915"	"Fall"
"MDPEF514"	"Spring"
"MDPEF515"	"Spring"
"MDPEF714"	"Summer"
"MDPEF715"	"Summer"
"MDPEF914"	"Fall"
"MDPEF915"	"Fall"
"MDPHF514"	"Spring"
"MDPHF515"	"Spring"
"MDPHF714"	"Summer"
"MDPHF715"	"Summer"
"MDPHF914"	"Fall"
"MDPHF915"	"Fall"
"MINEF514"	"Spring"
"MINEF515"	"Spring"
"MINEF714"	"Summer"
"MINEF715"	"Summer"
"MINEF914"	"Fall"
"MINEF915"	"Fall"
"MINHF514"	"Spring"
"MINHF515"	"Spring"
"MINHF714"	"Summer"
"MINHF715"	"Summer"
"MINHF914"	"Fall"
"MINHF915"	"Fall"
"MOTEF514"	"Spring"
"MOTEF515"	"Spring"
"MOTEF714"	"Summer"
"MOTEF715"	"Summer"
"MOTEF914"	"Fall"
"MOTEF915"	"Fall"
"MOTHF514"	"Spring"
"MOTHF515"	"Spring"
"MOTHF714"	"Summer"
"MOTHF715"	"Summer"
"MOTHF914"	"Fall"
"MOTHF915"	"Fall"
